Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,3-1,1,30.6%,1,30.6%,3,51.4%,1,10.2%
OAK,3-1,2,27.1%,2,27.1%,2,51.8%,2,10.0%
DAL,3-1,3,20.9%,3,20.9%,4,48.1%,4,8.1%
PHI,3-0,4,18.8%,4,18.8%,1,55.3%,11,-4.3%
PIT,3-1,5,18.2%,5,18.2%,7,33.8%,7,1.5%
DEN,4-0,6,9.4%,6,9.4%,9,30.7%,16,-10.2%
NO,1-3,7,9.4%,7,9.4%,16,19.1%,8,-0.2%
GB,2-1,8,9.4%,8,9.4%,10,30.0%,24,-17.2%
SD,1-3,9,9.0%,9,9.0%,13,23.9%,10,-2.4%
BUF,2-2,10,5.7%,10,5.7%,12,25.6%,18,-13.0%
WAS,2-2,11,4.9%,11,4.9%,15,19.4%,5,5.2%
DET,1-3,12,4.3%,12,4.3%,14,23.2%,22,-16.5%
NE,3-1,13,3.9%,13,3.9%,6,34.2%,19,-14.7%
CIN,2-2,14,3.0%,14,3.0%,5,34.5%,29,-27.6%
MIN,4-0,15,1.3%,15,1.3%,8,32.5%,28,-27.5%
NYG,2-2,16,0.6%,16,0.6%,19,9.1%,13,-7.9%
SEA,3-1,17,0.0%,17,0.0%,11,29.6%,25,-22.5%
IND,1-3,18,-2.0%,18,-2.0%,18,9.4%,14,-8.6%
CHI,1-3,19,-3.2%,19,-3.2%,17,14.1%,23,-16.8%
CAR,1-3,20,-5.1%,20,-5.1%,21,4.4%,9,-0.7%
CLE,0-4,21,-8.4%,21,-8.4%,28,-5.7%,3,8.4%
MIA,1-3,22,-9.4%,22,-9.4%,27,-4.2%,15,-10.1%
TEN,1-3,23,-10.3%,23,-10.3%,24,-0.6%,17,-11.1%
ARI,1-3,24,-11.3%,24,-11.3%,29,-7.6%,12,-5.5%
SF,1-3,25,-11.6%,25,-11.6%,25,-2.6%,20,-15.1%
KC,2-2,26,-11.9%,26,-11.9%,20,5.3%,31,-30.9%
JAX,1-3,27,-12.3%,27,-12.3%,22,-0.3%,27,-27.3%
BAL,3-1,28,-12.3%,28,-12.3%,26,-2.9%,21,-15.9%
NYJ,1-3,29,-14.2%,29,-14.2%,32,-20.3%,6,2.5%
TB,1-3,30,-14.8%,30,-14.8%,23,-0.4%,30,-28.6%
LAR,3-1,31,-21.9%,31,-21.9%,31,-13.6%,26,-26.4%
HOU,3-1,32,-23.4%,32,-23.4%,30,-13.4%,32,-33.8%
