Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,4-1,1,26.3%,1,26.3%,2,47.0%,2,6.8%
DAL,4-1,2,25.3%,2,25.3%,1,50.0%,1,14.2%
OAK,4-1,3,20.2%,3,20.2%,3,45.5%,4,5.7%
PIT,4-1,4,18.3%,4,18.3%,6,38.4%,17,-9.1%
PHI,3-1,5,10.1%,5,10.1%,7,35.3%,10,-3.6%
SD,1-4,6,9.9%,6,9.9%,8,30.4%,18,-9.3%
NO,1-3,7,9.8%,7,9.8%,14,19.6%,6,0.2%
GB,3-1,8,9.0%,8,9.0%,12,23.3%,16,-8.7%
NE,4-1,9,8.8%,9,8.8%,4,45.2%,23,-19.3%
BUF,3-2,10,7.1%,10,7.1%,15,19.5%,11,-3.7%
MIN,5-0,11,5.2%,11,5.2%,5,41.3%,27,-26.0%
DET,2-3,12,4.6%,12,4.6%,11,27.3%,24,-20.8%
CHI,1-4,13,2.7%,13,2.7%,13,21.5%,20,-12.4%
CIN,2-3,14,2.5%,14,2.5%,10,27.3%,25,-23.9%
WAS,3-2,15,1.7%,15,1.7%,16,17.2%,9,-3.3%
TEN,2-3,16,1.5%,16,1.5%,18,10.4%,5,0.4%
DEN,4-1,17,-1.1%,17,-1.1%,17,14.5%,22,-14.3%
NYG,2-3,18,-1.2%,18,-1.2%,20,7.4%,19,-9.4%
SEA,3-1,19,-1.6%,19,-1.6%,9,28.4%,26,-24.6%
CAR,1-4,20,-2.9%,20,-2.9%,22,4.2%,3,6.5%
IND,2-3,21,-3.2%,21,-3.2%,19,9.3%,12,-5.7%
SF,1-4,22,-9.8%,22,-9.8%,28,-6.9%,15,-8.7%
ARI,2-3,23,-9.8%,23,-9.8%,27,-6.5%,7,-2.4%
NYJ,1-4,24,-10.0%,24,-10.0%,30,-10.6%,8,-2.8%
CLE,0-5,25,-11.8%,25,-11.8%,25,-3.0%,14,-7.3%
KC,2-2,26,-12.1%,26,-12.1%,23,4.2%,31,-29.6%
JAX,1-3,27,-12.1%,27,-12.1%,24,0.6%,30,-28.6%
BAL,3-2,28,-13.4%,28,-13.4%,26,-6.4%,21,-13.4%
TB,2-3,29,-13.7%,29,-13.7%,21,5.6%,29,-28.2%
MIA,1-4,30,-15.0%,30,-15.0%,31,-15.4%,13,-6.9%
LAR,3-2,31,-21.7%,31,-21.7%,29,-8.6%,28,-27.8%
HOU,3-2,32,-26.6%,32,-26.6%,32,-19.4%,32,-35.2%
