Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DET,1-0,1,64.8%,1,64.8%,1,97.0%,5,23.1%
IND,0-1,2,43.6%,2,43.6%,3,68.5%,17,-10.0%
PIT,1-0,3,35.2%,3,35.2%,14,24.8%,1,48.3%
SD,0-1,4,33.2%,4,33.2%,10,38.0%,3,27.7%
NO,0-1,5,29.6%,5,29.6%,6,55.4%,16,-9.4%
OAK,1-0,6,29.0%,6,29.0%,9,42.3%,2,28.0%
TB,1-0,7,26.8%,7,26.8%,2,74.1%,20,-24.1%
KC,1-0,8,18.2%,8,18.2%,15,20.7%,6,21.8%
ARI,0-1,9,15.2%,9,15.2%,17,17.7%,8,11.1%
CIN,1-0,10,13.8%,10,13.8%,7,48.0%,14,-7.9%
GB,1-0,11,13.8%,11,13.8%,4,61.1%,22,-28.4%
PHI,1-0,12,10.4%,12,10.4%,5,56.0%,19,-13.6%
DAL,0-1,13,3.1%,13,3.1%,18,17.4%,12,-6.5%
MIN,1-0,14,0.9%,14,0.9%,8,44.6%,30,-49.4%
CAR,0-1,15,0.1%,15,0.1%,25,-13.6%,7,20.8%
NYG,1-0,16,-1.1%,16,-1.1%,22,4.3%,10,0.9%
NYJ,0-1,17,-2.0%,17,-2.0%,24,-7.8%,9,5.5%
SF,1-0,18,-2.4%,18,-2.4%,21,5.3%,11,-5.8%
SEA,1-0,19,-11.7%,19,-11.7%,16,18.3%,27,-44.4%
ATL,0-1,20,-13.0%,20,-13.0%,12,25.6%,31,-65.2%
TEN,0-1,21,-13.1%,21,-13.1%,11,33.2%,32,-68.1%
NE,1-0,22,-14.8%,22,-14.8%,13,25.3%,29,-49.2%
DEN,1-0,23,-16.0%,23,-16.0%,27,-23.1%,15,-8.7%
HOU,1-0,24,-16.3%,24,-16.3%,19,7.8%,24,-40.3%
BAL,1-0,25,-17.5%,25,-17.5%,23,-4.2%,13,-7.1%
JAX,0-1,26,-18.8%,26,-18.8%,20,5.3%,23,-36.3%
WAS,0-1,27,-28.3%,27,-28.3%,26,-19.5%,4,26.8%
CHI,0-1,28,-30.5%,28,-30.5%,29,-25.8%,21,-26.9%
BUF,0-1,29,-39.7%,29,-39.7%,28,-24.0%,28,-47.1%
CLE,0-1,30,-43.2%,30,-43.2%,30,-59.3%,18,-11.6%
MIA,0-1,31,-56.7%,31,-56.7%,31,-60.9%,26,-43.7%
LAR,0-1,32,-74.9%,32,-74.9%,32,-102.3%,25,-40.5%
