Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,8-5,1,25.6%,1,25.8%,2,48.1%,4,3.9%
DAL,11-2,2,22.7%,2,23.2%,3,44.7%,2,9.6%
NE,11-2,3,21.9%,3,22.9%,1,48.4%,8,-2.0%
OAK,10-3,4,17.4%,5,16.6%,6,37.4%,3,5.8%
WAS,7-5-1,5,16.6%,4,20.0%,4,38.9%,6,2.3%
NO,5-8,6,13.1%,8,11.8%,7,33.0%,7,-1.4%
TEN,7-6,7,12.9%,6,15.7%,5,37.4%,11,-3.6%
GB,7-6,8,12.2%,7,14.3%,8,32.3%,24,-17.0%
PIT,8-5,9,10.6%,9,11.5%,10,25.3%,5,2.5%
BUF,6-7,10,10.2%,10,10.1%,14,13.8%,1,12.8%
CIN,5-7-1,11,5.6%,11,3.8%,12,22.2%,13,-6.1%
DET,9-4,12,1.3%,13,0.4%,11,24.1%,30,-27.4%
KC,10-3,13,0.6%,12,1.1%,13,19.0%,22,-12.9%
IND,6-7,14,-0.5%,16,-1.6%,17,11.9%,18,-8.1%
TB,8-5,15,-1.3%,14,0.1%,9,30.2%,31,-28.7%
MIA,8-5,16,-1.5%,15,-0.7%,19,8.6%,16,-6.9%
SD,5-8,17,-2.4%,20,-6.1%,15,12.9%,21,-10.2%
SEA,8-4-1,18,-3.0%,17,-2.4%,18,10.9%,20,-10.2%
CHI,3-10,19,-4.5%,18,-4.2%,21,6.8%,17,-7.8%
NYG,9-4,20,-5.8%,21,-7.2%,24,4.0%,23,-14.9%
SF,1-12,21,-5.9%,19,-4.6%,27,-2.5%,9,-2.9%
CAR,5-8,22,-6.7%,23,-8.8%,23,4.9%,19,-9.0%
PHI,5-8,23,-8.0%,25,-9.6%,25,2.0%,12,-4.4%
MIN,7-6,24,-8.4%,24,-8.9%,16,12.3%,28,-24.2%
DEN,8-5,25,-8.8%,27,-11.8%,22,5.6%,27,-19.2%
BAL,7-6,26,-11.3%,22,-8.0%,26,-0.1%,26,-18.6%
JAX,2-11,27,-11.5%,26,-11.2%,20,8.6%,32,-35.9%
ARI,5-7-1,28,-13.4%,28,-15.2%,29,-12.2%,14,-6.5%
CLE,0-13,29,-15.5%,30,-17.7%,28,-10.4%,15,-6.6%
NYJ,4-9,30,-17.8%,31,-19.2%,31,-20.2%,10,-3.5%
HOU,7-6,31,-18.4%,29,-16.8%,30,-15.8%,25,-18.4%
LAR,4-9,32,-30.8%,32,-33.9%,32,-25.9%,29,-26.0%
