Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,4-2,1,24.1%,1,24.8%,3,45.6%,6,2.3%
DAL,5-1,2,23.9%,2,24.3%,2,46.7%,1,13.0%
OAK,4-2,3,16.4%,3,16.3%,4,40.2%,8,-0.9%
NE,5-1,4,15.9%,4,16.2%,1,56.5%,22,-17.4%
BUF,4-2,5,13.5%,5,14.1%,10,26.4%,7,2.2%
PIT,4-2,6,12.6%,6,12.2%,9,27.4%,10,-5.5%
NO,2-3,7,10.3%,7,10.2%,11,26.2%,12,-6.9%
WAS,4-2,8,6.9%,8,7.5%,14,20.6%,4,4.7%
SD,2-4,9,6.3%,9,5.6%,7,30.4%,23,-17.6%
TEN,3-3,10,4.1%,10,4.1%,16,17.1%,9,-2.2%
MIN,5-0,11,3.9%,11,3.8%,5,39.3%,28,-26.6%
DET,3-3,12,2.1%,12,1.3%,6,30.7%,31,-28.4%
CIN,2-4,13,1.2%,13,1.3%,8,28.2%,24,-23.8%
PHI,3-2,14,0.7%,14,0.8%,13,22.0%,11,-6.9%
CAR,1-5,15,0.4%,15,0.3%,22,6.8%,2,7.1%
GB,3-2,16,-0.1%,16,-0.4%,15,18.2%,25,-25.6%
NYG,3-3,17,-0.5%,17,-0.5%,18,10.8%,20,-15.5%
CHI,1-5,18,-0.9%,18,-0.6%,17,15.8%,16,-12.9%
SEA,4-1,19,-1.1%,19,-0.9%,12,26.1%,27,-25.8%
IND,2-4,20,-4.0%,20,-4.5%,20,10.4%,15,-9.8%
KC,3-2,21,-5.0%,23,-5.7%,19,10.7%,21,-16.9%
MIA,2-4,22,-5.5%,21,-5.0%,30,-8.6%,3,6.4%
DEN,4-2,23,-5.7%,22,-5.6%,23,5.8%,18,-13.7%
ARI,3-3,24,-7.9%,24,-8.2%,29,-8.5%,5,4.2%
CLE,0-6,25,-8.8%,25,-8.5%,21,7.7%,17,-13.4%
SF,1-5,26,-9.8%,26,-10.0%,28,-5.7%,14,-9.4%
BAL,3-3,27,-12.4%,27,-12.5%,27,-3.1%,19,-13.8%
JAX,2-3,28,-13.3%,28,-13.3%,26,-0.4%,30,-28.0%
TB,2-3,29,-14.2%,30,-14.9%,24,4.5%,29,-27.7%
LAR,3-3,30,-15.8%,29,-14.8%,25,3.7%,32,-29.1%
NYJ,1-5,31,-17.4%,31,-17.6%,32,-17.2%,13,-8.2%
HOU,4-2,32,-21.5%,32,-21.6%,31,-16.3%,26,-25.8%
