Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DAL,11-1,1,25.3%,1,27.4%,1,52.7%,2,8.4%
ATL,7-5,2,24.9%,2,25.2%,3,46.0%,3,5.6%
OAK,10-2,3,19.5%,4,19.5%,4,42.8%,4,2.9%
NE,10-2,4,19.2%,3,21.0%,2,47.3%,11,-5.7%
NO,5-7,5,15.3%,6,15.6%,7,35.8%,6,-1.0%
WAS,6-5-1,6,13.7%,5,16.1%,6,36.3%,7,-1.1%
TEN,6-6,7,11.7%,7,13.8%,5,37.8%,12,-6.6%
PIT,7-5,8,11.3%,8,11.1%,9,30.4%,10,-4.6%
BUF,6-6,9,9.7%,10,9.7%,16,14.0%,1,11.5%
GB,6-6,10,8.6%,9,9.8%,10,29.0%,27,-22.8%
CIN,4-7-1,11,4.4%,12,4.0%,12,23.4%,17,-10.0%
SEA,8-3-1,12,3.2%,11,5.7%,13,21.9%,16,-9.8%
DET,8-4,13,1.6%,15,1.5%,11,26.5%,30,-29.7%
KC,9-3,14,1.0%,14,1.9%,14,18.2%,20,-11.9%
MIA,7-5,15,0.0%,13,2.7%,22,4.5%,5,0.5%
IND,6-6,16,-1.1%,17,-1.5%,17,12.7%,18,-10.3%
SD,5-7,17,-1.2%,19,-3.9%,15,16.3%,22,-12.1%
TB,7-5,18,-1.2%,16,1.0%,8,30.4%,31,-30.2%
NYG,8-4,19,-2.8%,18,-2.9%,18,7.4%,23,-13.4%
CAR,4-8,20,-5.1%,21,-6.7%,19,7.3%,14,-9.3%
CHI,3-9,21,-5.5%,20,-6.0%,21,5.5%,15,-9.4%
PHI,5-7,22,-8.3%,24,-9.8%,25,0.4%,8,-2.8%
SF,1-11,23,-9.1%,22,-8.9%,27,-1.0%,21,-12.0%
DEN,8-4,24,-9.4%,25,-11.2%,23,4.3%,24,-17.4%
MIN,6-6,25,-11.1%,26,-12.7%,20,6.6%,28,-23.4%
ARI,5-6-1,26,-11.9%,27,-12.8%,29,-9.0%,13,-7.4%
BAL,7-5,27,-11.9%,23,-9.7%,26,-1.0%,25,-19.9%
JAX,2-10,28,-15.3%,28,-15.4%,24,2.5%,32,-37.8%
CLE,0-12,29,-16.4%,31,-18.2%,28,-8.9%,19,-11.3%
NYJ,3-9,30,-16.6%,29,-17.7%,31,-18.2%,9,-4.4%
HOU,6-6,31,-19.4%,30,-17.8%,30,-14.5%,26,-22.5%
LAR,4-8,32,-29.1%,32,-30.1%,32,-21.1%,29,-27.9%
