Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
OAK,2-1,1,33.2%,1,33.2%,2,51.1%,1,23.7%
ATL,2-1,2,31.0%,2,31.0%,3,49.8%,2,18.4%
DAL,2-1,3,21.0%,3,21.0%,4,45.3%,8,5.3%
DET,1-2,4,20.2%,4,20.2%,5,45.2%,19,-13.5%
PHI,3-0,5,19.9%,5,19.9%,1,57.6%,11,-4.2%
NO,0-3,6,18.1%,6,18.1%,12,27.8%,7,5.9%
SD,1-2,7,16.5%,7,16.5%,8,31.4%,4,7.2%
CIN,1-2,8,10.7%,8,10.7%,7,31.9%,18,-13.2%
DEN,3-0,9,9.5%,9,9.5%,11,29.5%,13,-9.4%
GB,2-1,10,9.2%,10,9.2%,10,30.0%,22,-17.5%
NE,3-0,11,8.3%,11,8.3%,6,34.9%,12,-7.7%
IND,1-2,12,3.1%,12,3.1%,14,19.8%,15,-11.4%
NYG,2-1,13,3.1%,13,3.1%,17,14.3%,14,-10.1%
PIT,2-1,14,2.0%,14,2.0%,20,8.3%,10,-2.9%
MIA,1-2,15,-2.5%,15,-2.5%,19,10.2%,20,-15.2%
TB,1-2,16,-3.5%,16,-3.5%,21,7.4%,17,-13.0%
CAR,1-2,17,-4.5%,17,-4.5%,24,-2.7%,5,6.7%
KC,2-1,18,-4.5%,18,-4.5%,18,12.8%,26,-22.2%
BUF,1-2,19,-5.0%,19,-5.0%,13,24.3%,29,-30.0%
WAS,1-2,20,-5.4%,20,-5.4%,16,15.9%,21,-17.2%
TEN,1-2,21,-5.6%,21,-5.6%,22,5.2%,16,-11.5%
ARI,1-2,22,-6.0%,22,-6.0%,23,-2.5%,9,-1.7%
SEA,2-1,23,-6.8%,23,-6.8%,15,16.7%,27,-24.8%
MIN,3-0,24,-10.4%,24,-10.4%,9,30.1%,32,-51.2%
NYJ,1-2,25,-14.1%,25,-14.1%,31,-23.5%,3,7.6%
BAL,3-0,26,-16.2%,26,-16.2%,25,-5.3%,24,-21.4%
CLE,0-3,27,-19.3%,27,-19.3%,30,-21.8%,6,6.6%
SF,1-2,28,-19.8%,28,-19.8%,28,-13.7%,25,-22.0%
CHI,0-3,29,-19.8%,29,-19.8%,27,-8.9%,28,-25.4%
JAX,0-3,30,-22.5%,30,-22.5%,26,-7.2%,31,-42.0%
LAR,2-1,31,-26.6%,31,-26.6%,32,-30.4%,23,-18.6%
HOU,2-1,32,-28.6%,32,-28.6%,29,-20.3%,30,-37.4%
