Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,6-3,1,24.3%,1,25.5%,3,46.8%,5,2.3%
DAL,7-1,2,21.0%,2,22.4%,2,50.3%,4,3.2%
NE,7-1,3,18.6%,3,19.5%,1,56.9%,20,-13.5%
OAK,7-2,4,18.4%,4,17.5%,5,38.9%,2,8.4%
NO,4-4,5,16.8%,5,17.2%,4,39.6%,8,-3.2%
BUF,4-5,6,13.9%,6,15.0%,12,23.5%,3,7.1%
CIN,3-4-1,7,12.2%,7,13.3%,6,33.5%,13,-5.5%
TEN,4-5,8,9.6%,8,11.4%,7,31.4%,9,-3.3%
PIT,4-4,9,6.9%,10,6.1%,9,26.0%,18,-10.4%
WAS,4-3-1,10,5.1%,9,6.2%,11,24.0%,10,-4.1%
DET,5-4,11,4.0%,13,3.5%,8,30.4%,27,-27.3%
GB,4-4,12,3.9%,11,4.2%,13,22.3%,26,-26.3%
CHI,2-6,13,1.7%,12,3.5%,16,17.5%,15,-8.0%
SD,4-5,14,1.1%,16,-0.8%,15,18.5%,16,-9.5%
SEA,5-2-1,15,0.8%,14,2.1%,10,24.1%,23,-20.1%
IND,4-5,16,0.0%,15,-0.6%,19,12.0%,12,-4.8%
CAR,3-5,17,-1.5%,17,-1.8%,20,10.1%,7,-1.4%
NYG,5-3,18,-2.9%,19,-2.9%,21,9.5%,22,-17.1%
MIA,4-4,19,-3.8%,18,-2.6%,29,-10.5%,1,10.6%
TB,3-5,20,-4.2%,20,-4.2%,14,19.5%,29,-27.9%
KC,6-2,21,-4.5%,21,-5.1%,17,15.4%,25,-21.4%
DEN,6-3,22,-5.9%,22,-6.1%,22,6.8%,21,-13.6%
PHI,4-4,23,-7.2%,23,-8.2%,23,6.2%,19,-11.5%
CLE,0-9,24,-8.5%,24,-8.7%,25,-0.2%,14,-5.7%
ARI,3-4-1,25,-10.0%,26,-11.1%,28,-9.0%,6,-1.2%
MIN,5-3,26,-10.0%,25,-10.3%,18,12.5%,28,-27.4%
SF,1-7,27,-10.9%,27,-11.3%,27,-8.0%,17,-9.8%
JAX,2-6,28,-12.4%,28,-12.4%,24,4.9%,32,-40.9%
NYJ,3-6,29,-17.5%,29,-18.9%,31,-18.2%,11,-4.5%
LAR,3-5,30,-21.1%,30,-19.0%,26,-7.6%,30,-29.1%
HOU,5-3,31,-23.4%,31,-23.1%,32,-23.6%,24,-20.5%
BAL,4-4,32,-24.9%,32,-25.3%,30,-14.4%,31,-30.5%
