Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
ATL,9-5,1,25.1%,1,25.4%,1,50.2%,6,1.6%
DAL,12-2,2,21.8%,2,22.4%,3,42.2%,2,9.3%
NE,12-2,3,19.1%,3,20.0%,2,45.8%,12,-4.3%
NO,6-8,4,16.1%,7,15.7%,7,35.1%,3,2.6%
OAK,11-3,5,15.2%,9,13.0%,4,36.2%,4,2.0%
WAS,7-6-1,6,14.8%,4,18.3%,5,36.0%,8,0.1%
GB,8-6,7,14.1%,6,16.7%,8,32.2%,18,-10.0%
TEN,8-6,8,14.0%,5,17.0%,6,35.5%,7,0.1%
BUF,7-7,9,13.1%,8,14.5%,14,15.5%,1,16.6%
PIT,9-5,10,12.1%,10,12.6%,9,28.5%,5,1.9%
CIN,5-8-1,11,4.6%,11,1.8%,12,21.9%,16,-7.9%
IND,7-7,12,1.3%,12,0.4%,15,14.6%,15,-6.6%
DET,9-5,13,0.3%,17,-2.4%,11,24.0%,31,-30.6%
KC,10-4,14,-0.4%,15,-0.6%,13,16.8%,21,-12.2%
MIA,9-5,15,-1.2%,13,0.2%,17,13.5%,20,-11.2%
CHI,3-11,16,-1.5%,14,-0.4%,19,10.3%,14,-5.4%
SD,5-9,17,-2.5%,20,-6.0%,16,14.4%,22,-13.2%
TB,8-6,18,-2.5%,16,-1.8%,10,26.6%,30,-28.6%
SEA,9-4-1,19,-4.6%,19,-4.8%,18,13.4%,24,-15.0%
NYG,10-4,20,-5.4%,22,-6.5%,23,5.3%,25,-15.7%
CAR,6-8,21,-6.1%,23,-8.6%,21,6.4%,19,-10.4%
SF,1-13,22,-6.8%,21,-6.1%,27,-2.4%,13,-5.1%
PHI,5-9,23,-7.8%,24,-9.3%,26,-0.8%,10,-1.5%
BAL,8-6,24,-9.5%,18,-4.6%,25,0.1%,23,-14.4%
ARI,5-8-1,25,-9.7%,25,-10.2%,29,-9.3%,9,-1.3%
DEN,8-6,26,-10.1%,27,-13.9%,24,2.5%,26,-18.7%
MIN,7-7,27,-12.2%,28,-14.2%,22,6.2%,28,-25.9%
JAX,2-12,28,-13.2%,26,-13.8%,20,6.9%,32,-36.9%
CLE,0-14,29,-14.5%,29,-16.2%,28,-8.3%,17,-8.7%
NYJ,4-10,30,-19.0%,31,-20.8%,31,-23.1%,11,-3.0%
HOU,8-6,31,-19.1%,30,-18.0%,30,-15.1%,27,-20.9%
LAR,4-10,32,-31.8%,32,-34.4%,32,-26.7%,29,-27.3%
