Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,10-3,1,25.6%,2,25.4%,1,46.7%,4,5.9%
NO,9-4,2,25.2%,1,26.7%,7,35.1%,1,17.6%
PIT,11-2,3,18.5%,3,19.2%,6,38.3%,9,-1.4%
LAR,9-4,4,15.8%,4,19.1%,3,41.0%,10,-2.1%
PHI,11-2,5,15.6%,5,17.1%,2,43.4%,16,-8.1%
KC,7-6,6,13.6%,11,7.8%,9,30.4%,6,0.6%
MIN,10-3,7,13.4%,6,14.3%,5,39.5%,18,-12.7%
ATL,8-5,8,10.2%,8,9.7%,10,26.9%,11,-3.1%
LAC,7-6,9,9.9%,7,12.7%,4,39.9%,21,-16.9%
DAL,7-6,10,8.9%,10,8.0%,15,14.7%,3,7.8%
OAK,6-7,11,8.4%,12,7.0%,12,22.7%,7,0.2%
SEA,8-5,12,6.7%,9,9.7%,8,32.9%,28,-24.1%
GB,7-6,13,3.4%,14,3.4%,19,9.9%,5,2.0%
DET,7-6,14,3.1%,13,5.4%,11,23.7%,31,-28.0%
TB,4-9,15,1.8%,17,-0.3%,13,22.6%,23,-19.3%
JAX,9-4,16,1.1%,16,0.0%,16,12.9%,12,-4.0%
CAR,9-4,17,0.1%,15,3.0%,18,10.3%,13,-5.2%
TEN,8-5,18,-2.4%,20,-5.5%,26,-3.7%,2,8.2%
WAS,5-8,19,-3.4%,21,-6.5%,14,17.5%,29,-24.4%
HOU,4-9,20,-5.2%,22,-7.1%,17,11.3%,20,-16.8%
CIN,5-8,21,-6.0%,18,-1.2%,22,2.0%,17,-11.5%
BAL,7-6,22,-6.1%,19,-2.1%,27,-6.2%,8,0.0%
NYJ,5-8,23,-10.0%,23,-7.9%,20,6.0%,24,-20.3%
NYG,2-11,24,-11.6%,26,-12.6%,21,2.0%,27,-21.6%
SF,3-10,25,-13.0%,25,-10.5%,23,-1.5%,19,-14.2%
CHI,4-9,26,-13.2%,24,-9.9%,28,-10.1%,14,-6.1%
ARI,6-7,27,-16.1%,27,-15.2%,25,-2.1%,32,-30.6%
MIA,6-7,28,-16.5%,28,-16.3%,24,-1.5%,30,-27.0%
BUF,7-6,29,-16.9%,31,-20.1%,29,-10.3%,22,-17.8%
CLE,0-13,30,-21.3%,29,-17.3%,32,-25.1%,15,-7.8%
IND,3-10,31,-22.6%,30,-19.9%,30,-15.1%,25,-21.2%
DEN,4-9,32,-24.0%,32,-29.4%,31,-19.1%,26,-21.5%
