Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,6-2,1,26.4%,1,26.3%,1,49.5%,9,0.0%
KC,6-3,2,21.0%,4,18.0%,3,42.6%,5,3.8%
NO,6-2,3,20.2%,3,20.3%,8,33.6%,2,10.2%
DAL,5-3,4,19.1%,2,21.5%,9,33.2%,1,10.3%
PIT,6-2,5,17.5%,6,17.1%,5,37.5%,6,3.2%
OAK,4-5,6,16.9%,7,16.1%,7,34.2%,10,-0.8%
PHI,8-1,7,16.7%,5,17.9%,4,42.3%,11,-3.7%
ATL,4-4,8,12.0%,9,10.4%,13,25.1%,7,2.4%
LAR,6-2,9,11.2%,8,11.7%,2,42.7%,12,-8.3%
MIN,6-2,10,9.9%,12,8.3%,6,35.1%,17,-14.0%
GB,4-4,11,9.9%,10,9.6%,18,17.5%,3,8.0%
JAX,5-3,12,7.7%,11,8.4%,16,19.1%,8,0.2%
HOU,3-5,13,5.6%,13,6.9%,12,26.3%,15,-11.3%
SEA,5-3,14,3.6%,14,5.2%,10,31.3%,28,-26.9%
WAS,4-4,15,2.2%,15,2.0%,11,27.3%,29,-27.9%
TEN,5-3,16,1.5%,17,-1.3%,21,7.4%,4,5.8%
LAC,3-5,17,0.8%,18,-1.5%,14,24.2%,18,-14.8%
TB,2-6,18,0.1%,16,-0.7%,15,20.5%,26,-22.0%
DET,4-4,19,-4.5%,20,-5.2%,17,17.8%,32,-37.7%
NYG,1-7,20,-5.3%,19,-4.3%,20,12.8%,23,-20.8%
BUF,5-3,21,-6.8%,21,-7.9%,19,14.9%,24,-21.9%
CAR,6-3,22,-8.6%,22,-8.7%,22,4.4%,22,-19.4%
NYJ,4-5,23,-12.6%,24,-11.3%,23,0.0%,19,-16.0%
BAL,4-5,24,-13.4%,26,-14.1%,28,-10.7%,13,-8.4%
DEN,3-5,25,-14.4%,27,-17.1%,27,-5.4%,20,-16.3%
CIN,3-5,26,-14.6%,23,-11.2%,26,-3.3%,27,-25.8%
ARI,4-4,27,-15.2%,25,-13.8%,24,-1.3%,30,-32.2%
MIA,4-4,28,-19.3%,30,-20.1%,25,-2.3%,31,-33.7%
IND,3-6,29,-21.1%,28,-18.1%,30,-14.1%,21,-17.9%
SF,0-9,30,-21.3%,29,-20.0%,29,-11.2%,25,-22.0%
CHI,3-5,31,-21.8%,31,-20.8%,31,-21.5%,16,-12.7%
CLE,0-8,32,-27.4%,32,-27.6%,32,-31.3%,14,-10.3%
