Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,2-0,1,58.5%,1,58.5%,1,71.1%,2,50.0%
OAK,2-0,2,43.7%,2,43.7%,3,67.8%,3,20.3%
TEN,1-1,3,40.2%,3,40.2%,13,33.4%,1,56.8%
ATL,2-0,4,37.9%,4,37.9%,5,62.6%,4,17.2%
NE,1-1,5,29.4%,5,29.4%,6,55.0%,6,5.6%
PIT,2-0,6,29.2%,6,29.2%,4,67.2%,15,-12.0%
LAC,0-2,7,27.5%,7,27.5%,2,69.6%,31,-35.9%
NO,0-2,8,19.6%,8,19.6%,10,42.6%,19,-19.7%
DEN,2-0,9,17.3%,9,17.3%,11,34.9%,8,-0.3%
MIN,1-1,10,13.8%,10,13.8%,8,44.8%,16,-13.1%
GB,1-1,11,12.3%,11,12.3%,17,28.1%,7,5.0%
DET,2-0,12,9.5%,12,9.5%,7,45.9%,26,-25.6%
TB,1-0,13,8.5%,13,8.5%,16,28.2%,13,-8.0%
PHI,1-1,14,5.5%,14,5.5%,18,27.5%,23,-21.4%
MIA,1-0,15,3.8%,15,3.8%,12,34.4%,17,-17.7%
BAL,2-0,16,3.8%,16,3.8%,14,29.9%,9,-2.4%
LAR,1-1,17,2.6%,17,2.6%,9,44.2%,24,-23.9%
WAS,1-1,18,-0.9%,18,-0.9%,23,-8.3%,5,8.5%
BUF,1-1,19,-2.9%,19,-2.9%,19,19.1%,25,-23.9%
CAR,2-0,20,-7.4%,20,-7.4%,15,29.6%,29,-34.8%
DAL,1-1,21,-7.5%,21,-7.5%,20,11.0%,20,-20.6%
JAX,1-1,22,-7.5%,22,-7.5%,22,-6.9%,11,-4.8%
SEA,1-1,23,-10.2%,23,-10.2%,21,3.3%,22,-20.9%
CHI,0-2,24,-16.4%,24,-16.4%,26,-20.4%,14,-8.1%
NYJ,0-2,25,-22.3%,25,-22.3%,27,-24.8%,12,-7.9%
HOU,1-1,26,-25.4%,26,-25.4%,28,-24.9%,18,-18.5%
NYG,0-2,27,-25.5%,27,-25.5%,24,-17.5%,27,-28.1%
ARI,1-1,28,-27.9%,28,-27.9%,25,-17.8%,32,-36.2%
CLE,0-2,29,-37.3%,29,-37.3%,29,-35.1%,21,-20.6%
SF,0-2,30,-51.0%,30,-51.0%,30,-62.2%,10,-4.2%
CIN,0-2,31,-59.2%,31,-59.2%,32,-74.6%,28,-30.3%
IND,0-2,32,-60.3%,32,-60.3%,31,-69.2%,30,-35.4%
