Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,5-1,1,33.2%,1,32.6%,1,53.2%,3,14.8%
NE,4-2,2,26.2%,2,26.6%,2,43.1%,6,3.1%
NO,3-2,3,19.0%,3,19.0%,8,32.1%,5,8.3%
ATL,3-2,4,15.8%,4,15.5%,11,24.9%,2,15.7%
PIT,4-2,5,12.9%,5,13.0%,12,24.2%,4,9.3%
PHI,5-1,6,12.5%,6,12.6%,5,35.7%,12,-6.2%
MIN,4-2,7,11.0%,7,10.6%,3,40.6%,21,-17.5%
TB,2-3,8,10.6%,8,10.6%,9,31.0%,17,-14.6%
WAS,3-2,9,9.5%,9,10.0%,4,39.6%,25,-20.3%
TEN,3-3,10,9.4%,10,9.3%,18,14.6%,1,18.8%
DAL,2-3,11,9.3%,11,9.2%,13,22.8%,8,1.3%
HOU,3-3,12,7.5%,12,8.0%,6,35.3%,18,-15.7%
LAR,4-2,13,6.1%,13,6.0%,7,34.3%,15,-10.8%
GB,4-2,14,4.3%,14,4.0%,16,15.9%,11,-4.5%
LAC,2-4,15,3.5%,15,3.4%,10,27.0%,24,-18.1%
JAX,3-3,16,2.1%,16,2.0%,22,4.7%,7,2.7%
OAK,2-4,17,1.4%,18,1.0%,21,10.8%,9,-1.2%
SEA,3-2,18,0.9%,17,1.4%,15,17.2%,19,-15.9%
CAR,4-2,19,-1.5%,19,-1.6%,17,15.0%,23,-18.0%
DEN,3-2,20,-1.8%,20,-1.7%,20,11.4%,13,-7.8%
NYG,1-5,21,-3.3%,21,-2.9%,19,13.8%,22,-17.8%
BUF,3-2,22,-7.5%,22,-8.1%,14,17.3%,31,-28.6%
DET,3-3,23,-9.5%,24,-9.8%,25,1.2%,29,-25.3%
CIN,2-3,24,-10.2%,23,-8.5%,23,4.5%,30,-25.7%
ARI,3-3,25,-10.3%,25,-9.9%,24,2.9%,32,-29.3%
BAL,3-3,26,-13.6%,26,-13.7%,29,-16.3%,10,-4.2%
NYJ,3-3,27,-15.3%,27,-15.1%,27,-7.4%,20,-16.6%
SF,0-6,28,-18.6%,28,-18.0%,26,-2.8%,26,-23.5%
CHI,2-4,29,-20.3%,29,-20.7%,30,-19.9%,16,-11.3%
MIA,3-2,30,-22.9%,30,-22.9%,28,-14.3%,27,-23.7%
CLE,0-6,31,-29.4%,31,-29.7%,32,-32.7%,14,-10.5%
IND,2-4,32,-30.7%,32,-30.1%,31,-25.0%,28,-23.8%
