Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,5-2,1,33.0%,1,32.4%,1,52.4%,1,13.6%
NE,5-2,2,26.2%,2,26.2%,2,46.2%,7,4.6%
NO,4-2,3,20.9%,3,21.1%,9,33.3%,2,12.4%
PIT,5-2,4,18.1%,5,17.9%,7,34.3%,5,8.3%
DAL,3-3,5,17.6%,4,18.5%,10,29.5%,3,11.3%
TB,2-4,6,13.9%,6,14.0%,6,36.8%,20,-16.4%
ATL,3-3,7,13.6%,8,12.9%,15,23.1%,4,10.7%
PHI,6-1,8,13.5%,7,13.8%,3,42.6%,13,-11.2%
OAK,3-4,9,11.9%,9,11.0%,13,26.7%,10,-0.6%
WAS,3-3,10,9.7%,10,9.9%,5,36.8%,27,-22.2%
MIN,5-2,11,9.7%,11,9.4%,4,37.7%,18,-16.2%
HOU,3-3,12,8.1%,12,8.8%,8,34.1%,15,-12.9%
LAR,5-2,13,6.0%,13,6.2%,11,28.0%,11,-4.0%
GB,4-3,14,5.0%,14,4.8%,17,14.1%,8,1.6%
JAX,4-3,15,4.2%,15,4.4%,18,11.0%,9,1.4%
TEN,4-3,16,0.9%,17,-0.2%,21,6.8%,6,6.2%
SEA,4-2,17,0.8%,16,1.5%,14,23.7%,26,-22.0%
LAC,3-4,18,0.4%,18,-0.4%,12,27.0%,21,-19.6%
BUF,4-2,19,-2.4%,19,-2.3%,16,21.5%,24,-21.9%
NYG,1-6,20,-6.4%,20,-6.0%,19,10.9%,22,-20.6%
CAR,4-3,21,-7.3%,21,-7.3%,20,8.1%,25,-21.9%
DEN,3-3,22,-8.0%,22,-8.9%,22,4.2%,16,-13.2%
DET,3-3,23,-10.0%,23,-10.5%,23,1.0%,30,-26.7%
BAL,3-4,24,-14.1%,26,-14.6%,29,-15.4%,12,-4.1%
NYJ,3-4,25,-14.2%,25,-13.9%,27,-6.8%,17,-13.2%
CIN,2-4,26,-14.5%,24,-13.2%,25,-5.4%,29,-24.1%
ARI,3-4,27,-15.8%,27,-15.4%,24,-3.2%,32,-32.2%
SF,0-7,28,-19.4%,28,-18.8%,28,-7.8%,23,-20.8%
MIA,4-2,29,-20.6%,29,-21.1%,26,-6.6%,31,-29.5%
CHI,3-4,30,-22.4%,30,-22.1%,30,-23.5%,14,-11.7%
IND,2-5,31,-29.6%,31,-28.8%,31,-24.3%,28,-23.0%
CLE,0-7,32,-31.1%,32,-31.2%,32,-33.0%,19,-16.2%
