Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,3-0,1,44.3%,1,44.3%,3,52.0%,1,50.0%
TEN,2-1,2,37.8%,2,37.8%,7,42.2%,2,40.8%
NO,1-2,3,29.7%,3,29.7%,4,51.5%,8,-1.9%
MIN,2-1,4,26.8%,4,26.8%,2,68.2%,17,-14.2%
NE,2-1,5,24.1%,5,24.1%,5,49.9%,10,-4.6%
PIT,2-1,6,21.4%,6,21.4%,6,44.3%,9,-2.8%
ATL,3-0,7,19.4%,7,19.4%,8,35.3%,3,18.3%
LAR,2-1,8,16.0%,8,16.0%,1,72.8%,22,-19.4%
OAK,2-1,9,11.8%,9,11.8%,16,21.6%,4,4.4%
PHI,2-1,10,8.8%,10,8.8%,14,24.5%,5,1.8%
JAX,2-1,11,8.8%,11,8.8%,10,28.3%,11,-6.3%
LAC,0-3,12,6.7%,12,6.7%,9,35.2%,24,-26.6%
GB,2-1,13,6.5%,13,6.5%,17,20.9%,12,-6.7%
WAS,2-1,14,5.8%,14,5.8%,13,26.0%,16,-12.1%
DET,2-1,15,3.7%,15,3.7%,11,27.1%,26,-29.4%
SEA,1-2,16,2.8%,16,2.8%,15,24.3%,25,-26.7%
DEN,2-1,17,1.9%,17,1.9%,20,11.5%,6,0.9%
TB,1-1,18,1.8%,18,1.8%,19,16.9%,19,-14.6%
DAL,2-1,19,-1.2%,19,-1.2%,18,18.7%,15,-12.1%
BUF,2-1,20,-2.2%,20,-2.2%,12,26.2%,28,-33.3%
NYG,0-3,21,-13.5%,21,-13.5%,21,7.0%,32,-39.1%
HOU,1-2,22,-14.0%,22,-14.0%,23,-2.5%,21,-18.9%
MIA,1-1,23,-14.2%,23,-14.2%,22,5.8%,30,-34.0%
NYJ,1-2,24,-15.3%,24,-15.3%,24,-2.7%,23,-23.7%
CAR,2-1,25,-18.1%,25,-18.1%,26,-18.5%,14,-9.4%
BAL,2-1,26,-21.0%,26,-21.0%,27,-19.2%,18,-14.3%
CHI,1-2,27,-21.6%,27,-21.6%,30,-30.4%,7,0.0%
ARI,1-2,28,-21.9%,28,-21.9%,25,-10.2%,31,-38.2%
CLE,0-3,29,-25.7%,29,-25.7%,28,-25.7%,13,-8.5%
SF,0-3,30,-30.1%,30,-30.1%,29,-27.8%,20,-15.4%
CIN,0-3,31,-36.0%,31,-36.0%,31,-34.3%,27,-32.9%
IND,1-2,32,-41.9%,32,-41.9%,32,-34.8%,29,-33.4%
