Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,7-3,1,-19.2%,1,-18.1%,5,-7.6%,1,-39.0%
HOU,7-3,2,-14.8%,2,-16.5%,6,-4.5%,2,-30.9%
BUF,3-7,3,-14.8%,3,-15.4%,1,-14.8%,13,-14.9%
MIN,5-4-1,4,-12.9%,4,-14.8%,7,-2.2%,3,-28.8%
DEN,4-6,5,-10.7%,5,-12.2%,2,-10.0%,16,-11.7%
ARI,2-8,6,-10.3%,6,-9.3%,4,-8.6%,15,-12.1%
JAX,3-7,7,-8.7%,7,-7.2%,9,0.5%,5,-21.6%
BAL,5-5,8,-7.2%,8,-5.2%,12,2.3%,4,-21.9%
CLE,3-6-1,9,-6.8%,9,-4.0%,3,-9.5%,25,-2.6%
SEA,5-5,10,-3.7%,13,-1.9%,11,1.0%,17,-11.2%
LAC,7-3,11,-3.0%,11,-3.5%,13,2.4%,18,-10.8%
PIT,7-2-1,12,-2.6%,10,-3.8%,17,8.4%,8,-20.2%
NYJ,3-7,13,-2.0%,16,0.1%,15,3.8%,19,-10.2%
NO,9-1,14,-0.9%,12,-3.0%,19,9.7%,6,-21.1%
LAR,10-1,15,-0.1%,17,0.3%,14,3.0%,22,-4.9%
DAL,5-5,16,-0.1%,20,1.0%,23,13.8%,10,-19.5%
WAS,6-4,17,0.2%,19,1.0%,10,0.9%,27,-1.1%
GB,4-5-1,18,0.3%,14,-0.8%,8,0.4%,28,0.0%
IND,5-5,19,0.5%,18,0.6%,25,15.6%,9,-20.1%
NE,7-3,20,0.5%,15,-0.1%,21,12.8%,7,-20.4%
SF,2-8,21,2.2%,22,2.8%,22,13.0%,14,-14.2%
TEN,5-5,22,2.6%,21,2.0%,28,19.5%,11,-18.1%
CAR,6-4,23,5.3%,24,5.1%,26,18.3%,12,-16.5%
MIA,5-5,24,5.4%,26,8.2%,24,14.1%,23,-4.2%
PHI,4-6,25,5.6%,27,8.5%,20,12.7%,20,-9.0%
CIN,5-5,26,6.3%,25,7.8%,18,8.8%,31,3.0%
KC,9-2,27,6.4%,23,4.4%,16,6.8%,32,5.9%
NYG,3-7,28,8.9%,28,8.8%,27,18.8%,24,-3.8%
DET,4-6,29,13.4%,29,14.1%,29,27.9%,21,-5.2%
OAK,2-8,30,19.7%,30,21.0%,32,41.5%,26,-2.0%
ATL,4-6,31,19.8%,31,22.1%,30,32.4%,29,0.7%
TB,3-7,32,22.4%,32,23.0%,31,37.5%,30,1.3%
