Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,8-4,1,-20.9%,1,-20.5%,2,-12.5%,1,-34.7%
DEN,6-6,2,-13.3%,2,-15.6%,1,-13.0%,13,-13.8%
BUF,4-8,3,-12.9%,3,-12.5%,3,-12.1%,12,-13.9%
HOU,9-3,4,-11.1%,5,-10.0%,10,0.5%,2,-30.1%
BAL,7-5,5,-10.8%,8,-8.7%,5,-4.3%,8,-21.1%
JAX,4-8,6,-10.3%,9,-8.3%,8,-1.3%,4,-23.5%
DAL,7-5,7,-9.5%,6,-9.5%,7,-1.8%,9,-20.7%
MIN,6-5-1,8,-8.0%,7,-8.9%,11,2.0%,7,-22.3%
NO,10-2,9,-6.9%,4,-10.3%,12,3.0%,3,-26.2%
ARI,3-9,10,-5.4%,12,-4.2%,6,-3.1%,20,-7.9%
LAC,9-3,11,-4.5%,10,-4.7%,9,-0.3%,18,-10.5%
CLE,4-7-1,12,-4.2%,15,-0.4%,4,-5.3%,26,-2.6%
IND,6-6,13,-3.4%,11,-4.7%,21,11.5%,5,-23.3%
LAR,11-1,14,-1.1%,14,-0.9%,13,3.1%,21,-7.5%
PIT,7-4-1,15,-1.0%,13,-1.3%,20,11.5%,10,-20.6%
SEA,7-5,16,0.3%,19,3.4%,18,9.2%,14,-13.6%
NE,9-3,17,1.4%,16,1.7%,19,11.5%,11,-17.3%
NYJ,3-9,18,1.6%,20,5.0%,14,6.6%,24,-5.1%
WAS,6-6,19,2.6%,17,3.1%,15,7.1%,25,-4.7%
TEN,6-6,20,3.0%,18,3.2%,24,16.2%,15,-12.8%
PHI,6-6,21,4.2%,26,7.5%,22,11.7%,17,-10.7%
GB,4-7-1,22,5.3%,21,5.3%,16,7.2%,29,2.7%
MIA,6-6,23,5.5%,27,9.1%,26,18.8%,19,-10.0%
NYG,4-8,24,6.3%,23,6.1%,23,16.1%,22,-5.9%
CAR,6-6,25,6.6%,24,6.8%,29,24.5%,6,-22.4%
KC,10-2,26,7.2%,22,6.1%,17,9.1%,31,4.0%
SF,2-10,27,7.7%,28,9.2%,28,20.6%,16,-11.0%
DET,4-8,28,8.3%,25,7.3%,25,18.4%,23,-5.4%
CIN,5-7,29,11.2%,29,14.2%,27,20.1%,28,0.5%
ATL,4-8,30,15.8%,30,16.8%,31,29.4%,27,-2.3%
OAK,2-10,31,18.1%,32,19.5%,32,33.0%,30,3.4%
TB,5-7,32,18.4%,31,17.1%,30,28.0%,32,4.5%
