Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,9-4,1,-25.7%,1,-26.9%,1,-20.3%,1,-34.9%
BAL,7-6,2,-12.1%,4,-11.3%,4,-7.0%,7,-20.3%
BUF,4-9,3,-11.8%,3,-11.7%,3,-9.3%,11,-15.0%
DEN,6-7,4,-11.5%,2,-13.2%,2,-9.6%,12,-14.2%
HOU,9-4,5,-9.2%,8,-6.8%,13,3.4%,2,-30.4%
DAL,8-5,6,-9.1%,7,-9.4%,10,0.4%,4,-23.6%
MIN,6-6-1,7,-8.9%,6,-9.6%,7,-1.8%,8,-18.4%
JAX,4-9,8,-7.2%,10,-4.5%,9,0.2%,10,-17.5%
NO,11-2,9,-7.0%,5,-11.1%,12,3.0%,3,-26.6%
ARI,3-10,10,-5.0%,11,-4.0%,6,-1.9%,21,-8.4%
IND,7-6,11,-4.0%,9,-5.3%,18,9.1%,6,-22.0%
LAC,10-3,12,-3.5%,12,-3.8%,11,2.2%,19,-11.2%
CLE,5-7-1,13,-3.0%,15,0.7%,5,-3.9%,27,-1.7%
LAR,11-2,14,-2.4%,13,-2.3%,8,-0.3%,24,-5.5%
SEA,8-5,15,0.2%,18,3.3%,16,8.3%,17,-12.6%
PIT,7-5-1,16,0.6%,14,0.2%,24,15.5%,5,-22.1%
TEN,7-6,17,1.6%,16,1.2%,21,13.6%,14,-13.3%
NYJ,4-9,18,2.3%,24,6.6%,17,8.4%,23,-6.0%
WAS,6-7,19,3.6%,19,3.9%,15,7.3%,25,-2.2%
NYG,5-8,20,4.0%,17,2.1%,20,13.0%,22,-7.5%
NE,9-4,21,4.4%,21,5.3%,22,14.0%,15,-12.8%
PHI,6-7,22,4.4%,25,7.3%,23,14.2%,13,-14.0%
MIA,7-6,23,4.9%,26,7.9%,28,19.7%,16,-12.7%
SF,3-10,24,5.1%,22,5.3%,25,16.9%,18,-12.4%
GB,5-7-1,25,5.7%,20,4.6%,14,7.2%,31,3.5%
DET,5-8,26,7.4%,23,6.3%,26,19.0%,20,-8.8%
KC,11-2,27,8.7%,27,8.0%,19,11.1%,32,5.1%
CAR,6-7,28,8.7%,28,10.0%,30,25.5%,9,-17.6%
CIN,5-8,29,10.1%,29,12.4%,27,19.2%,28,-0.7%
TB,5-8,30,15.5%,30,13.3%,29,24.6%,30,2.7%
ATL,4-9,31,16.1%,31,16.3%,31,29.2%,26,-1.7%
OAK,3-10,32,17.5%,32,18.0%,32,34.6%,29,-0.5%
