Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,3-1,1,-29.9%,1,-29.9%,1,-26.2%,3,-36.7%
BAL,3-1,2,-17.5%,2,-17.5%,5,-10.7%,6,-29.4%
JAX,3-1,3,-17.0%,3,-17.0%,7,-6.7%,5,-31.8%
CLE,1-2-1,4,-16.5%,4,-16.5%,4,-11.2%,7,-23.9%
NYJ,1-3,5,-15.2%,5,-15.2%,2,-15.7%,15,-14.4%
SEA,2-2,6,-11.4%,6,-11.4%,10,-4.9%,12,-19.8%
ARI,0-4,7,-11.1%,7,-11.1%,6,-8.6%,19,-13.4%
MIA,3-1,8,-10.6%,8,-10.6%,8,-6.6%,14,-15.5%
PHI,2-2,9,-7.4%,9,-7.4%,15,5.8%,1,-38.5%
LAR,4-0,10,-6.4%,10,-6.4%,9,-5.5%,23,-8.2%
IND,1-3,11,-6.4%,11,-6.4%,12,4.1%,9,-22.2%
WAS,2-1,12,-5.8%,12,-5.8%,3,-15.2%,31,11.8%
BUF,1-3,13,-1.3%,13,-1.3%,14,5.0%,16,-13.8%
GB,2-1-1,14,0.1%,14,0.1%,11,-3.7%,29,6.8%
NE,2-2,15,0.9%,15,0.9%,20,15.9%,10,-22.1%
HOU,1-3,16,1.3%,16,1.3%,29,25.2%,4,-32.3%
TEN,3-1,17,1.4%,17,1.4%,13,4.6%,25,-3.7%
DAL,2-2,18,1.7%,18,1.7%,18,14.1%,18,-13.6%
DEN,2-2,19,2.4%,19,2.4%,16,12.4%,20,-12.9%
MIN,1-2-1,20,2.9%,20,2.9%,25,19.1%,11,-21.1%
CIN,3-1,21,4.4%,21,4.4%,19,15.5%,17,-13.7%
PIT,1-2-1,22,5.1%,22,5.1%,27,21.1%,8,-23.7%
SF,1-3,23,5.1%,23,5.1%,26,19.2%,13,-19.5%
LAC,2-2,24,6.3%,24,6.3%,21,16.5%,24,-7.6%
CAR,2-1,25,7.1%,25,7.1%,24,17.8%,21,-12.1%
DET,1-3,26,7.4%,26,7.4%,22,16.6%,26,-1.8%
NO,3-1,27,11.3%,27,11.3%,31,37.5%,2,-37.6%
NYG,1-3,28,11.4%,28,11.4%,17,13.8%,30,8.2%
ATL,1-3,29,12.3%,29,12.3%,23,16.9%,28,4.2%
OAK,1-3,30,13.7%,30,13.7%,28,23.9%,27,-0.6%
KC,4-0,31,27.1%,31,27.1%,30,33.6%,32,15.0%
TB,2-2,32,29.1%,32,29.1%,32,51.0%,22,-9.6%
