Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
MIA,2-0,1,-40.0%,1,-40.0%,1,-42.4%,2,-36.3%
NYJ,1-1,2,-28.8%,2,-28.8%,2,-40.7%,24,-2.4%
LAR,2-0,3,-25.9%,3,-25.9%,3,-36.4%,19,-10.1%
MIN,1-0-1,4,-22.0%,4,-22.0%,6,-14.5%,5,-34.2%
BAL,1-1,5,-19.6%,5,-19.6%,9,-11.1%,7,-32.4%
CHI,1-1,6,-19.1%,6,-19.1%,8,-12.6%,10,-31.2%
CLE,0-1-1,7,-18.0%,7,-18.0%,7,-12.8%,12,-25.3%
WAS,1-1,8,-17.3%,8,-17.3%,4,-30.9%,27,5.3%
PHI,1-1,9,-13.0%,9,-13.0%,11,1.4%,1,-40.4%
DAL,1-1,10,-10.6%,10,-10.6%,5,-15.4%,22,-3.9%
JAX,2-0,11,-8.7%,11,-8.7%,14,3.6%,11,-25.7%
HOU,0-2,12,-8.3%,12,-8.3%,21,23.9%,3,-34.5%
CIN,2-0,13,-7.9%,13,-7.9%,13,3.5%,6,-33.7%
SEA,0-2,14,-2.0%,14,-2.0%,15,6.9%,18,-12.9%
IND,1-1,15,-1.0%,15,-1.0%,17,11.6%,13,-24.3%
SF,1-1,16,1.7%,16,1.7%,19,17.9%,9,-31.8%
DEN,2-0,17,1.8%,17,1.8%,20,23.3%,8,-32.0%
ATL,1-1,18,3.8%,18,3.8%,10,-0.1%,29,11.1%
NO,1-1,19,5.3%,19,5.3%,27,32.2%,4,-34.4%
LAC,1-1,20,6.5%,20,6.5%,22,24.4%,17,-16.3%
NYG,0-2,21,8.5%,21,8.5%,12,1.6%,31,16.5%
CAR,1-1,22,9.0%,22,9.0%,24,28.3%,15,-19.1%
GB,1-0-1,23,9.6%,23,9.6%,16,10.5%,28,7.6%
ARI,0-2,24,9.7%,24,9.7%,30,44.0%,16,-17.8%
NE,1-1,25,10.0%,25,10.0%,25,28.4%,14,-22.0%
PIT,0-1-1,26,14.5%,26,14.5%,26,31.0%,20,-9.7%
OAK,0-2,27,17.7%,27,17.7%,18,12.5%,32,24.1%
TEN,1-1,28,18.2%,28,18.2%,28,34.1%,25,-1.6%
DET,0-2,29,19.3%,29,19.3%,23,26.2%,30,12.3%
TB,2-0,30,26.6%,30,26.6%,29,38.1%,26,0.9%
BUF,0-2,31,30.5%,31,30.5%,32,59.3%,23,-2.9%
KC,2-0,32,34.6%,32,34.6%,31,47.8%,21,-5.1%
