Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,8-3,1,-21.1%,1,-20.1%,2,-12.5%,1,-35.7%
BUF,4-7,2,-14.5%,2,-15.1%,1,-16.3%,15,-12.1%
HOU,8-3,3,-13.9%,4,-14.4%,7,-2.3%,2,-31.9%
MIN,6-4-1,4,-12.4%,3,-14.7%,6,-2.6%,3,-27.2%
DEN,5-6,5,-12.2%,5,-13.7%,3,-11.8%,14,-12.8%
BAL,6-5,6,-8.6%,7,-6.3%,8,-1.1%,8,-20.5%
NO,10-1,7,-6.8%,6,-10.3%,10,2.2%,4,-25.1%
ARI,2-9,8,-6.1%,9,-4.7%,5,-5.0%,20,-7.2%
JAX,3-8,9,-5.9%,11,-2.8%,14,4.0%,9,-19.3%
CLE,4-6-1,10,-5.1%,13,-1.2%,4,-6.0%,25,-3.7%
LAC,8-3,11,-4.8%,8,-5.6%,9,0.0%,16,-11.5%
DAL,6-5,12,-3.7%,10,-2.9%,18,6.9%,10,-19.2%
SEA,6-5,13,-2.4%,15,-0.8%,12,3.2%,17,-11.0%
PIT,7-3-1,14,-1.7%,12,-1.8%,19,8.9%,11,-18.5%
IND,6-5,15,-1.0%,14,-0.8%,22,13.8%,7,-20.9%
LAR,10-1,16,-0.4%,16,0.1%,11,2.2%,24,-4.5%
NYJ,3-8,17,0.3%,20,2.9%,17,6.4%,18,-7.8%
WAS,6-5,18,1.0%,17,1.5%,13,3.6%,26,-3.5%
NE,8-3,19,1.7%,18,2.1%,23,14.6%,6,-21.4%
GB,4-6-1,20,2.2%,19,2.2%,15,4.7%,27,-1.4%
MIA,5-6,21,3.6%,24,6.5%,21,12.7%,21,-7.0%
TEN,5-6,22,4.1%,22,4.8%,26,19.2%,12,-14.4%
SF,2-9,23,5.6%,25,7.3%,24,17.9%,13,-13.0%
CAR,6-5,24,5.7%,23,5.5%,28,22.6%,5,-21.6%
PHI,5-6,25,5.7%,26,8.9%,20,12.2%,19,-7.4%
KC,9-2,26,5.9%,21,4.1%,16,6.0%,32,5.7%
NYG,3-8,27,9.5%,27,10.6%,27,22.0%,23,-5.7%
CIN,5-6,28,9.7%,29,11.9%,25,18.2%,28,-0.8%
DET,4-7,29,10.7%,28,10.7%,29,22.7%,22,-5.8%
OAK,2-9,30,17.8%,30,19.1%,31,33.9%,31,2.6%
ATL,4-7,31,18.2%,31,20.5%,30,29.3%,29,2.1%
TB,4-7,32,20.9%,32,20.9%,32,34.7%,30,2.3%
