Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,3-3,1,-15.2%,1,-14.9%,5,-8.7%,5,-26.0%
CLE,2-4-1,2,-14.2%,2,-13.8%,1,-18.9%,24,-7.4%
HOU,4-3,3,-13.7%,3,-13.8%,11,0.2%,1,-34.6%
BAL,4-3,4,-13.1%,4,-13.3%,7,-4.2%,4,-26.3%
SEA,3-3,5,-12.9%,5,-13.1%,4,-10.8%,12,-15.8%
BUF,2-5,6,-11.2%,6,-12.0%,3,-11.8%,20,-10.3%
JAX,3-4,7,-9.9%,7,-9.8%,9,-2.6%,10,-19.1%
ARI,1-6,8,-8.7%,8,-9.0%,6,-5.1%,15,-12.4%
DEN,3-4,9,-8.3%,9,-8.6%,2,-15.3%,28,0.6%
NYJ,3-4,10,-6.6%,10,-5.8%,8,-2.7%,13,-13.4%
DAL,3-4,11,-6.0%,11,-5.8%,18,9.4%,3,-26.4%
LAR,7-0,12,-4.4%,12,-4.1%,10,-1.8%,22,-8.3%
MIN,4-2-1,13,-4.0%,13,-3.5%,17,8.7%,6,-24.4%
IND,2-5,14,-0.7%,14,-0.6%,19,10.0%,11,-15.9%
MIA,4-3,15,-0.3%,15,0.4%,16,8.1%,21,-9.7%
PHI,3-4,16,0.5%,16,1.0%,13,5.8%,14,-12.5%
LAC,5-2,17,1.2%,17,1.0%,14,7.2%,23,-8.0%
NE,5-2,18,2.0%,18,1.6%,21,14.5%,7,-21.4%
PIT,3-2-1,19,3.1%,19,2.7%,22,14.9%,9,-20.0%
WAS,4-2,20,3.3%,22,3.6%,15,7.6%,26,-4.4%
CAR,4-2,21,3.4%,20,3.2%,25,17.7%,8,-20.2%
TEN,3-4,22,3.7%,21,3.4%,24,16.8%,18,-11.7%
NO,5-1,23,5.1%,23,4.9%,28,23.8%,2,-28.5%
SF,1-6,24,6.3%,24,6.5%,26,18.1%,19,-11.4%
GB,3-2-1,25,6.6%,25,6.7%,12,5.8%,32,7.8%
CIN,4-3,26,8.8%,27,9.5%,23,16.0%,27,-2.7%
KC,6-1,27,9.3%,26,8.9%,20,10.4%,31,7.4%
NYG,1-6,28,11.7%,28,11.6%,29,25.2%,25,-6.5%
DET,3-3,29,12.4%,29,12.0%,27,20.6%,30,1.7%
OAK,1-5,30,16.1%,30,16.7%,31,40.8%,16,-12.4%
ATL,3-4,31,18.8%,31,19.3%,30,29.4%,29,1.5%
TB,3-3,32,23.9%,32,24.0%,32,45.3%,17,-12.3%
