Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,13-3,1,29.1%,1,31.6%,1,52.0%,5,3.0%
KC,14-2,2,23.9%,3,23.4%,2,49.0%,13,-5.6%
TB,11-5,3,19.8%,2,24.6%,5,37.1%,10,-2.0%
TEN,11-5,4,18.4%,4,19.1%,4,39.5%,2,6.1%
BUF,13-3,5,15.6%,5,17.8%,3,43.3%,22,-15.0%
SEA,12-4,6,13.7%,6,9.6%,6,30.4%,9,-1.4%
NO,12-4,7,10.7%,7,9.4%,12,16.6%,1,9.5%
MIN,7-9,8,6.4%,11,6.0%,11,18.8%,6,0.7%
CLE,11-5,9,5.4%,8,8.2%,10,20.9%,7,-0.8%
LAR,10-6,10,4.4%,17,-4.8%,20,12.4%,4,3.5%
BAL,11-5,11,4.3%,9,7.2%,17,14.0%,3,6.0%
IND,11-5,12,2.8%,10,6.5%,16,14.3%,12,-5.4%
HOU,4-12,13,2.7%,12,2.5%,8,24.1%,32,-27.9%
LV,8-8,14,1.8%,15,-3.9%,9,21.3%,24,-17.7%
LAC,7-9,15,1.5%,13,0.0%,7,27.5%,31,-26.8%
DET,5-11,16,0.0%,14,-2.3%,15,14.8%,21,-13.8%
CAR,5-11,17,-0.2%,19,-5.7%,19,12.5%,16,-9.1%
MIA,10-6,18,-2.1%,18,-5.2%,18,12.8%,23,-17.6%
ARI,8-8,19,-2.4%,23,-8.1%,14,15.2%,17,-9.9%
SF,6-10,20,-2.5%,20,-6.5%,22,8.9%,15,-7.4%
ATL,4-12,21,-3.1%,16,-4.3%,13,15.8%,29,-25.9%
PIT,12-4,22,-4.7%,22,-7.9%,21,11.3%,30,-26.2%
NE,7-9,23,-7.3%,26,-13.2%,27,-10.6%,8,-1.3%
DAL,6-10,24,-8.5%,25,-11.3%,24,-0.9%,20,-12.6%
CHI,8-8,25,-10.6%,21,-6.7%,23,1.6%,25,-18.3%
NYG,6-10,26,-11.8%,24,-11.1%,28,-11.5%,11,-3.8%
JAX,1-15,27,-12.6%,30,-19.3%,26,-8.1%,19,-11.0%
PHI,4-11-1,28,-16.9%,27,-16.9%,29,-12.1%,18,-10.2%
CIN,4-11-1,29,-18.2%,28,-17.9%,25,-4.9%,28,-24.3%
DEN,5-11,30,-20.3%,29,-18.1%,31,-12.9%,27,-22.9%
NYJ,2-14,31,-20.5%,31,-19.7%,30,-12.6%,26,-22.5%
WAS,7-9,32,-21.8%,32,-20.7%,32,-26.7%,14,-6.0%
