Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,10-3,1,28.6%,1,29.6%,2,54.0%,8,-1.6%
KC,12-1,2,27.6%,2,28.6%,1,57.7%,18,-9.9%
TEN,9-4,3,21.8%,3,22.0%,3,47.0%,3,5.0%
SEA,9-4,4,14.8%,6,11.9%,5,34.2%,14,-5.1%
TB,8-5,5,13.8%,4,14.1%,6,30.3%,12,-4.5%
LAR,9-4,6,12.3%,7,9.2%,12,19.9%,1,9.9%
BUF,10-3,7,12.1%,5,12.1%,4,38.2%,21,-13.5%
NO,10-3,8,8.7%,8,7.7%,16,16.9%,2,5.2%
CAR,4-9,9,7.4%,9,6.7%,8,22.5%,11,-3.0%
CLE,9-4,10,4.8%,10,5.8%,9,20.9%,10,-2.3%
MIN,6-7,11,3.2%,11,3.0%,17,16.3%,6,-1.4%
HOU,4-9,12,2.6%,13,1.3%,7,28.0%,32,-36.3%
DET,5-8,13,1.9%,14,0.6%,18,16.2%,22,-13.7%
ARI,7-6,14,1.8%,15,0.3%,14,18.4%,16,-5.3%
LV,7-6,15,1.5%,18,-2.2%,13,19.7%,23,-16.0%
IND,9-4,16,1.3%,12,2.7%,15,17.3%,19,-11.7%
MIA,8-5,17,0.4%,17,-0.8%,10,20.8%,25,-22.5%
BAL,8-5,18,0.1%,16,-0.3%,22,7.3%,4,3.9%
LAC,4-9,19,-1.1%,19,-2.6%,11,19.9%,27,-24.8%
PIT,11-2,20,-2.1%,20,-3.6%,19,15.7%,30,-26.3%
SF,5-8,21,-2.1%,21,-6.5%,20,10.3%,17,-7.7%
ATL,4-9,22,-7.2%,22,-9.2%,21,9.3%,28,-25.2%
DAL,4-9,23,-9.3%,23,-11.1%,23,-1.3%,20,-13.4%
NE,6-7,24,-9.7%,24,-11.2%,28,-14.9%,9,-2.2%
JAX,1-12,25,-9.9%,28,-13.3%,25,-6.8%,15,-5.1%
CHI,6-7,26,-12.9%,25,-12.4%,24,-2.0%,24,-18.8%
PHI,4-8-1,27,-13.8%,27,-13.3%,27,-13.9%,5,-1.1%
NYG,5-8,28,-14.1%,26,-13.1%,31,-18.1%,7,-1.5%
WAS,6-7,29,-18.8%,29,-17.4%,32,-22.0%,13,-4.9%
CIN,2-10-1,30,-21.5%,31,-22.2%,26,-7.3%,31,-28.9%
DEN,5-8,31,-21.8%,30,-21.7%,29,-15.4%,26,-23.0%
NYJ,0-13,32,-24.7%,32,-24.5%,30,-17.8%,29,-25.5%
