Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
BAL,1-0,1,39.9%,1,39.9%,1,146.1%,29,-56.6%
SEA,1-0,2,38.6%,2,38.6%,2,80.1%,9,-2.9%
NE,1-0,3,36.4%,3,36.4%,18,19.0%,1,44.1%
JAX,1-0,4,35.8%,4,35.8%,3,78.6%,19,-21.0%
LV,1-0,5,31.7%,5,31.7%,6,60.5%,4,8.1%
MIN,0-1,6,28.2%,6,28.2%,10,40.0%,2,31.9%
GB,1-0,7,24.2%,7,24.2%,9,40.3%,6,3.4%
CAR,0-1,8,23.4%,8,23.4%,8,44.9%,7,2.0%
KC,1-0,9,17.6%,9,17.6%,5,65.4%,14,-15.6%
ATL,0-1,10,11.8%,10,11.8%,11,38.1%,24,-36.3%
HOU,0-1,11,11.1%,11,11.1%,23,5.9%,3,30.2%
DAL,0-1,12,9.2%,12,9.2%,13,28.5%,10,-5.8%
LAR,1-0,13,7.5%,13,7.5%,21,12.4%,5,3.7%
PIT,1-0,14,6.5%,14,6.5%,4,66.1%,26,-40.8%
IND,0-1,15,3.8%,15,3.8%,17,20.2%,22,-26.1%
TEN,1-0,16,3.4%,16,3.4%,12,35.5%,21,-24.7%
BUF,1-0,17,2.6%,17,2.6%,7,49.7%,30,-65.1%
SF,0-1,18,2.3%,18,2.3%,15,25.3%,15,-16.5%
CHI,1-0,19,0.9%,19,0.9%,19,14.0%,11,-9.6%
ARI,1-0,20,0.5%,20,0.5%,14,27.5%,17,-18.9%
DET,0-1,21,-0.3%,21,-0.3%,22,12.1%,12,-14.0%
LAC,1-0,22,-7.6%,22,-7.6%,20,12.5%,16,-18.7%
DEN,0-1,23,-13.3%,23,-13.3%,24,-4.7%,20,-22.3%
NO,1-0,24,-13.7%,24,-13.7%,16,21.7%,28,-52.2%
TB,0-1,25,-16.1%,25,-16.1%,25,-7.9%,13,-14.3%
NYJ,0-1,26,-21.1%,26,-21.1%,29,-24.5%,8,-2.7%
MIA,0-1,27,-23.2%,27,-23.2%,30,-27.2%,18,-19.0%
WAS,1-0,28,-32.7%,28,-32.7%,26,-12.4%,27,-51.0%
CIN,0-1,29,-33.2%,29,-33.2%,28,-20.0%,23,-29.4%
NYG,0-1,30,-45.4%,30,-45.4%,27,-18.2%,32,-86.5%
CLE,0-1,31,-57.5%,31,-57.5%,31,-35.7%,31,-70.2%
PHI,0-1,32,-71.3%,32,-71.3%,32,-84.6%,25,-37.5%
