Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,13-1,1,26.4%,1,27.3%,1,53.4%,13,-5.5%
GB,11-3,2,26.1%,2,26.6%,3,47.5%,5,1.1%
TEN,10-4,3,23.5%,3,25.3%,2,49.0%,2,7.2%
SEA,10-4,4,14.3%,6,10.6%,5,32.4%,9,-3.0%
TB,9-5,5,14.0%,5,14.0%,6,29.0%,10,-3.2%
BUF,11-3,6,13.7%,4,14.7%,4,40.9%,21,-14.6%
LAR,9-5,7,10.4%,8,7.2%,17,16.3%,1,10.0%
CLE,10-4,8,7.7%,7,10.1%,8,26.3%,8,-1.7%
NO,10-4,9,7.3%,9,6.0%,18,15.1%,3,3.7%
CAR,4-10,10,5.0%,12,3.0%,11,20.5%,14,-6.6%
MIN,6-8,11,4.8%,11,3.8%,16,17.2%,6,-0.1%
IND,10-4,12,2.4%,10,4.1%,15,17.8%,18,-10.2%
HOU,4-10,13,2.3%,13,1.3%,7,27.1%,32,-34.4%
DET,5-9,14,1.8%,16,-0.1%,14,18.4%,23,-16.1%
BAL,9-5,15,1.6%,14,1.3%,20,11.8%,4,2.5%
MIA,9-5,16,1.3%,15,1.3%,13,18.8%,24,-16.1%
ARI,8-6,17,1.0%,17,-0.7%,12,20.1%,17,-8.0%
LV,7-7,18,0.9%,18,-3.0%,10,20.6%,25,-18.4%
LAC,5-9,19,-0.9%,19,-3.1%,9,23.9%,31,-28.0%
SF,5-9,20,-4.4%,22,-9.8%,22,8.3%,19,-10.4%
ATL,4-10,21,-5.0%,20,-6.5%,19,12.9%,29,-26.6%
PIT,11-3,22,-6.1%,21,-8.9%,21,9.9%,30,-26.8%
DAL,5-9,23,-8.7%,23,-10.0%,24,-1.4%,20,-12.4%
NE,6-8,24,-9.4%,25,-12.0%,29,-15.5%,7,-1.3%
JAX,1-13,25,-10.0%,28,-14.7%,25,-5.1%,16,-7.8%
CHI,7-7,26,-11.5%,24,-10.1%,23,-1.0%,22,-15.7%
NYG,5-9,27,-14.0%,27,-13.0%,31,-16.7%,11,-3.4%
PHI,4-9-1,28,-14.2%,26,-12.4%,27,-10.5%,15,-6.6%
CIN,3-10-1,29,-19.6%,31,-20.9%,26,-6.4%,28,-24.9%
WAS,6-8,30,-20.1%,29,-19.1%,32,-24.7%,12,-3.7%
NYJ,1-13,31,-22.4%,30,-20.5%,28,-14.7%,27,-24.7%
DEN,5-9,32,-22.6%,32,-21.9%,30,-16.2%,26,-23.7%
