Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
GB,13-1,1,24.7%,4,21.5%,3,30.3%,3,27.4%,27,7.8%,27,9.5%,7,2.2%,7,3.5%
NO,11-3,2,23.1%,2,25.8%,2,31.2%,1,34.5%,24,7.4%,23,7.5%,17,-0.7%,19,-1.2%
HOU,10-4,3,22.9%,6,20.2%,7,11.6%,8,9.1%,7,-10.7%,5,-11.6%,15,0.6%,16,-0.5%
PIT,10-4,4,21.1%,1,26.9%,6,12.4%,6,15.3%,9,-7.0%,9,-9.4%,10,1.6%,11,2.2%
NE,11-3,5,20.9%,3,22.0%,1,33.0%,2,32.6%,32,15.5%,32,15.3%,5,3.4%,5,4.7%
SF,11-3,6,20.1%,7,18.5%,20,-5.6%,18,-5.2%,2,-16.6%,1,-16.7%,2,9.1%,3,7.1%
ATL,9-5,7,18.3%,5,21.2%,11,6.9%,9,7.9%,4,-12.6%,2,-15.4%,21,-1.2%,23,-2.0%
BAL,10-4,8,16.5%,8,14.0%,13,2.9%,13,4.1%,1,-18.2%,3,-13.9%,28,-4.6%,25,-4.0%
NYJ,8-6,9,13.8%,11,9.7%,18,-4.7%,17,-5.1%,3,-12.7%,7,-9.9%,3,5.8%,4,4.9%
DAL,8-6,10,10.3%,10,10.6%,9,9.1%,7,10.5%,12,-3.7%,15,-1.9%,23,-2.5%,22,-1.8%
DET,9-5,11,9.0%,12,8.7%,12,4.2%,11,5.4%,6,-11.1%,8,-9.8%,30,-6.3%,31,-6.5%
PHI,6-8,12,9.0%,9,11.0%,10,7.0%,12,5.3%,13,-2.6%,12,-6.1%,18,-0.7%,15,-0.4%
CHI,7-7,13,5.1%,15,4.4%,28,-17.0%,28,-18.8%,5,-12.2%,4,-13.6%,1,9.8%,1,9.7%
NYG,7-7,14,4.8%,16,2.8%,8,9.8%,10,7.6%,21,5.7%,22,7.1%,14,0.7%,10,2.3%
TEN,7-7,15,2.9%,18,1.6%,16,-1.8%,20,-5.7%,17,0.7%,18,0.7%,4,5.4%,2,8.0%
SD,7-7,16,1.6%,14,6.4%,5,12.9%,5,17.5%,25,7.5%,24,7.8%,26,-3.8%,24,-3.2%
SEA,7-7,17,-1.0%,13,8.0%,23,-8.8%,19,-5.5%,10,-6.6%,10,-9.2%,12,1.2%,6,4.3%
CIN,8-6,18,-3.6%,21,-5.1%,17,-3.4%,16,-3.3%,19,2.4%,20,4.6%,6,2.2%,9,2.9%
MIA,5-9,19,-3.7%,17,2.3%,21,-6.9%,22,-7.4%,14,-1.5%,11,-6.5%,9,1.6%,8,3.2%
CAR,5-9,20,-4.4%,19,-0.2%,4,17.3%,4,18.4%,31,13.7%,28,12.3%,32,-7.9%,30,-6.3%
DEN,8-6,21,-6.3%,20,-1.1%,19,-5.6%,15,-1.6%,20,2.5%,19,1.6%,8,1.8%,12,2.1%
OAK,7-7,22,-6.4%,22,-7.6%,14,1.8%,14,0.2%,22,6.5%,21,6.2%,22,-1.7%,21,-1.7%
WAS,5-9,23,-8.1%,23,-8.2%,25,-11.1%,24,-10.0%,11,-4.2%,14,-2.9%,19,-1.1%,18,-1.1%
BUF,5-9,24,-13.4%,28,-26.4%,15,1.0%,21,-7.0%,28,10.8%,31,14.8%,24,-3.6%,27,-4.6%
ARI,7-7,25,-16.9%,25,-16.5%,27,-16.2%,27,-18.2%,18,1.9%,17,-0.7%,11,1.2%,14,1.0%
CLE,4-10,26,-19.8%,26,-20.2%,26,-11.5%,23,-10.0%,23,7.1%,26,9.1%,20,-1.2%,17,-1.0%
KC,6-8,27,-19.9%,24,-16.1%,30,-20.2%,29,-19.0%,16,0.5%,16,-1.6%,13,0.8%,13,1.3%
TB,4-10,28,-20.8%,30,-28.5%,22,-8.6%,26,-14.1%,29,12.7%,30,12.8%,16,0.5%,20,-1.6%
MIN,2-12,29,-21.0%,29,-27.1%,24,-9.7%,25,-12.7%,26,7.7%,25,8.9%,25,-3.6%,29,-5.5%
JAX,4-10,30,-21.5%,27,-21.0%,31,-27.8%,31,-26.4%,8,-10.4%,6,-10.0%,27,-4.1%,28,-4.6%
STL,2-12,31,-33.4%,31,-32.7%,32,-28.4%,32,-29.4%,15,-0.4%,13,-3.2%,29,-5.4%,32,-6.5%
IND,1-13,32,-38.5%,32,-36.3%,29,-18.5%,30,-19.4%,30,13.4%,29,12.6%,31,-6.6%,26,-4.3%
