Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
GB,14-1,1,26.6%,3,23.6%,1,32.6%,3,30.1%,26,8.5%,26,10.9%,6,2.5%,6,4.4%
NO,12-3,2,26.1%,1,32.0%,3,32.2%,1,37.7%,23,6.8%,22,6.5%,13,0.7%,14,0.8%
PIT,11-4,3,22.7%,2,29.5%,5,13.3%,5,16.7%,9,-7.7%,8,-10.2%,9,1.8%,10,2.6%
HOU,10-5,4,21.0%,7,16.1%,7,8.8%,12,4.5%,5,-11.6%,4,-12.3%,14,0.6%,19,-0.8%
NE,12-3,5,20.3%,4,20.8%,2,32.5%,2,31.9%,32,15.9%,32,16.6%,5,3.7%,4,5.4%
SF,12-3,6,18.9%,6,16.4%,18,-5.2%,17,-4.9%,2,-15.5%,1,-15.5%,2,8.5%,3,5.7%
ATL,9-6,7,15.4%,5,16.9%,12,5.3%,11,5.4%,6,-11.5%,2,-14.2%,23,-1.5%,25,-2.7%
BAL,11-4,8,13.7%,11,10.4%,13,2.1%,13,3.4%,1,-17.2%,3,-12.5%,28,-5.5%,29,-5.4%
DET,10-5,9,12.3%,10,13.1%,11,5.7%,7,7.2%,4,-12.6%,5,-12.2%,30,-6.0%,30,-6.3%
NYJ,8-7,10,12.1%,13,7.2%,21,-7.3%,23,-7.7%,3,-14.0%,7,-10.5%,4,5.4%,7,4.4%
PHI,7-8,11,11.7%,8,14.5%,9,8.2%,10,6.0%,11,-4.6%,11,-9.5%,21,-1.2%,20,-1.0%
DAL,8-7,12,8.0%,12,8.1%,10,6.4%,8,6.7%,12,-3.7%,15,-2.1%,24,-2.1%,18,-0.8%
NYG,8-7,13,4.8%,17,2.6%,8,8.4%,9,6.5%,21,4.2%,21,6.0%,15,0.6%,11,2.1%
TEN,8-7,14,3.8%,16,2.7%,16,-0.7%,18,-5.2%,19,1.5%,19,1.5%,3,6.0%,1,9.4%
CHI,7-8,15,2.8%,19,-0.2%,27,-17.3%,29,-20.6%,7,-11.1%,6,-11.8%,1,9.0%,2,8.5%
SEA,7-8,16,1.2%,9,13.3%,20,-6.6%,14,-1.7%,10,-6.9%,9,-10.1%,12,0.9%,5,4.9%
CAR,6-9,17,-0.5%,14,6.3%,4,19.8%,4,22.6%,30,13.7%,29,12.1%,32,-6.6%,28,-4.1%
CIN,9-6,18,-2.5%,20,-4.1%,17,-3.3%,16,-4.2%,18,1.2%,20,2.8%,8,2.0%,9,2.9%
MIA,5-10,19,-2.6%,15,3.7%,19,-6.6%,24,-8.8%,14,-1.9%,12,-8.2%,7,2.1%,8,4.3%
SD,7-8,20,-3.7%,18,0.1%,6,10.1%,6,13.9%,29,10.6%,28,11.4%,25,-3.2%,24,-2.4%
WAS,5-10,21,-6.5%,21,-6.0%,23,-8.4%,19,-6.6%,13,-2.0%,17,-0.1%,17,0.0%,15,0.5%
OAK,8-7,22,-6.9%,22,-7.2%,15,0.8%,15,-1.9%,24,7.7%,23,6.7%,18,0.0%,13,1.4%
BUF,6-9,23,-9.1%,28,-21.4%,14,1.1%,21,-7.6%,27,8.8%,30,12.3%,22,-1.5%,22,-1.5%
DEN,8-7,24,-12.3%,23,-9.3%,25,-9.9%,20,-6.7%,20,2.0%,18,1.4%,19,-0.4%,21,-1.2%
CLE,4-11,25,-16.3%,25,-14.0%,26,-10.9%,22,-7.6%,22,6.5%,25,8.1%,10,1.1%,12,1.8%
KC,6-9,26,-19.1%,24,-11.8%,30,-20.0%,26,-18.0%,15,-1.5%,13,-6.2%,20,-0.5%,16,0.0%
ARI,7-8,27,-19.5%,26,-19.9%,29,-19.5%,30,-22.0%,17,1.0%,14,-2.4%,11,1.0%,17,-0.3%
MIN,3-12,28,-20.9%,29,-28.1%,22,-8.3%,25,-10.4%,25,8.4%,27,11.0%,27,-4.2%,31,-6.7%
JAX,4-11,29,-21.2%,27,-20.2%,31,-27.8%,31,-26.2%,8,-10.2%,10,-9.8%,26,-3.5%,27,-3.8%
TB,4-11,30,-24.3%,31,-35.4%,24,-9.9%,27,-18.0%,31,14.7%,31,15.1%,16,0.3%,23,-2.3%
STL,2-13,31,-34.7%,32,-35.8%,32,-28.9%,32,-30.2%,16,0.1%,16,-1.2%,29,-5.7%,32,-6.8%
IND,2-13,32,-35.1%,30,-30.6%,28,-18.6%,28,-19.5%,28,10.4%,24,8.1%,31,-6.0%,26,-2.9%
