Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,13-3,1,28.7%,1,35.9%,2,33.5%,1,40.4%,24,5.8%,23,5.5%,12,1.0%,13,1.1%
GB,15-1,2,26.2%,3,23.4%,1,34.2%,2,33.3%,26,9.8%,29,13.2%,8,1.8%,9,3.3%
PIT,12-4,3,22.1%,2,27.7%,6,11.6%,6,13.6%,9,-8.8%,6,-11.3%,9,1.8%,10,2.7%
NE,13-3,4,21.5%,4,22.6%,3,32.6%,3,32.1%,30,15.2%,30,15.7%,5,4.2%,3,6.2%
HOU,10-6,5,20.3%,9,14.7%,9,9.0%,13,4.4%,7,-10.6%,7,-10.7%,13,0.7%,18,-0.4%
SF,13-3,6,18.4%,8,15.9%,18,-3.7%,16,-2.1%,3,-14.4%,3,-13.6%,2,7.8%,6,4.3%
ATL,10-6,7,17.3%,5,20.3%,11,6.3%,10,7.2%,5,-12.3%,1,-15.1%,22,-1.3%,25,-2.0%
BAL,12-4,8,13.5%,10,10.9%,13,3.1%,12,4.8%,1,-16.0%,5,-11.6%,30,-5.6%,30,-5.6%
PHI,8-8,9,13.3%,6,19.3%,8,10.1%,8,10.5%,11,-3.1%,12,-8.3%,17,0.0%,15,0.5%
DET,10-6,10,13.1%,7,16.0%,10,7.2%,7,11.3%,6,-11.0%,9,-9.5%,29,-5.2%,29,-4.8%
NYJ,8-8,11,12.3%,13,6.9%,21,-8.3%,24,-10.3%,2,-14.9%,4,-12.2%,4,5.6%,5,5.0%
NYG,9-7,12,7.3%,14,5.4%,7,10.3%,9,8.7%,21,3.3%,21,5.1%,15,0.3%,12,1.8%
DAL,8-8,13,6.2%,16,4.4%,12,5.9%,11,6.1%,12,-2.4%,16,0.9%,25,-2.1%,20,-0.8%
TEN,9-7,14,5.4%,17,3.1%,15,0.5%,17,-3.8%,18,1.4%,19,3.3%,3,6.3%,1,10.1%
CHI,8-8,15,1.0%,20,-3.8%,30,-20.8%,31,-25.6%,4,-13.3%,2,-14.1%,1,8.5%,2,7.7%
SD,8-8,16,-0.4%,12,7.1%,5,13.2%,5,19.6%,29,12.0%,28,13.0%,23,-1.6%,16,0.5%
CIN,9-7,17,-1.4%,19,-2.9%,17,-1.4%,15,-1.7%,19,2.3%,20,4.7%,7,2.3%,7,3.5%
MIA,6-10,18,-2.4%,15,4.5%,20,-7.2%,22,-10.0%,13,-2.3%,10,-8.9%,6,2.6%,4,5.6%
SEA,7-9,19,-2.4%,11,9.0%,22,-8.9%,19,-4.6%,10,-6.3%,8,-10.2%,16,0.2%,8,3.4%
CAR,6-10,20,-4.3%,18,2.1%,4,18.5%,4,22.8%,32,16.3%,32,16.5%,32,-6.5%,28,-4.1%
WAS,5-11,21,-7.8%,21,-7.9%,19,-7.0%,18,-4.4%,16,-0.4%,18,2.5%,21,-1.2%,21,-0.9%
OAK,8-8,22,-8.5%,24,-11.8%,14,2.9%,14,-1.1%,28,10.4%,26,10.5%,20,-1.0%,17,-0.2%
BUF,6-10,23,-10.1%,28,-22.9%,16,0.3%,23,-10.1%,25,8.7%,27,10.9%,24,-1.7%,24,-1.9%
DEN,8-8,24,-13.1%,23,-11.5%,23,-10.3%,20,-8.2%,20,2.5%,17,2.1%,18,-0.2%,23,-1.2%
CLE,4-12,25,-15.1%,25,-11.8%,25,-11.6%,21,-8.7%,22,4.8%,22,5.3%,10,1.3%,11,2.1%
ARI,8-8,26,-16.8%,26,-15.4%,28,-18.7%,29,-20.9%,15,-0.7%,14,-4.9%,11,1.2%,14,0.6%
KC,7-9,27,-18.1%,22,-9.3%,29,-19.5%,26,-17.2%,14,-2.3%,11,-8.5%,19,-0.9%,19,-0.6%
JAX,5-11,28,-19.5%,27,-17.2%,31,-27.1%,30,-24.1%,8,-9.9%,13,-8.1%,26,-2.2%,22,-1.2%
MIN,3-13,29,-19.9%,29,-27.2%,24,-10.6%,25,-14.7%,23,5.2%,24,6.4%,27,-4.1%,32,-6.1%
TB,4-12,30,-26.5%,32,-39.1%,26,-11.7%,28,-20.7%,31,15.4%,31,16.3%,14,0.6%,26,-2.1%
STL,2-14,31,-33.1%,31,-33.5%,32,-27.6%,32,-28.9%,17,0.7%,15,-1.0%,28,-4.8%,31,-5.7%
IND,2-14,32,-34.5%,30,-30.4%,27,-17.9%,27,-18.0%,27,10.4%,25,8.9%,31,-6.2%,27,-3.6%
