Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,3-0,1,39.0%,1,39.0%,1,46.2%,1,46.2%,22,6.9%,22,6.9%,12,-0.2%,12,-0.2%
TEN,2-1,2,30.6%,2,30.6%,8,11.0%,8,11.0%,1,-27.4%,1,-27.4%,25,-7.8%,25,-7.8%
HOU,2-1,3,25.3%,3,25.3%,5,20.0%,5,20.0%,18,4.4%,18,4.4%,3,9.6%,3,9.6%
DET,3-0,4,24.9%,4,24.9%,12,3.1%,12,3.1%,2,-26.6%,2,-26.6%,21,-4.9%,21,-4.9%
BAL,2-1,5,24.5%,5,24.5%,14,1.7%,14,1.7%,3,-25.5%,3,-25.5%,16,-2.7%,16,-2.7%
NE,2-1,6,22.4%,6,22.4%,2,42.3%,2,42.3%,31,22.1%,31,22.1%,9,2.2%,9,2.2%
NYG,2-1,7,19.5%,7,19.5%,7,17.3%,7,17.3%,13,-4.5%,13,-4.5%,15,-2.3%,15,-2.3%
GB,3-0,8,19.0%,8,19.0%,4,30.6%,4,30.6%,23,7.2%,23,7.2%,19,-4.3%,19,-4.3%
NYJ,2-1,9,15.6%,9,15.6%,19,-0.7%,19,-0.7%,7,-10.5%,7,-10.5%,7,5.7%,7,5.7%
OAK,2-1,10,14.9%,10,14.9%,3,31.8%,3,31.8%,24,9.2%,24,9.2%,24,-7.7%,24,-7.7%
NO,2-1,11,14.7%,11,14.7%,6,19.6%,6,19.6%,25,11.1%,25,11.1%,5,6.1%,5,6.1%
SF,2-1,12,14.6%,12,14.6%,28,-26.8%,28,-26.8%,4,-18.9%,4,-18.9%,1,22.5%,1,22.5%
MIN,0-3,13,9.1%,13,9.1%,16,0.9%,16,0.9%,16,0.9%,16,0.9%,4,9.1%,4,9.1%
WAS,2-1,14,7.8%,14,7.8%,13,3.0%,13,3.0%,9,-8.4%,9,-8.4%,18,-3.6%,18,-3.6%
CIN,1-2,15,7.6%,15,7.6%,21,-2.6%,21,-2.6%,5,-16.0%,5,-16.0%,22,-5.8%,22,-5.8%
ATL,1-2,16,2.2%,16,2.2%,20,-2.1%,20,-2.1%,10,-7.0%,10,-7.0%,17,-2.7%,17,-2.7%
TB,2-1,17,0.4%,17,0.4%,15,1.3%,15,1.3%,28,13.4%,28,13.4%,2,12.5%,2,12.5%
PIT,2-1,18,-0.5%,18,-0.5%,23,-11.5%,23,-11.5%,8,-10.1%,8,-10.1%,11,0.8%,11,0.8%
PHI,1-2,19,-3.0%,19,-3.0%,17,0.8%,17,0.8%,17,3.0%,17,3.0%,13,-0.8%,13,-0.8%
ARI,1-2,20,-6.2%,20,-6.2%,18,0.7%,18,0.7%,20,5.1%,20,5.1%,14,-1.9%,14,-1.9%
DAL,2-1,21,-6.3%,21,-6.3%,22,-10.1%,22,-10.1%,6,-14.0%,6,-14.0%,29,-10.2%,29,-10.2%
CLE,2-1,22,-10.2%,22,-10.2%,24,-16.8%,24,-16.8%,12,-4.8%,12,-4.8%,10,1.8%,10,1.8%
SD,2-1,23,-15.3%,23,-15.3%,10,6.6%,10,6.6%,26,11.2%,26,11.2%,30,-10.8%,30,-10.8%
CAR,1-2,24,-17.1%,24,-17.1%,11,6.5%,11,6.5%,29,15.1%,29,15.1%,27,-8.4%,27,-8.4%
DEN,1-2,25,-22.5%,25,-22.5%,26,-19.8%,26,-19.8%,21,6.1%,21,6.1%,8,3.4%,8,3.4%
MIA,0-3,26,-26.7%,26,-26.7%,9,7.3%,9,7.3%,32,25.9%,32,25.9%,26,-8.2%,26,-8.2%
CHI,1-2,27,-27.0%,27,-27.0%,29,-28.5%,29,-28.5%,19,4.4%,19,4.4%,6,5.9%,6,5.9%
IND,0-3,28,-28.6%,28,-28.6%,25,-19.8%,25,-19.8%,11,-6.6%,11,-6.6%,32,-15.4%,32,-15.4%
JAX,1-2,29,-44.0%,29,-44.0%,31,-40.6%,31,-40.6%,14,-3.2%,14,-3.2%,23,-6.6%,23,-6.6%
SEA,1-2,30,-44.4%,30,-44.4%,30,-29.6%,30,-29.6%,15,0.1%,15,0.1%,31,-14.7%,31,-14.7%
STL,0-3,31,-48.3%,31,-48.3%,27,-23.2%,27,-23.2%,30,20.7%,30,20.7%,20,-4.4%,20,-4.4%
KC,0-3,32,-64.6%,32,-64.6%,32,-44.1%,32,-44.1%,27,11.9%,27,11.9%,28,-8.6%,28,-8.6%
