Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
HOU,8-3,1,36.0%,1,40.0%,4,20.0%,4,21.8%,5,-14.1%,4,-16.5%,8,1.9%,10,1.6%
GB,11-0,2,27.2%,2,25.7%,1,34.2%,1,33.2%,26,8.4%,28,9.9%,10,1.4%,7,2.4%
NO,8-3,3,23.8%,3,22.9%,3,27.3%,3,27.3%,18,2.8%,19,3.1%,17,-0.7%,20,-1.3%
NE,8-3,4,21.5%,5,21.4%,2,29.8%,2,27.4%,29,10.2%,27,8.4%,7,2.0%,8,2.3%
NYJ,6-5,5,19.7%,8,19.3%,18,-0.4%,15,0.7%,4,-15.8%,5,-15.7%,3,4.3%,6,2.9%
PIT,8-3,6,19.0%,4,22.8%,5,13.3%,5,15.8%,10,-4.9%,9,-6.3%,12,0.8%,13,0.8%
SF,9-2,7,18.8%,9,17.1%,20,-2.7%,19,-2.4%,6,-12.4%,8,-11.6%,2,9.1%,2,7.8%
ATL,7-4,8,17.7%,7,19.5%,9,7.0%,8,7.0%,8,-11.4%,7,-13.2%,16,-0.7%,17,-0.7%
BAL,8-3,9,16.9%,10,15.6%,16,2.0%,12,2.9%,1,-21.1%,2,-18.5%,29,-6.1%,29,-5.9%
CHI,7-4,10,16.3%,6,19.9%,23,-7.0%,22,-6.1%,7,-11.5%,6,-13.7%,1,11.9%,1,12.3%
DET,7-4,11,10.6%,11,10.5%,17,1.1%,14,0.8%,2,-18.0%,1,-19.2%,31,-8.5%,32,-9.5%
DAL,7-4,12,8.8%,12,8.6%,10,6.3%,10,6.3%,9,-5.2%,10,-4.3%,24,-2.7%,22,-2.0%
TEN,6-5,13,6.4%,15,4.9%,15,2.3%,18,-0.7%,12,0.1%,15,0.7%,4,4.2%,3,6.3%
CIN,7-4,14,4.1%,14,5.1%,13,2.7%,11,4.4%,14,1.0%,18,2.8%,6,2.4%,5,3.5%
PHI,4-7,15,4.0%,13,5.9%,8,7.4%,9,6.8%,21,4.3%,17,2.5%,11,0.9%,11,1.6%
NYG,6-5,16,3.1%,16,4.1%,7,8.1%,7,8.2%,20,3.8%,20,3.4%,20,-1.3%,16,-0.6%
OAK,7-4,17,0.1%,17,-2.3%,12,3.4%,16,0.2%,17,2.7%,16,2.2%,15,-0.6%,15,-0.2%
BUF,5-6,18,-5.5%,21,-13.2%,11,5.1%,17,-0.3%,27,8.5%,29,10.4%,22,-2.1%,23,-2.4%
MIA,3-8,19,-6.2%,18,-3.4%,21,-3.1%,21,-3.6%,16,1.6%,12,-1.2%,21,-1.5%,18,-1.0%
DEN,6-5,20,-9.6%,19,-8.1%,24,-8.0%,23,-6.5%,19,3.5%,21,3.5%,9,1.9%,9,1.9%
SD,4-7,21,-13.9%,24,-15.4%,14,2.3%,13,1.9%,30,11.3%,30,12.5%,27,-5.0%,26,-4.7%
CAR,3-8,22,-14.5%,23,-15.3%,6,11.1%,6,9.5%,32,17.9%,32,18.5%,30,-7.7%,30,-6.3%
WAS,4-7,23,-15.8%,27,-19.6%,26,-16.2%,27,-18.0%,11,-3.0%,11,-1.4%,23,-2.6%,25,-3.0%
MIN,2-9,24,-16.2%,28,-20.0%,22,-6.4%,24,-8.1%,23,6.2%,25,6.5%,26,-3.6%,28,-5.5%
JAX,3-8,25,-16.4%,22,-13.6%,31,-27.1%,31,-25.8%,3,-15.8%,3,-17.6%,28,-5.1%,27,-5.4%
CLE,4-7,26,-17.4%,26,-16.2%,25,-11.8%,25,-10.3%,22,4.5%,22,4.5%,19,-1.2%,21,-1.4%
SEA,4-7,27,-17.6%,25,-15.5%,27,-16.5%,26,-16.3%,13,0.3%,14,-0.3%,18,-0.8%,14,0.5%
ARI,4-7,28,-25.5%,29,-24.9%,29,-21.0%,28,-22.5%,25,7.4%,24,6.2%,5,2.9%,4,3.7%
KC,4-7,29,-29.0%,30,-27.4%,30,-23.2%,30,-23.8%,24,6.4%,23,4.7%,13,0.7%,12,1.0%
STL,2-9,30,-33.8%,31,-31.7%,32,-29.6%,32,-29.8%,15,1.3%,13,-0.9%,25,-2.9%,24,-2.8%
TB,4-7,31,-33.8%,31,-31.7%,32,-29.6%,32,-29.8%,15,1.3%,13,-0.9%,25,-2.9%,24,-2.8%
IND,0-11,32,-46.0%,32,-49.0%,28,-21.0%,29,-23.5%,31,15.9%,31,17.0%,32,-9.1%,31,-8.6%
