Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BUF,3-1,1,30.5%,1,30.5%,3,32.3%,3,32.3%,14,1.3%,14,1.3%,12,-0.5%,12,-0.5%
NE,3-1,2,28.3%,2,28.3%,1,39.1%,1,39.1%,28,12.8%,28,12.8%,11,2.0%,11,2.0%
TEN,3-1,3,26.4%,3,26.4%,6,18.9%,6,18.9%,5,-13.8%,5,-13.8%,26,-6.2%,26,-6.2%
GB,4-0,4,24.2%,4,24.2%,2,33.5%,2,33.5%,20,5.2%,20,5.2%,22,-4.1%,22,-4.1%
NO,3-1,5,21.1%,5,21.1%,7,18.4%,7,18.4%,11,-0.8%,11,-0.8%,10,2.0%,10,2.0%
HOU,3-1,6,20.9%,6,20.9%,5,21.0%,5,21.0%,19,4.6%,19,4.6%,6,4.6%,6,4.6%
BAL,3-1,7,17.7%,7,17.7%,22,-8.7%,22,-8.7%,1,-35.2%,1,-35.2%,29,-8.8%,29,-8.8%
NYG,3-1,8,16.2%,8,16.2%,8,14.5%,8,14.5%,9,-4.4%,9,-4.4%,17,-2.7%,17,-2.7%
DET,4-0,9,15.5%,9,15.5%,15,-1.9%,15,-1.9%,2,-21.1%,2,-21.1%,19,-3.7%,19,-3.7%
TB,3-1,10,12.0%,10,12.0%,9,12.6%,9,12.6%,27,9.3%,27,9.3%,4,8.7%,4,8.7%
SF,3-1,11,11.3%,11,11.3%,23,-9.8%,23,-9.8%,8,-8.4%,8,-8.4%,1,12.6%,1,12.6%
WAS,3-1,12,11.1%,12,11.1%,21,-7.1%,21,-7.1%,3,-18.8%,3,-18.8%,13,-0.6%,13,-0.6%
OAK,2-2,13,7.9%,13,7.9%,4,26.6%,4,26.6%,30,13.2%,30,13.2%,24,-5.5%,24,-5.5%
NYJ,2-2,14,6.9%,14,6.9%,29,-23.3%,29,-23.3%,4,-18.6%,4,-18.6%,3,11.6%,3,11.6%
CIN,2-2,15,4.0%,15,4.0%,19,-5.8%,19,-5.8%,6,-12.8%,6,-12.8%,18,-2.9%,18,-2.9%
DAL,2-2,16,1.6%,16,1.6%,16,-2.8%,16,-2.8%,7,-11.0%,7,-11.0%,28,-6.5%,28,-6.5%
ATL,2-2,17,0.2%,17,0.2%,14,0.2%,14,0.2%,10,-2.4%,10,-2.4%,16,-2.4%,16,-2.4%
MIN,0-4,18,-0.9%,18,-0.9%,17,-3.2%,17,-3.2%,17,3.5%,17,3.5%,5,5.8%,5,5.8%
PIT,2-2,19,-4.1%,19,-4.1%,20,-6.4%,20,-6.4%,12,0.1%,12,0.1%,8,2.4%,8,2.4%
SD,3-1,20,-5.5%,20,-5.5%,12,4.4%,12,4.4%,18,3.6%,18,3.6%,27,-6.3%,27,-6.3%
PHI,1-3,21,-11.0%,21,-11.0%,11,6.0%,11,6.0%,29,13.2%,29,13.2%,21,-3.9%,21,-3.9%
ARI,1-3,22,-11.4%,22,-11.4%,18,-3.2%,18,-3.2%,24,6.6%,24,6.6%,14,-1.6%,14,-1.6%
CLE,2-2,23,-12.8%,23,-12.8%,24,-12.0%,24,-12.0%,16,2.9%,16,2.9%,9,2.2%,9,2.2%
CHI,2-2,24,-14.2%,24,-14.2%,27,-19.8%,27,-19.8%,23,6.3%,23,6.3%,2,11.9%,2,11.9%
DEN,1-3,25,-19.2%,25,-19.2%,25,-14.4%,25,-14.4%,26,8.2%,26,8.2%,7,3.3%,7,3.3%
CAR,1-3,26,-21.0%,26,-21.0%,10,10.2%,10,10.2%,31,14.2%,31,14.2%,32,-17.0%,32,-17.0%
MIA,0-4,27,-22.4%,27,-22.4%,13,1.2%,13,1.2%,32,18.9%,32,18.9%,23,-4.7%,23,-4.7%
SEA,1-3,28,-33.2%,28,-33.2%,26,-18.3%,26,-18.3%,22,5.9%,22,5.9%,30,-9.0%,30,-9.0%
IND,0-4,29,-36.0%,29,-36.0%,28,-21.0%,28,-21.0%,13,0.9%,13,0.9%,31,-14.1%,31,-14.1%
KC,1-3,30,-39.4%,30,-39.4%,31,-31.7%,31,-31.7%,21,5.7%,21,5.7%,15,-2.0%,15,-2.0%
STL,0-4,31,-39.8%,31,-39.8%,30,-28.6%,30,-28.6%,25,7.5%,25,7.5%,20,-3.8%,20,-3.8%
JAX,1-3,32,-45.9%,32,-45.9%,32,-38.3%,32,-38.3%,15,1.9%,15,1.9%,25,-5.6%,25,-5.6%
