Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
GB,7-0,1,28.6%,1,28.8%,1,33.7%,1,33.3%,21,4.3%,21,4.1%,15,-0.8%,12,-0.4%
SF,6-1,2,24.8%,2,24.8%,19,-1.4%,17,0.3%,4,-15.5%,4,-15.6%,1,10.7%,3,8.8%
BUF,5-2,3,24.0%,5,22.1%,3,24.3%,3,23.2%,15,-1.7%,16,-1.2%,22,-2.0%,24,-2.3%
HOU,5-3,4,22.5%,4,22.6%,7,14.3%,6,14.9%,9,-6.3%,8,-6.7%,8,1.8%,10,1.0%
NYJ,4-3,5,22.2%,3,22.9%,20,-3.0%,20,-3.6%,3,-16.3%,3,-17.2%,3,8.9%,2,9.4%
DET,6-2,6,17.6%,6,17.8%,11,4.2%,11,3.9%,2,-18.4%,2,-18.6%,28,-5.0%,29,-4.8%
BAL,5-2,7,16.3%,9,14.3%,22,-9.4%,24,-10.9%,1,-32.6%,1,-32.5%,30,-6.9%,30,-7.3%
NO,5-3,8,15.2%,7,15.1%,4,18.6%,4,18.2%,19,2.6%,18,1.8%,15,-0.8%,19,-1.3%
NE,5-2,9,13.0%,12,12.7%,2,29.2%,2,28.4%,30,15.1%,30,14.7%,18,-1.0%,18,-1.0%
ATL,4-3,10,12.9%,10,13.3%,13,3.0%,12,3.3%,5,-8.4%,5,-8.3%,9,1.5%,9,1.7%
NYG,5-2,11,12.4%,8,14.3%,8,14.0%,8,14.5%,16,-1.4%,15,-2.5%,26,-3.0%,27,-2.7%
PHI,3-4,12,10.5%,13,11.0%,6,14.5%,7,14.8%,18,2.3%,19,2.1%,21,-1.7%,20,-1.7%
PIT,6-2,13,10.4%,11,12.9%,9,7.9%,9,9.7%,13,-3.1%,11,-3.9%,13,-0.6%,16,-0.8%
CIN,5-2,14,6.3%,14,6.6%,17,-0.9%,18,-0.7%,11,-3.6%,14,-2.9%,5,3.6%,4,4.4%
DAL,3-4,15,5.8%,16,6.1%,14,1.9%,15,1.6%,8,-6.8%,9,-6.7%,25,-2.9%,22,-2.1%
CHI,4-3,16,5.8%,15,6.2%,23,-9.6%,22,-9.1%,10,-5.0%,10,-4.8%,2,10.4%,1,10.5%
OAK,4-3,17,0.1%,17,-0.4%,12,3.6%,13,2.7%,22,4.6%,22,5.1%,10,1.1%,8,2.0%
TEN,4-3,18,-1.5%,18,-2.9%,10,5.1%,10,4.0%,24,5.7%,24,6.4%,17,-0.9%,15,-0.5%
MIN,2-6,19,-2.8%,19,-3.1%,15,1.7%,14,2.4%,20,3.7%,20,3.8%,14,-0.8%,21,-1.8%
TB,4-3,20,-3.2%,20,-4.2%,16,1.7%,16,0.7%,27,9.3%,27,8.7%,4,4.5%,5,3.8%
SD,4-3,21,-9.8%,22,-10.1%,18,-1.3%,19,-1.6%,23,5.5%,23,6.4%,27,-3.1%,23,-2.2%
KC,4-3,22,-12.3%,21,-8.5%,27,-16.3%,27,-14.7%,14,-1.9%,13,-3.1%,7,2.1%,6,3.1%
CAR,2-6,23,-12.6%,23,-11.1%,5,15.0%,5,15.9%,31,17.2%,31,16.9%,31,-10.4%,31,-10.0%
WAS,3-4,24,-13.2%,25,-15.5%,29,-20.1%,30,-22.2%,7,-7.2%,7,-6.8%,12,-0.3%,11,-0.1%
CLE,3-4,25,-14.2%,24,-13.3%,26,-15.2%,26,-14.2%,12,-3.3%,12,-3.4%,23,-2.3%,26,-2.5%
MIA,0-7,26,-23.1%,26,-22.5%,21,-8.0%,21,-8.7%,29,14.0%,28,13.2%,19,-1.1%,14,-0.5%
ARI,1-6,27,-23.4%,28,-24.6%,25,-12.7%,25,-13.5%,28,13.5%,29,13.7%,6,2.7%,7,2.6%
SEA,2-5,28,-25.6%,27,-24.5%,30,-20.1%,29,-19.9%,17,-0.4%,17,0.1%,29,-5.8%,28,-4.5%
DEN,2-5,29,-25.6%,29,-25.7%,28,-19.4%,28,-18.8%,25,6.0%,25,6.5%,11,-0.1%,13,-0.5%
JAX,2-6,30,-28.3%,30,-28.5%,32,-33.4%,32,-33.8%,6,-7.5%,6,-7.8%,24,-2.5%,25,-2.4%
STL,1-6,31,-34.9%,31,-34.8%,31,-26.1%,31,-26.8%,26,7.7%,26,7.0%,20,-1.2%,17,-0.9%
IND,0-8,32,-42.7%,32,-42.5%,24,-11.0%,23,-10.2%,32,20.2%,32,21.6%,32,-11.4%,32,-10.7%
