Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,9-0,1,49.9%,1,50.3%,1,93.5%,6,15.2%
DAL,8-1,2,30.3%,2,29.4%,2,57.5%,7,15.0%
IND,7-2,3,25.7%,3,24.5%,5,41.5%,2,24.2%
PHI,4-5,4,19.4%,4,18.8%,12,17.6%,1,26.6%
CIN,3-6,5,19.0%,5,18.6%,3,50.6%,15,-4.9%
TB,5-4,6,17.4%,6,17.6%,9,32.2%,8,9.9%
GB,8-1,7,15.3%,8,15.8%,8,33.7%,11,-0.1%
CLE,5-4,8,14.6%,7,16.5%,6,40.6%,12,-1.2%
PIT,7-2,9,13.2%,10,12.2%,4,45.4%,19,-8.0%
JAX,6-3,10,11.8%,9,12.9%,7,36.0%,10,2.4%
NYG,6-3,11,6.7%,13,5.6%,19,4.1%,3,22.7%
DEN,4-5,12,6.5%,12,6.0%,10,24.1%,18,-7.3%
NO,4-5,13,4.9%,11,8.9%,13,15.8%,17,-4.9%
MIA,0-9,14,4.1%,14,3.7%,20,3.5%,5,16.1%
SD,5-4,15,0.5%,15,0.5%,17,7.5%,9,2.5%
SEA,5-4,16,-1.3%,18,-2.1%,11,21.0%,30,-21.7%
NYJ,1-8,17,-1.7%,17,-1.3%,14,12.9%,21,-10.4%
MIN,3-6,18,-2.4%,16,-0.6%,27,-13.6%,4,20.7%
HOU,4-5,19,-4.7%,19,-6.1%,16,9.1%,23,-12.2%
ARI,4-5,20,-8.0%,21,-10.5%,18,6.2%,20,-8.1%
WAS,5-4,21,-8.6%,20,-8.0%,15,12.4%,22,-11.8%
TEN,6-3,22,-9.7%,24,-12.4%,24,-6.8%,16,-4.9%
DET,6-3,23,-11.0%,22,-10.6%,21,2.3%,24,-12.3%
CAR,4-5,24,-11.8%,25,-14.0%,25,-7.7%,14,-4.6%
BUF,5-4,25,-12.8%,23,-10.9%,22,-1.3%,26,-14.0%
ATL,3-6,26,-15.7%,26,-16.7%,23,-5.8%,27,-14.1%
OAK,2-7,27,-22.9%,29,-22.9%,31,-20.8%,13,-4.6%
KC,4-5,28,-22.9%,27,-21.9%,28,-15.0%,31,-21.9%
STL,1-8,29,-23.7%,30,-23.0%,29,-19.2%,25,-13.5%
CHI,4-5,30,-23.8%,28,-22.1%,26,-11.2%,32,-27.3%
BAL,4-5,31,-26.0%,31,-27.0%,30,-20.3%,29,-16.3%
SF,2-7,32,-44.2%,32,-47.3%,32,-52.5%,28,-14.7%
