Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,12-0,1,48.0%,1,47.7%,1,82.4%,3,18.0%
DAL,11-1,2,30.8%,2,30.4%,2,60.8%,6,13.2%
GB,10-2,3,21.9%,3,25.5%,5,39.5%,10,5.2%
IND,10-2,4,20.3%,7,15.6%,8,35.8%,4,15.8%
CIN,4-8,5,18.2%,5,17.8%,4,43.8%,13,1.5%
JAX,8-4,6,17.2%,4,19.0%,3,44.8%,11,4.2%
CLE,7-5,7,15.2%,6,17.3%,6,37.2%,9,5.7%
PHI,5-7,8,14.0%,8,14.4%,15,11.6%,1,21.4%
TB,8-4,9,12.0%,9,10.4%,10,23.5%,7,10.4%
SD,7-5,10,6.7%,10,6.6%,12,16.7%,8,6.2%
DEN,5-7,11,6.1%,11,5.0%,9,25.1%,17,-6.9%
PIT,9-3,12,4.6%,14,2.7%,7,35.8%,29,-16.6%
SEA,8-4,13,1.7%,15,1.8%,11,18.9%,26,-13.5%
MIN,6-6,14,1.3%,13,3.9%,22,-3.8%,2,18.4%
NO,5-7,15,1.0%,12,4.8%,13,16.0%,25,-13.2%
NYG,8-4,16,-1.1%,19,-4.7%,21,-3.4%,5,14.2%
HOU,5-7,17,-4.3%,18,-4.6%,17,8.3%,22,-10.2%
NYJ,3-9,18,-4.4%,16,-3.9%,18,7.3%,18,-7.8%
WAS,5-7,19,-5.3%,17,-4.1%,14,15.4%,24,-13.1%
ARI,6-6,20,-6.2%,21,-7.1%,16,9.4%,20,-8.3%
BUF,6-6,21,-8.2%,20,-4.9%,19,4.8%,23,-10.5%
MIA,0-12,22,-8.4%,23,-11.9%,27,-10.2%,12,3.8%
TEN,7-5,23,-9.6%,24,-12.1%,24,-7.5%,15,-4.2%
DET,6-6,24,-10.3%,22,-10.0%,20,0.2%,21,-8.6%
BAL,4-8,25,-15.3%,25,-14.7%,25,-9.4%,19,-8.2%
OAK,4-8,26,-16.0%,26,-15.7%,26,-9.9%,14,-1.5%
CAR,5-7,27,-16.6%,28,-20.5%,29,-15.5%,16,-6.4%
CHI,5-7,28,-19.0%,27,-16.1%,23,-6.2%,32,-21.3%
KC,4-8,29,-20.7%,29,-20.8%,28,-13.1%,30,-18.2%
ATL,3-9,30,-20.7%,30,-22.1%,30,-15.6%,28,-15.0%
STL,3-9,31,-24.7%,31,-23.8%,31,-16.6%,31,-21.2%
SF,3-9,32,-36.8%,32,-37.6%,32,-41.8%,27,-13.9%
