Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,5-0,1,45.3%,1,45.3%,1,83.3%,3,21.3%
IND,5-0,2,43.5%,2,43.5%,2,64.8%,1,35.9%
DAL,5-0,3,29.3%,3,29.3%,3,55.3%,5,14.7%
CIN,1-3,4,18.4%,4,18.4%,5,50.8%,20,-8.9%
TB,3-2,5,15.8%,5,15.8%,10,22.7%,6,14.2%
GB,4-1,6,15.7%,6,15.7%,8,30.0%,14,1.0%
PHI,1-3,7,11.3%,7,11.3%,21,5.6%,2,27.5%
PIT,4-1,8,11.3%,8,11.3%,6,36.7%,15,-1.3%
NYG,3-2,9,9.8%,9,9.8%,14,12.2%,4,20.8%
JAX,3-1,10,6.9%,10,6.9%,4,53.7%,21,-12.5%
DEN,2-3,11,6.9%,11,6.9%,13,12.9%,12,3.8%
ARI,3-2,12,5.2%,12,5.2%,12,18.0%,10,5.5%
MIA,0-5,13,4.6%,13,4.6%,15,11.5%,8,10.6%
SD,2-3,14,3.9%,14,3.9%,9,24.1%,19,-8.0%
CLE,2-3,15,1.1%,15,1.1%,16,11.2%,13,2.8%
SEA,3-2,16,0.7%,16,0.7%,11,21.9%,22,-13.0%
CAR,3-2,17,-0.4%,17,-0.4%,19,8.4%,16,-2.4%
TEN,3-1,18,-2.0%,18,-2.0%,24,-4.5%,11,4.8%
WAS,3-1,19,-3.8%,19,-3.8%,7,36.0%,28,-15.3%
HOU,3-2,20,-4.1%,20,-4.1%,18,9.2%,23,-13.4%
BAL,3-2,21,-5.6%,21,-5.6%,20,6.4%,17,-4.7%
NYJ,1-4,22,-6.9%,22,-6.9%,17,10.4%,25,-13.8%
OAK,2-2,23,-8.4%,23,-8.4%,26,-11.6%,7,13.6%
ATL,1-4,24,-12.1%,24,-12.1%,23,-1.5%,26,-13.9%
DET,3-2,25,-15.6%,25,-15.6%,22,-1.2%,27,-14.4%
MIN,1-3,26,-15.8%,26,-15.8%,29,-25.4%,9,10.6%
KC,2-3,27,-18.1%,27,-18.1%,25,-9.0%,29,-17.7%
STL,0-5,28,-25.0%,28,-25.0%,27,-21.7%,24,-13.5%
NO,0-4,29,-25.6%,29,-25.6%,30,-32.0%,18,-7.9%
BUF,1-4,30,-26.6%,30,-26.6%,28,-24.8%,30,-17.9%
SF,2-3,31,-38.6%,31,-38.6%,32,-42.5%,31,-21.0%
CHI,2-3,32,-38.9%,32,-38.9%,31,-37.9%,32,-30.8%
