Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,3-0,1,53.6%,1,53.6%,1,103.3%,4,20.1%
DAL,3-0,2,47.8%,2,47.8%,2,88.3%,2,28.7%
PHI,1-2,3,28.3%,3,28.3%,11,27.8%,1,28.9%
PIT,3-0,4,26.8%,4,26.8%,4,58.1%,11,7.1%
IND,3-0,5,22.5%,5,22.5%,5,49.9%,6,14.7%
TB,2-1,6,21.4%,6,21.4%,9,28.5%,3,23.5%
CIN,1-2,7,19.5%,7,19.5%,3,62.2%,27,-19.6%
CAR,2-1,8,15.8%,8,15.8%,7,30.7%,8,9.9%
DEN,2-1,9,13.2%,9,13.2%,13,23.9%,10,7.6%
GB,3-0,10,12.6%,10,12.6%,8,30.3%,17,-5.4%
MIA,0-3,11,12.5%,11,12.5%,10,28.1%,13,4.0%
ARI,1-2,12,10.8%,12,10.8%,12,26.3%,7,10.1%
TEN,2-1,13,7.4%,13,7.4%,19,7.6%,9,9.8%
SEA,2-1,14,6.4%,14,6.4%,14,22.7%,16,-3.9%
NYG,1-2,15,4.5%,15,4.5%,18,8.8%,5,16.4%
JAX,2-1,16,-1.7%,16,-1.7%,6,34.6%,25,-17.1%
CLE,1-2,17,-4.1%,17,-4.1%,22,4.3%,15,-1.2%
HOU,2-1,18,-7.2%,18,-7.2%,24,-1.0%,18,-6.2%
ATL,0-3,19,-7.5%,19,-7.5%,20,6.9%,23,-15.4%
NYJ,1-2,20,-8.1%,20,-8.1%,16,9.9%,24,-16.2%
SD,1-2,21,-9.1%,21,-9.1%,17,9.7%,26,-19.4%
BAL,2-1,22,-9.1%,22,-9.1%,23,2.1%,20,-8.7%
DET,2-1,23,-9.9%,23,-9.9%,21,4.6%,21,-8.9%
WAS,2-1,24,-12.5%,24,-12.5%,15,10.0%,19,-8.2%
MIN,1-2,25,-16.2%,25,-16.2%,29,-25.1%,12,5.1%
OAK,1-2,26,-21.0%,26,-21.0%,25,-16.2%,14,2.3%
SF,2-1,27,-24.3%,27,-24.3%,28,-24.5%,22,-14.7%
STL,0-3,28,-28.2%,28,-28.2%,27,-20.1%,30,-27.2%
KC,1-2,29,-30.6%,29,-30.6%,26,-19.8%,32,-33.5%
NO,0-3,30,-37.2%,30,-37.2%,30,-42.6%,29,-21.6%
BUF,0-3,31,-40.9%,31,-40.9%,32,-54.5%,28,-19.9%
CHI,1-2,32,-42.2%,32,-42.2%,31,-49.0%,31,-29.2%
