Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,11-0,1,50.8%,1,51.7%,1,88.9%,4,17.0%
DAL,10-1,2,29.8%,2,28.5%,2,56.1%,6,14.3%
GB,10-1,3,21.4%,3,23.8%,5,41.0%,10,2.5%
IND,9-2,4,20.0%,8,15.6%,7,32.6%,2,19.7%
PHI,5-6,5,19.2%,4,20.2%,13,19.3%,1,23.4%
CIN,4-7,6,18.4%,5,18.3%,3,45.6%,14,-1.2%
JAX,8-3,7,14.9%,7,16.3%,4,42.5%,12,0.4%
CLE,7-4,8,14.8%,6,17.3%,6,36.9%,9,6.5%
DEN,5-6,10,9.4%,10,9.2%,9,28.0%,15,-5.4%
SD,6-5,11,7.4%,11,7.9%,11,20.3%,11,2.3%
PIT,8-3,12,4.0%,13,3.2%,8,32.6%,27,-14.2%
NYG,7-4,13,2.3%,15,0.1%,22,-0.9%,3,19.0%
NO,5-6,14,1.2%,12,5.2%,15,14.5%,24,-12.3%
SEA,7-4,15,0.4%,14,0.7%,12,19.9%,29,-17.8%
MIA,0-11,16,0.3%,17,-0.7%,19,2.6%,8,8.6%
MIN,5-6,17,-1.8%,16,-0.2%,23,-7.1%,5,14.9%
WAS,5-6,18,-2.8%,18,-1.9%,14,18.7%,22,-11.4%
NYJ,2-9,19,-3.7%,19,-4.0%,17,8.5%,19,-8.4%
HOU,5-6,20,-5.2%,20,-6.2%,18,7.0%,21,-10.9%
ARI,5-6,21,-5.7%,21,-7.2%,16,9.3%,17,-7.4%
DET,6-5,22,-9.6%,23,-9.1%,20,1.4%,20,-8.7%
BUF,5-6,23,-11.1%,22,-8.8%,21,1.0%,23,-12.2%
TEN,6-5,24,-12.7%,24,-15.4%,26,-11.0%,18,-7.4%
CAR,4-7,25,-16.0%,27,-19.7%,27,-14.1%,16,-7.0%
OAK,3-8,26,-18.7%,28,-20.4%,29,-15.4%,13,-0.2%
KC,4-7,27,-19.2%,26,-18.9%,24,-8.3%,30,-21.0%
ATL,3-8,28,-20.9%,29,-22.5%,28,-15.4%,28,-15.9%
CHI,5-6,29,-21.0%,25,-18.1%,25,-8.9%,32,-23.3%
BAL,4-7,30,-22.2%,30,-24.1%,30,-18.0%,26,-13.1%
STL,2-9,31,-29.8%,31,-29.6%,31,-24.1%,31,-22.9%
TB,7-4,31,-29.8%,31,-29.6%,31,-24.1%,31,-22.9%
SF,3-8,32,-33.9%,32,-33.7%,32,-37.6%,25,-12.9%
