Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,7-0,1,48.7%,1,48.6%,1,93.2%,7,14.1%
IND,6-0,2,38.2%,2,38.4%,2,55.8%,1,34.6%
DAL,6-1,3,25.3%,3,24.9%,3,46.8%,6,16.7%
TB,4-3,4,18.4%,4,18.6%,6,35.0%,8,10.1%
CIN,2-4,5,17.9%,5,17.6%,4,44.3%,13,1.0%
PHI,2-4,6,15.3%,6,15.6%,14,10.2%,2,27.8%
NYG,5-2,7,10.8%,7,10.5%,15,9.6%,3,26.0%
PIT,4-2,8,10.7%,8,10.4%,5,38.4%,20,-7.2%
DEN,3-3,9,10.3%,9,10.3%,8,28.8%,19,-5.3%
JAX,4-2,10,9.7%,10,10.0%,7,34.2%,10,1.8%
GB,5-1,11,9.4%,12,9.6%,12,19.1%,11,1.8%
SD,3-3,12,8.7%,11,9.8%,9,24.6%,9,2.7%
MIA,0-7,13,8.4%,13,8.6%,18,5.5%,4,23.6%
CLE,3-3,14,6.5%,14,6.6%,10,23.5%,12,1.2%
SEA,4-3,15,-0.1%,15,-0.4%,11,22.0%,28,-17.5%
CAR,4-2,16,-1.8%,16,-2.1%,19,5.1%,16,-0.6%
TEN,4-2,17,-2.2%,17,-2.8%,21,3.6%,15,0.9%
NYJ,1-6,18,-5.4%,18,-5.1%,16,9.4%,22,-12.4%
ARI,3-4,19,-5.6%,19,-5.9%,20,5.0%,17,-1.6%
HOU,3-4,20,-6.7%,20,-7.3%,17,6.7%,29,-18.1%
MIN,2-4,21,-7.8%,21,-7.3%,29,-21.1%,5,17.6%
DET,4-2,22,-9.1%,22,-9.3%,22,0.8%,14,1.0%
NO,2-4,23,-12.7%,23,-12.2%,26,-9.5%,21,-10.1%
BAL,4-3,24,-13.6%,24,-12.9%,23,-0.7%,24,-13.9%
ATL,1-6,25,-14.1%,25,-13.9%,25,-2.9%,26,-16.1%
WAS,4-2,26,-15.0%,26,-15.1%,13,11.6%,31,-22.0%
KC,4-3,27,-16.3%,27,-15.6%,24,-1.9%,30,-21.1%
OAK,2-4,28,-18.1%,28,-17.5%,28,-14.4%,18,-3.5%
BUF,2-4,29,-22.8%,29,-22.4%,30,-22.9%,23,-12.6%
CHI,3-4,30,-23.5%,30,-23.2%,27,-11.3%,32,-27.1%
STL,0-7,31,-35.2%,31,-35.7%,31,-34.6%,27,-16.2%
SF,2-4,32,-39.4%,32,-39.8%,32,-47.2%,25,-14.3%
