Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,16-0,1,44.1%,1,39.9%,1,73.7%,2,17.4%
IND,13-3,2,23.1%,3,19.4%,3,40.7%,3,13.7%
JAX,11-5,3,21.9%,2,28.9%,2,48.3%,6,9.9%
DAL,13-3,4,17.4%,9,8.9%,4,39.4%,8,7.2%
GB,13-3,5,16.0%,4,15.4%,7,32.0%,13,2.9%
PHI,8-8,6,12.7%,6,10.3%,16,13.1%,1,19.3%
CIN,7-9,7,12.2%,10,8.6%,6,32.9%,12,2.9%
DEN,7-9,8,9.1%,7,9.8%,8,27.2%,16,-2.8%
CLE,10-6,9,8.2%,11,8.1%,11,20.8%,7,8.6%
PIT,10-6,10,8.2%,13,4.8%,5,34.4%,25,-10.3%
NO,7-9,11,6.7%,5,11.9%,12,18.8%,17,-3.1%
SEA,10-6,12,6.6%,8,9.5%,9,24.8%,23,-9.7%
TB,9-7,13,5.9%,17,0.1%,13,17.0%,10,4.5%
SD,11-5,14,5.2%,12,7.2%,14,16.1%,9,5.2%
HOU,8-8,15,1.6%,14,4.0%,15,14.3%,15,-1.8%
MIN,8-8,16,-0.8%,15,3.1%,20,-0.8%,5,10.0%
WAS,9-7,17,-0.9%,16,3.0%,10,21.1%,26,-10.4%
NYG,10-6,18,-1.1%,20,-5.7%,23,-3.0%,4,10.9%
TEN,10-6,19,-3.5%,19,-4.4%,18,2.2%,14,-1.4%
ARI,8-8,20,-3.8%,18,-3.7%,17,12.4%,22,-9.7%
MIA,1-15,21,-6.7%,25,-12.6%,25,-7.1%,11,4.2%
NYJ,4-12,22,-9.6%,24,-11.6%,19,-0.2%,27,-11.0%
BUF,7-9,23,-10.1%,21,-6.0%,21,-1.2%,24,-9.9%
DET,7-9,24,-10.3%,23,-11.3%,22,-1.7%,20,-7.0%
BAL,5-11,25,-13.5%,22,-9.7%,24,-5.4%,28,-11.5%
CAR,7-9,26,-14.8%,28,-18.2%,29,-13.2%,19,-6.2%
ATL,4-12,27,-16.8%,27,-17.8%,26,-10.1%,29,-12.5%
OAK,4-12,28,-18.0%,26,-15.8%,30,-13.8%,18,-5.3%
KC,4-12,29,-19.6%,30,-19.6%,28,-11.4%,30,-16.8%
CHI,7-9,30,-22.2%,29,-18.6%,27,-10.4%,32,-19.6%
STL,3-13,31,-23.2%,31,-21.3%,31,-16.9%,31,-17.6%
SF,5-11,32,-32.8%,32,-29.7%,32,-39.1%,21,-7.5%
