Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,6-0,1,54.9%,1,54.7%,8,7.8%,8,7.0%,1,-49.3%,1,-50.0%,20,-2.2%,21,-2.3%
SF,5-0,2,44.2%,2,44.3%,9,6.6%,9,6.9%,2,-41.9%,2,-41.8%,28,-4.3%,29,-4.4%
KC,4-2,3,23.5%,3,23.3%,1,29.9%,1,29.5%,21,4.2%,20,3.9%,21,-2.2%,20,-2.3%
MIN,4-2,4,22.9%,4,22.8%,5,11.4%,5,11.3%,5,-12.3%,5,-12.2%,16,-0.9%,16,-0.8%
DAL,3-3,5,21.6%,5,21.1%,2,28.7%,2,28.2%,19,3.9%,19,3.8%,27,-3.2%,25,-3.3%
GB,5-1,6,15.9%,6,16.0%,7,7.9%,7,8.4%,7,-8.6%,7,-8.3%,15,-0.6%,15,-0.7%
SEA,5-1,7,12.8%,7,13.0%,3,21.6%,3,22.0%,20,3.9%,21,4.0%,30,-4.9%,30,-5.0%
NO,5-1,8,12.6%,8,12.4%,16,3.0%,16,2.4%,13,-4.3%,13,-4.7%,2,5.3%,2,5.3%
PHI,3-3,9,11.9%,9,12.3%,6,9.7%,6,9.4%,15,-1.8%,14,-2.6%,12,0.4%,12,0.3%
CAR,4-2,10,10.5%,10,10.9%,21,-4.0%,21,-4.1%,3,-13.2%,3,-13.6%,8,1.3%,8,1.4%
HOU,4-2,11,9.6%,11,9.8%,11,6.0%,10,5.6%,11,-5.3%,11,-5.8%,19,-1.6%,18,-1.6%
BAL,4-2,12,9.6%,12,8.7%,4,13.7%,4,13.1%,24,9.1%,25,9.5%,3,5.1%,4,5.0%
DET,2-2-1,13,7.9%,13,8.1%,20,-3.9%,20,-3.9%,8,-7.0%,8,-6.7%,4,4.8%,3,5.2%
CHI,3-2,14,7.0%,14,6.9%,24,-6.9%,23,-6.6%,6,-10.7%,6,-10.3%,5,3.2%,5,3.2%
LAR,3-3,15,5.4%,15,5.2%,17,2.1%,17,1.7%,14,-2.5%,15,-2.5%,11,0.8%,11,1.0%
BUF,4-1,16,1.4%,16,1.8%,26,-9.0%,26,-8.9%,4,-13.1%,4,-13.4%,23,-2.7%,23,-2.8%
OAK,3-2,17,0.5%,17,-0.4%,13,4.9%,14,4.1%,18,2.9%,18,2.8%,18,-1.5%,19,-1.7%
JAX,2-4,18,-1.0%,18,-0.8%,10,6.0%,11,5.6%,25,9.7%,24,9.2%,6,2.7%,6,2.7%
PIT,2-4,19,-2.9%,19,-2.2%,23,-6.9%,24,-6.9%,12,-5.1%,10,-5.9%,17,-1.2%,17,-1.1%
DEN,2-4,20,-4.0%,20,-3.4%,22,-4.2%,22,-4.3%,9,-5.7%,9,-6.4%,32,-5.4%,32,-5.4%
TB,2-4,21,-4.0%,21,-3.9%,19,-2.1%,19,-1.7%,16,-0.6%,16,-0.2%,22,-2.4%,22,-2.3%
LAC,2-4,22,-8.4%,22,-8.4%,15,3.5%,15,3.2%,27,11.7%,27,11.4%,14,-0.2%,14,-0.3%
IND,3-2,23,-12.2%,23,-11.9%,12,5.8%,12,5.4%,28,13.4%,28,13.0%,29,-4.6%,28,-4.3%
ATL,1-5,24,-12.7%,24,-12.4%,14,4.8%,13,5.3%,29,14.3%,29,14.3%,26,-3.2%,26,-3.4%
CLE,2-4,25,-15.5%,25,-14.9%,27,-16.4%,27,-16.1%,22,4.6%,22,4.2%,1,5.4%,1,5.4%
NYG,2-4,26,-15.8%,26,-15.2%,25,-8.6%,25,-8.6%,23,7.3%,23,6.7%,13,0.2%,13,0.2%
ARI,2-3-1,27,-19.5%,27,-19.6%,18,-1.6%,18,-1.3%,30,14.7%,30,14.9%,25,-3.2%,27,-3.4%
TEN,2-4,28,-20.3%,28,-21.5%,29,-20.6%,29,-21.3%,10,-5.3%,12,-5.1%,31,-5.0%,31,-5.2%
NYJ,1-4,29,-30.8%,29,-31.4%,31,-31.0%,31,-31.7%,17,0.7%,17,0.9%,10,1.0%,9,1.2%
WAS,1-5,30,-33.0%,30,-33.7%,30,-22.8%,30,-23.7%,26,11.4%,26,11.0%,9,1.1%,10,1.1%
CIN,0-6,31,-40.3%,31,-40.7%,28,-19.5%,28,-19.6%,31,22.7%,31,23.1%,7,1.9%,7,2.0%
MIA,0-5,32,-90.2%,32,-89.9%,32,-51.3%,32,-51.4%,32,35.8%,32,35.3%,24,-3.1%,24,-3.2%
