Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,9-1,1,39.5%,1,37.2%,10,5.3%,12,3.9%,1,-33.6%,1,-31.9%,11,0.6%,6,1.5%
BAL,8-2,2,31.7%,2,34.1%,3,25.3%,2,25.4%,10,-4.7%,8,-8.0%,4,1.8%,10,0.7%
DAL,6-4,3,29.1%,3,29.1%,1,31.1%,1,30.5%,13,-0.9%,12,-1.9%,26,-2.9%,27,-3.3%
KC,7-4,4,28.5%,4,27.1%,2,26.4%,3,24.4%,12,-1.8%,13,-1.8%,12,0.4%,9,0.9%
SF,9-1,5,25.6%,7,23.7%,16,1.0%,16,-0.7%,2,-25.7%,2,-25.3%,18,-1.1%,19,-0.9%
MIN,8-3,6,22.9%,6,23.9%,6,14.6%,6,15.9%,5,-9.5%,6,-9.0%,21,-1.3%,20,-1.0%
NO,8-2,7,22.8%,5,25.7%,8,11.2%,8,13.1%,4,-10.9%,4,-13.3%,9,0.7%,17,-0.8%
GB,8-2,8,14.5%,8,13.9%,5,17.5%,5,19.2%,19,2.7%,21,5.1%,15,-0.4%,15,-0.2%
SEA,8-2,9,13.7%,9,13.8%,4,20.6%,4,20.0%,21,3.5%,19,2.9%,28,-3.4%,28,-3.3%
PHI,5-5,10,10.7%,10,12.2%,11,5.1%,11,4.2%,7,-7.0%,5,-9.4%,23,-1.4%,22,-1.4%
DET,3-6-1,11,5.0%,11,3.4%,9,6.2%,10,7.2%,22,4.2%,26,7.1%,2,3.0%,2,3.3%
LAR,6-4,12,2.9%,13,2.4%,20,-4.6%,20,-5.8%,8,-6.4%,9,-7.0%,7,1.2%,7,1.3%
OAK,6-4,13,1.4%,12,2.9%,7,12.6%,7,14.2%,30,10.0%,30,10.0%,19,-1.2%,21,-1.3%
HOU,6-4,14,-0.6%,15,-2.6%,14,2.9%,14,2.5%,22,4.2%,24,6.0%,8,0.7%,8,1.0%
IND,6-4,15,-2.8%,14,-0.4%,17,-0.4%,17,-2.1%,15,-0.6%,11,-4.0%,27,-3.0%,25,-2.2%
CHI,4-6,16,-3.7%,20,-6.3%,26,-13.2%,26,-14.5%,6,-7.3%,10,-5.8%,3,2.2%,3,2.4%
JAX,4-6,17,-4.4%,18,-5.7%,18,-1.5%,18,-3.0%,20,3.2%,18,2.6%,13,0.4%,13,-0.1%
CLE,4-6,18,-5.5%,19,-6.1%,21,-7.5%,21,-6.9%,14,-0.7%,15,-0.3%,6,1.3%,11,0.6%
ARI,3-7-1,19,-6.1%,16,-3.3%,12,4.7%,9,8.2%,27,8.9%,29,9.6%,24,-1.8%,23,-1.9%
DEN,3-7,20,-6.7%,17,-5.3%,23,-8.4%,23,-9.9%,9,-6.1%,7,-9.0%,31,-4.4%,31,-4.4%
PIT,5-5,21,-6.9%,21,-6.9%,28,-17.6%,28,-20.8%,3,-11.5%,3,-14.5%,17,-0.7%,16,-0.6%
LAC,4-7,22,-7.1%,22,-7.3%,13,4.2%,13,2.6%,26,7.4%,23,5.7%,30,-3.9%,30,-4.2%
ATL,3-7,23,-7.2%,23,-7.7%,15,1.6%,15,1.1%,24,5.4%,22,5.2%,29,-3.4%,29,-3.6%
BUF,7-3,24,-9.5%,24,-9.4%,22,-8.0%,22,-7.1%,16,0.3%,17,1.5%,20,-1.3%,18,-0.8%
TEN,5-5,25,-9.7%,25,-10.4%,19,-4.3%,19,-3.8%,17,0.8%,16,1.4%,32,-4.6%,32,-5.2%
TB,3-7,26,-14.9%,26,-16.2%,24,-9.4%,24,-11.1%,25,6.2%,25,6.9%,10,0.7%,5,1.8%
CAR,5-5,27,-15.0%,27,-18.9%,25,-12.3%,25,-12.9%,18,0.8%,20,3.2%,25,-1.9%,26,-2.8%
NYG,2-8,28,-23.1%,28,-23.9%,27,-13.6%,27,-15.0%,28,9.5%,28,8.7%,14,-0.1%,14,-0.2%
NYJ,3-7,29,-27.2%,29,-27.0%,32,-30.9%,31,-30.9%,11,-1.9%,14,-1.7%,5,1.8%,4,2.2%
WAS,1-9,30,-39.6%,31,-42.5%,30,-28.4%,32,-32.0%,29,9.9%,27,8.4%,22,-1.3%,24,-2.1%
CIN,0-10,31,-40.9%,30,-39.8%,29,-25.6%,29,-26.0%,31,19.8%,31,19.5%,1,4.5%,1,5.7%
MIA,2-8,32,-52.5%,32,-46.4%,31,-29.7%,30,-26.6%,32,22.2%,32,19.8%,16,-0.6%,12,0.1%
