Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SF,7-0,1,45.7%,1,46.0%,10,6.1%,9,6.2%,2,-41.8%,2,-42.1%,27,-2.2%,27,-2.3%
NE,8-0,2,45.5%,2,44.2%,14,3.1%,16,1.1%,1,-45.2%,1,-46.1%,29,-2.7%,28,-3.0%
DAL,4-3,3,30.7%,3,30.0%,1,28.4%,1,26.9%,12,-3.4%,11,-4.4%,18,-1.0%,20,-1.2%
KC,5-3,4,25.8%,4,24.5%,2,26.8%,2,25.0%,18,0.1%,17,-0.5%,15,-0.9%,18,-1.0%
MIN,6-2,5,24.5%,5,24.4%,5,16.3%,5,16.4%,4,-9.1%,6,-8.7%,15,-0.9%,15,-0.6%
NO,7-1,6,22.6%,6,23.6%,6,14.3%,6,14.0%,3,-9.2%,3,-11.1%,14,-0.9%,23,-1.5%
GB,7-1,7,21.9%,7,22.1%,3,20.4%,3,22.0%,13,-3.3%,14,-2.2%,25,-1.8%,26,-2.1%
BAL,5-2,8,14.7%,8,12.5%,7,13.2%,8,11.4%,22,3.0%,22,3.1%,2,4.5%,3,4.2%
LAR,5-3,9,11.5%,9,11.0%,15,3.1%,14,2.5%,7,-7.3%,8,-7.1%,6,1.1%,7,1.5%
SEA,6-2,10,10.6%,10,10.9%,4,19.9%,4,20.5%,23,6.4%,25,6.6%,30,-2.9%,30,-3.0%
DET,3-3-1,11,6.8%,11,7.3%,12,4.4%,11,4.9%,20,0.9%,20,1.8%,5,3.3%,4,4.1%
JAX,4-4,12,6.7%,12,7.2%,13,3.8%,13,3.0%,14,-2.3%,13,-3.6%,8,0.7%,9,0.5%
HOU,5-3,13,5.9%,14,5.6%,11,4.4%,12,3.5%,16,-1.1%,16,-1.4%,10,0.4%,8,0.6%
PHI,4-4,14,5.0%,13,6.4%,17,0.9%,18,0.1%,9,-4.8%,9,-6.9%,13,-0.7%,14,-0.6%
CAR,4-3,15,1.8%,15,2.2%,21,-6.5%,21,-6.6%,5,-8.1%,5,-8.8%,12,0.2%,12,0.1%
OAK,3-4,16,-0.4%,16,-0.5%,8,12.1%,7,11.8%,29,13.1%,29,12.7%,9,0.6%,10,0.4%
IND,5-2,17,-2.8%,17,-1.3%,9,6.8%,10,5.9%,26,8.1%,26,6.6%,23,-1.5%,13,-0.6%
TB,2-5,18,-3.2%,18,-3.4%,19,-2.7%,19,-2.1%,17,-0.7%,19,0.5%,21,-1.3%,16,-0.7%
CHI,3-4,19,-4.9%,20,-6.0%,28,-14.0%,27,-14.1%,8,-5.7%,10,-4.5%,4,3.3%,5,3.5%
PIT,3-4,20,-6.5%,19,-4.5%,23,-9.0%,23,-10.0%,10,-4.4%,7,-7.2%,26,-1.8%,24,-1.7%
CLE,2-5,21,-8.8%,21,-7.5%,26,-11.4%,25,-10.5%,21,2.4%,21,1.9%,1,4.9%,1,4.9%
DEN,2-6,22,-10.5%,22,-9.1%,25,-11.2%,26,-11.7%,6,-7.4%,4,-9.4%,32,-6.8%,32,-6.9%
LAC,3-5,23,-10.6%,23,-10.7%,16,2.0%,17,0.8%,28,11.6%,27,10.7%,17,-1.0%,17,-0.9%
BUF,5-2,24,-11.9%,24,-11.4%,24,-10.1%,24,-10.1%,19,0.6%,18,0.2%,20,-1.2%,19,-1.1%
TEN,4-4,25,-12.2%,25,-14.5%,27,-13.8%,28,-15.2%,11,-4.3%,12,-3.7%,28,-2.7%,29,-3.0%
ARI,3-4-1,26,-17.4%,27,-16.9%,20,-4.3%,20,-2.9%,27,11.5%,28,11.9%,24,-1.7%,25,-2.1%
NYG,2-6,27,-17.8%,26,-16.7%,22,-9.0%,22,-9.6%,25,7.6%,23,5.8%,19,-1.1%,21,-1.3%
ATL,1-7,28,-19.3%,28,-19.7%,18,0.6%,15,1.4%,30,14.3%,30,15.0%,31,-5.7%,31,-6.1%
WAS,1-7,29,-29.7%,29,-31.5%,30,-22.8%,30,-25.9%,24,7.2%,24,5.8%,11,0.3%,11,0.2%
NYJ,1-6,30,-37.8%,30,-38.9%,32,-41.0%,32,-42.6%,15,-2.1%,15,-2.2%,7,1.1%,6,1.5%
CIN,0-8,31,-41.8%,31,-42.4%,29,-22.1%,29,-22.4%,31,23.4%,31,24.4%,3,3.8%,2,4.3%
MIA,0-7,32,-73.1%,32,-71.4%,31,-37.7%,31,-37.1%,32,34.1%,32,32.9%,22,-1.3%,22,-1.3%
