Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,10-1,1,43.4%,2,40.9%,8,6.8%,10,5.2%,1,-36.5%,1,-35.2%,15,0.1%,12,0.5%
BAL,9-2,2,39.5%,1,44.3%,1,29.5%,1,31.9%,5,-7.6%,4,-11.2%,2,2.4%,6,1.1%
SF,10-1,3,33.9%,3,32.4%,11,4.9%,12,3.5%,2,-29.2%,2,-28.5%,17,-0.2%,13,0.4%
DAL,6-5,4,27.2%,4,26.9%,2,29.0%,2,28.6%,13,-2.0%,13,-2.6%,30,-3.9%,31,-4.2%
KC,7-4,5,26.2%,5,25.9%,3,24.9%,3,23.7%,15,-0.9%,16,-1.1%,12,0.4%,7,1.1%
NO,9-2,6,22.3%,6,24.8%,6,13.2%,6,14.7%,4,-8.1%,5,-10.1%,7,1.0%,16,0.1%
MIN,8-3,7,19.6%,7,21.3%,5,14.0%,5,15.6%,6,-6.9%,8,-6.8%,21,-1.3%,20,-1.0%
SEA,9-2,8,16.3%,8,17.5%,4,20.1%,4,19.8%,16,0.6%,17,-0.9%,28,-3.2%,28,-3.2%
PHI,5-6,9,7.8%,9,8.2%,14,2.5%,15,0.9%,8,-6.7%,6,-9.0%,22,-1.4%,23,-1.7%
GB,8-3,10,4.4%,11,1.8%,7,12.3%,7,12.7%,25,6.8%,29,9.8%,19,-1.1%,21,-1.1%
CLE,5-6,11,1.9%,10,3.0%,17,-0.8%,14,1.3%,14,-1.9%,15,-1.8%,8,0.7%,17,-0.1%
BUF,8-3,12,-1.1%,14,-1.0%,21,-3.6%,18,-2.7%,10,-3.8%,12,-2.8%,20,-1.2%,19,-1.0%
LAR,6-5,13,-1.9%,16,-4.2%,22,-6.5%,23,-9.4%,11,-3.5%,11,-4.1%,6,1.1%,4,1.2%
DET,3-7-1,14,-2.1%,17,-5.5%,16,1.1%,16,0.5%,21,3.8%,23,6.7%,9,0.7%,10,0.6%
TEN,6-5,15,-2.4%,13,-0.7%,13,2.6%,11,5.2%,19,1.7%,19,2.7%,29,-3.2%,27,-3.2%
HOU,7-4,16,-3.2%,18,-5.9%,15,1.5%,17,0.4%,22,5.2%,25,7.1%,11,0.5%,8,0.8%
ARI,3-7-1,17,-3.7%,12,0.0%,9,6.7%,8,10.9%,27,8.6%,28,9.1%,24,-1.8%,24,-1.8%
IND,6-5,18,-4.2%,15,-2.1%,18,-1.1%,19,-2.8%,17,0.7%,14,-2.4%,25,-2.4%,22,-1.6%
PIT,6-5,19,-4.8%,19,-6.4%,28,-18.5%,29,-22.8%,3,-13.0%,3,-15.2%,10,0.6%,5,1.2%
CHI,5-6,20,-7.3%,20,-9.6%,27,-14.6%,27,-15.6%,9,-6.2%,9,-5.4%,5,1.1%,11,0.5%
TB,4-7,21,-9.0%,22,-9.9%,23,-7.6%,22,-9.4%,18,1.3%,18,1.1%,16,-0.2%,9,0.6%
LAC,4-7,22,-9.6%,21,-9.8%,12,3.0%,13,1.8%,28,8.7%,24,6.7%,31,-3.9%,32,-5.0%
JAX,4-7,23,-10.3%,25,-13.2%,19,-2.1%,21,-4.6%,26,8.5%,26,8.3%,13,0.3%,18,-0.3%
OAK,6-5,24,-11.4%,27,-13.5%,10,6.2%,9,5.4%,30,15.9%,31,16.7%,23,-1.8%,25,-2.2%
ATL,3-8,25,-11.9%,23,-11.6%,20,-2.9%,20,-3.6%,24,6.1%,22,5.3%,26,-2.9%,26,-2.8%
DEN,3-8,26,-14.3%,26,-13.5%,26,-13.2%,26,-15.2%,12,-3.1%,10,-5.1%,32,-4.2%,29,-3.4%
CAR,5-6,27,-14.4%,28,-18.3%,24,-9.5%,24,-10.4%,20,1.9%,21,4.0%,27,-3.0%,30,-3.9%
NYJ,4-7,28,-14.8%,24,-11.9%,29,-23.7%,28,-21.4%,7,-6.8%,7,-6.8%,3,2.1%,2,2.7%
NYG,2-9,29,-21.0%,29,-22.0%,25,-12.1%,25,-13.6%,29,9.1%,27,8.6%,14,0.2%,15,0.2%
WAS,2-9,30,-33.5%,30,-34.5%,32,-29.3%,32,-32.6%,23,5.7%,20,3.2%,4,1.5%,3,1.3%
CIN,0-11,31,-37.3%,31,-36.6%,30,-24.6%,31,-25.9%,31,16.9%,30,16.3%,1,4.3%,1,5.5%
MIA,2-9,32,-51.7%,32,-46.3%,31,-25.7%,30,-23.0%,32,25.7%,32,23.7%,18,-0.4%,14,0.4%
