Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,4-0,1,54.5%,1,54.5%,8,8.7%,8,8.7%,1,-50.3%,1,-50.3%,29,-4.5%,29,-4.5%
SF,3-0,2,48.3%,2,48.3%,7,12.7%,7,12.7%,2,-36.7%,2,-36.7%,17,-1.2%,17,-1.2%
DAL,3-1,3,38.8%,3,38.8%,2,33.5%,2,33.5%,12,-6.1%,12,-6.1%,14,-0.8%,14,-0.8%
KC,4-0,4,29.6%,4,29.6%,1,36.5%,1,36.5%,17,3.1%,17,3.1%,26,-3.7%,26,-3.7%
BAL,2-2,5,15.9%,5,15.9%,3,25.8%,3,25.8%,29,18.1%,29,18.1%,2,8.1%,2,8.1%
DET,2-1-1,6,12.4%,6,12.4%,15,1.5%,15,1.5%,6,-9.9%,6,-9.9%,8,1.0%,8,1.0%
CHI,3-1,7,11.1%,7,11.1%,26,-9.5%,26,-9.5%,3,-19.8%,3,-19.8%,9,0.8%,9,0.8%
LAR,3-1,8,9.9%,8,9.9%,11,3.7%,11,3.7%,14,-4.8%,14,-4.8%,7,1.4%,7,1.4%
TB,2-2,9,8.9%,9,8.9%,10,6.2%,10,6.2%,10,-8.0%,10,-8.0%,31,-5.3%,31,-5.3%
CAR,2-2,10,7.9%,10,7.9%,25,-9.1%,25,-9.1%,5,-13.9%,5,-13.9%,5,3.1%,5,3.1%
SEA,3-1,11,7.4%,11,7.4%,6,13.7%,6,13.7%,18,3.1%,18,3.1%,23,-3.2%,23,-3.2%
MIN,2-2,12,7.1%,12,7.1%,12,3.5%,12,3.5%,11,-7.1%,11,-7.1%,25,-3.5%,25,-3.5%
PHI,2-2,13,6.8%,13,6.8%,4,16.6%,4,16.6%,25,8.9%,25,8.9%,15,-0.9%,15,-0.9%
GB,3-1,14,6.1%,14,6.1%,16,0.0%,16,0.0%,8,-8.1%,8,-8.1%,20,-2.0%,20,-2.0%
CLE,2-2,15,3.5%,15,3.5%,24,-8.6%,24,-8.6%,7,-8.2%,7,-8.2%,4,3.9%,4,3.9%
TEN,2-2,16,2.4%,16,2.4%,20,-3.3%,20,-3.3%,13,-5.1%,13,-5.1%,10,0.5%,10,0.5%
HOU,2-2,17,2.2%,17,2.2%,22,-6.2%,22,-6.2%,9,-8.1%,9,-8.1%,11,0.4%,11,0.4%
BUF,3-1,18,1.3%,18,1.3%,27,-13.0%,27,-13.0%,4,-18.1%,4,-18.1%,27,-3.8%,27,-3.8%
JAX,2-2,19,-1.6%,19,-1.6%,14,1.6%,14,1.6%,20,5.5%,20,5.5%,6,2.3%,6,2.3%
LAC,2-2,20,-1.8%,20,-1.8%,5,16.1%,5,16.1%,27,15.7%,27,15.7%,21,-2.2%,21,-2.2%
NO,3-1,21,-2.1%,21,-2.1%,18,-2.6%,18,-2.6%,24,8.3%,24,8.3%,1,8.7%,1,8.7%
ATL,1-3,22,-5.2%,22,-5.2%,21,-3.8%,21,-3.8%,16,-1.5%,16,-1.5%,22,-2.9%,22,-2.9%
NYG,2-2,23,-6.0%,23,-6.0%,17,-1.3%,17,-1.3%,19,4.9%,19,4.9%,12,0.2%,12,0.2%
PIT,1-3,24,-10.2%,24,-10.2%,19,-2.6%,19,-2.6%,23,6.6%,23,6.6%,16,-1.0%,16,-1.0%
OAK,2-2,25,-14.9%,25,-14.9%,23,-8.1%,23,-8.1%,22,6.4%,22,6.4%,13,-0.5%,13,-0.5%
IND,2-2,26,-19.1%,26,-19.1%,9,8.1%,9,8.1%,31,19.8%,31,19.8%,32,-7.4%,32,-7.4%
DEN,0-4,27,-19.6%,27,-19.6%,13,2.5%,13,2.5%,28,17.9%,28,17.9%,28,-4.2%,28,-4.2%
ARI,0-3-1,28,-23.4%,28,-23.4%,28,-15.5%,28,-15.5%,21,6.2%,21,6.2%,18,-1.6%,18,-1.6%
NYJ,0-3,29,-27.0%,29,-27.0%,30,-28.4%,30,-28.4%,15,-3.4%,15,-3.4%,19,-2.0%,19,-2.0%
WAS,0-4,30,-27.1%,30,-27.1%,29,-16.6%,29,-16.6%,26,14.5%,26,14.5%,3,4.0%,3,4.0%
CIN,0-4,31,-55.7%,31,-55.7%,31,-32.7%,31,-32.7%,30,19.8%,30,19.8%,24,-3.2%,24,-3.2%
MIA,0-4,32,-96.7%,32,-96.7%,32,-53.0%,32,-53.0%,32,38.6%,32,38.6%,30,-5.1%,30,-5.1%
