Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
IND,11-4,1,28.2%,1,28.8%,1,54.0%,6,10.0%
SD,13-2,2,24.6%,2,25.0%,3,33.2%,1,26.3%
PHI,9-6,3,20.5%,3,18.4%,4,32.0%,2,19.0%
CIN,8-7,4,13.9%,4,15.8%,2,36.3%,12,2.0%
DAL,9-6,5,12.4%,6,13.8%,6,26.7%,5,10.9%
NE,11-4,6,12.3%,7,10.4%,5,28.8%,11,4.0%
NO,10-5,7,11.7%,5,15.0%,7,26.3%,8,5.2%
NYG,7-8,8,9.6%,10,6.7%,12,18.9%,4,11.8%
JAX,8-7,9,6.0%,8,9.4%,16,5.6%,3,16.4%
PIT,7-8,10,4.7%,12,5.6%,9,22.5%,22,-7.1%
KC,8-7,11,4.2%,9,8.1%,10,20.9%,18,-2.4%
NYJ,9-6,12,3.7%,13,2.2%,11,19.6%,19,-3.2%
WAS,5-10,13,1.7%,16,-0.4%,14,12.6%,9,4.2%
BAL,12-3,14,1.7%,11,5.8%,8,24.7%,27,-9.7%
STL,7-8,15,-0.3%,14,0.6%,13,16.1%,17,-1.8%
CHI,13-2,16,-0.5%,18,-2.0%,17,4.7%,10,4.1%
DEN,9-6,17,-1.4%,17,-1.4%,18,3.7%,14,-0.2%
ATL,7-8,18,-3.6%,19,-4.2%,29,-10.0%,7,8.1%
CAR,7-8,19,-4.4%,23,-6.3%,19,1.0%,15,-1.4%
HOU,5-10,20,-6.3%,20,-5.3%,23,-2.3%,16,-1.4%
BUF,7-8,21,-6.3%,21,-5.3%,15,7.1%,24,-7.6%
GB,7-8,22,-6.7%,26,-9.3%,20,0.4%,20,-4.5%
SF,6-9,23,-7.5%,24,-7.3%,26,-5.4%,13,1.3%
TEN,8-7,24,-8.8%,15,0.6%,24,-2.6%,26,-8.3%
MIA,6-9,25,-10.3%,25,-8.6%,27,-6.0%,23,-7.1%
ARI,5-10,26,-13.0%,22,-5.9%,22,-0.2%,31,-16.2%
SEA,8-7,27,-13.9%,27,-15.0%,25,-5.1%,28,-11.2%
CLE,4-11,28,-15.1%,28,-15.1%,28,-9.9%,30,-15.6%
MIN,6-9,29,-15.2%,30,-15.3%,31,-15.9%,21,-5.5%
DET,2-13,30,-15.7%,31,-19.0%,21,-0.1%,32,-27.0%
TB,4-11,31,-16.9%,29,-15.2%,30,-15.3%,25,-8.0%
OAK,2-13,32,-36.4%,32,-32.7%,32,-41.4%,29,-14.7%
