Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
PHI,1-0,1,55.1%,1,55.1%,5,77.3%,3,33.7%
NYG,0-1,2,43.3%,2,43.3%,3,80.8%,1,62.3%
NYJ,1-0,3,29.3%,3,29.3%,2,95.4%,20,-12.9%
ATL,1-0,4,26.9%,4,26.9%,6,62.8%,12,7.9%
SF,0-1,5,25.7%,5,25.7%,13,23.9%,2,50.1%
PIT,1-0,6,20.7%,6,20.7%,4,79.5%,27,-28.4%
JAX,1-0,7,20.6%,7,20.6%,12,26.2%,8,13.1%
ARI,1-0,8,19.3%,8,19.3%,7,57.8%,23,-21.3%
SD,1-0,9,16.2%,9,16.2%,1,121.3%,14,-1.1%
IND,1-0,10,13.3%,10,13.3%,9,53.3%,25,-21.7%
CHI,1-0,11,9.6%,11,9.6%,8,55.6%,26,-23.7%
NE,1-0,12,6.0%,12,6.0%,25,-22.9%,6,21.5%
CIN,1-0,13,6.0%,13,6.0%,15,15.0%,11,8.6%
BUF,0-1,14,3.4%,14,3.4%,21,-3.2%,7,18.3%
MIN,1-0,15,-0.6%,15,-0.6%,11,29.0%,19,-9.2%
WAS,0-1,16,-0.9%,16,-0.9%,14,18.2%,21,-16.6%
BAL,1-0,17,-1.0%,17,-1.0%,10,52.5%,28,-35.2%
HOU,0-1,18,-1.3%,18,-1.3%,18,3.3%,15,-2.0%
NO,1-0,19,-6.2%,19,-6.2%,17,5.2%,18,-8.7%
STL,1-0,20,-6.8%,20,-6.8%,24,-10.5%,9,11.6%
TEN,0-1,21,-12.9%,21,-12.9%,27,-42.4%,4,32.5%
KC,0-1,22,-13.4%,22,-13.4%,23,-6.7%,22,-19.6%
DAL,0-1,23,-13.9%,23,-13.9%,22,-5.0%,13,3.8%
MIA,0-1,24,-14.0%,24,-14.0%,19,-1.0%,29,-35.5%
SEA,1-0,25,-17.9%,25,-17.9%,16,7.3%,32,-43.0%
DET,0-1,26,-18.5%,26,-18.5%,20,-2.6%,30,-38.0%
GB,0-1,27,-24.6%,27,-24.6%,26,-27.6%,24,-21.4%
CLE,0-1,28,-26.7%,28,-26.7%,29,-44.8%,17,-8.4%
CAR,0-1,29,-31.6%,29,-31.6%,30,-48.9%,10,10.8%
DEN,0-1,30,-45.5%,30,-45.5%,32,-98.8%,5,22.4%
OAK,0-1,31,-51.6%,31,-51.6%,28,-43.2%,31,-41.9%
TB,0-1,32,-64.4%,32,-64.4%,31,-86.0%,16,-6.7%
