Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
IND,11-3,1,28.8%,2,28.7%,1,54.4%,6,11.1%
SD,12-2,2,27.6%,1,29.1%,3,35.6%,1,28.0%
PHI,8-6,3,19.4%,5,16.9%,4,31.4%,2,18.1%
CIN,8-6,4,16.9%,3,20.0%,2,42.4%,11,2.1%
DAL,9-5,5,15.7%,4,17.4%,6,28.9%,4,15.3%
NYG,7-7,6,14.3%,7,13.3%,7,27.7%,5,12.7%
NO,9-5,7,11.8%,6,15.1%,5,29.3%,12,1.4%
NE,10-4,8,8.7%,11,5.8%,8,24.6%,14,0.4%
PIT,7-7,9,6.5%,10,6.9%,9,23.9%,20,-4.1%
JAX,8-6,10,5.4%,9,8.2%,18,4.1%,3,16.6%
NYJ,8-6,11,4.9%,14,2.4%,12,21.2%,16,-1.5%
KC,7-7,12,4.7%,8,8.4%,11,22.9%,19,-3.3%
WAS,5-9,13,2.1%,17,-0.7%,13,13.2%,8,5.4%
DEN,8-6,14,2.1%,13,3.0%,16,7.0%,10,3.4%
BAL,11-3,15,1.1%,12,4.8%,10,23.1%,27,-11.5%
CHI,12-2,16,-0.2%,16,-0.6%,17,5.8%,9,3.9%
ATL,7-7,17,-1.4%,15,-0.4%,29,-8.0%,7,10.6%
CAR,6-8,18,-1.8%,18,-2.8%,20,3.6%,13,0.7%
STL,6-8,19,-2.7%,19,-3.0%,14,11.2%,17,-1.8%
GB,6-8,20,-5.6%,25,-7.6%,19,3.6%,22,-5.6%
HOU,4-10,21,-7.0%,22,-7.2%,23,-3.0%,18,-2.4%
SF,6-8,22,-7.2%,24,-7.5%,24,-3.2%,15,-0.3%
BUF,7-7,23,-7.4%,21,-6.9%,15,7.7%,25,-9.3%
MIA,6-8,24,-9.1%,23,-7.3%,25,-3.4%,24,-7.3%
TEN,7-7,25,-9.6%,20,-3.9%,28,-6.4%,23,-6.8%
CLE,4-10,26,-11.7%,26,-10.7%,21,-2.1%,30,-18.3%
MIN,6-8,27,-12.7%,28,-12.8%,30,-11.7%,21,-4.4%
SEA,8-6,28,-13.4%,29,-14.5%,22,-2.6%,28,-13.0%
ARI,4-10,29,-16.5%,27,-11.2%,27,-4.7%,31,-18.5%
TB,3-11,30,-17.2%,30,-16.2%,31,-13.5%,26,-10.8%
DET,2-12,31,-19.4%,31,-23.9%,26,-4.6%,32,-29.0%
OAK,2-12,32,-37.1%,32,-34.4%,32,-40.3%,29,-16.4%
