Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
IND,7-0,1,32.1%,1,32.7%,1,63.9%,9,5.0%
PHI,4-4,2,26.6%,2,26.1%,4,42.4%,2,20.1%
SD,5-2,3,24.0%,3,24.1%,2,49.9%,7,8.7%
NE,6-1,4,21.0%,4,22.1%,3,44.6%,12,2.1%
NYG,5-2,5,18.1%,5,17.9%,6,33.6%,1,20.7%
DEN,5-2,6,9.7%,6,12.2%,22,3.5%,3,19.5%
CAR,4-4,7,8.0%,7,9.7%,13,18.5%,10,4.2%
CIN,4-3,8,7.9%,8,7.8%,10,22.0%,5,9.0%
WAS,2-5,9,7.8%,9,7.6%,12,20.4%,8,8.7%
DAL,4-3,10,6.9%,10,7.1%,19,6.8%,4,16.9%
GB,3-4,11,5.5%,12,6.1%,11,21.6%,15,-4.2%
STL,4-3,12,5.1%,11,6.6%,7,29.0%,19,-8.8%
CHI,7-0,13,3.0%,13,3.0%,9,22.0%,18,-8.0%
NYJ,4-4,14,2.9%,14,1.9%,15,15.8%,14,-1.8%
PIT,2-5,15,1.6%,16,1.6%,8,24.8%,27,-13.1%
NO,5-2,16,1.0%,17,1.4%,14,16.4%,16,-7.5%
KC,4-3,17,0.6%,15,1.9%,5,34.4%,31,-22.2%
JAX,4-3,18,-0.4%,19,-1.6%,20,6.5%,11,3.2%
ATL,5-2,19,-0.5%,18,-0.6%,24,-2.5%,6,8.8%
SF,2-5,20,-3.8%,21,-5.4%,17,10.5%,20,-8.9%
DET,1-6,21,-4.4%,20,-3.5%,16,12.8%,30,-19.7%
SEA,4-3,22,-7.3%,22,-7.0%,18,7.8%,28,-15.5%
HOU,2-5,23,-7.7%,23,-7.6%,23,2.5%,23,-11.4%
BAL,5-2,24,-10.7%,24,-11.5%,21,4.6%,29,-17.1%
CLE,2-5,25,-12.4%,25,-11.5%,25,-10.6%,25,-12.5%
BUF,2-5,26,-14.4%,28,-15.4%,27,-13.7%,13,0.4%
MIN,4-3,27,-15.0%,26,-15.1%,26,-12.4%,26,-12.7%
TB,2-5,28,-16.4%,27,-15.2%,29,-15.9%,17,-7.6%
MIA,1-6,29,-18.5%,29,-19.0%,28,-14.8%,21,-9.8%
TEN,2-5,30,-21.1%,30,-19.8%,31,-25.3%,22,-10.0%
ARI,1-7,31,-27.2%,31,-27.7%,30,-15.9%,32,-28.7%
OAK,2-5,32,-38.9%,32,-37.8%,32,-50.6%,24,-12.5%
