Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
IND,8-0,1,30.1%,1,30.3%,1,60.9%,11,3.5%
PHI,4-4,2,26.3%,3,25.4%,3,42.1%,2,19.6%
SD,6-2,3,24.8%,2,25.6%,2,42.9%,4,16.4%
NYG,6-2,4,19.8%,4,19.5%,6,34.4%,1,21.7%
NE,6-2,5,16.9%,6,18.0%,4,37.4%,12,1.9%
DEN,6-2,6,13.7%,5,18.1%,15,17.0%,3,17.5%
CIN,4-4,7,11.3%,8,11.1%,11,24.6%,7,12.8%
WAS,3-5,8,10.9%,7,11.3%,8,31.3%,9,4.9%
DAL,4-4,9,7.9%,11,7.2%,18,12.2%,5,15.9%
CAR,4-4,10,7.2%,9,9.3%,14,17.6%,10,3.7%
STL,4-4,11,5.8%,10,8.1%,7,32.5%,19,-10.2%
NO,6-2,12,4.9%,12,6.2%,9,27.8%,26,-12.4%
PIT,2-6,13,4.7%,14,5.2%,10,26.2%,22,-11.1%
NYJ,4-4,14,4.2%,16,2.5%,12,20.1%,15,-3.4%
GB,3-5,15,4.1%,13,5.4%,13,17.8%,14,-2.6%
KC,5-3,16,2.3%,15,4.0%,5,35.6%,31,-19.3%
JAX,5-3,17,0.8%,17,-0.3%,19,10.4%,13,1.6%
ATL,5-3,18,-2.0%,18,-2.5%,24,-9.8%,6,13.2%
CHI,7-1,19,-2.9%,21,-4.3%,22,8.2%,17,-7.1%
HOU,2-6,20,-3.6%,19,-2.7%,20,9.7%,21,-10.5%
DET,2-6,21,-4.8%,20,-3.7%,16,12.6%,28,-15.9%
SEA,5-3,22,-5.8%,22,-5.0%,21,8.4%,18,-9.7%
BAL,6-2,23,-7.1%,23,-7.3%,17,12.4%,29,-17.5%
SF,3-5,24,-7.7%,24,-9.6%,23,6.0%,23,-11.3%
BUF,3-5,25,-13.2%,26,-15.3%,26,-14.7%,8,5.5%
CLE,2-6,26,-15.6%,25,-14.8%,25,-10.5%,30,-17.9%
MIA,2-6,27,-17.5%,28,-17.6%,29,-17.8%,16,-5.1%
TB,2-6,28,-17.8%,27,-16.4%,28,-15.9%,20,-10.3%
MIN,4-4,29,-17.9%,29,-17.9%,30,-19.2%,24,-11.4%
TEN,2-6,30,-25.9%,30,-24.4%,31,-31.7%,27,-13.0%
ARI,1-7,31,-28.1%,31,-27.8%,27,-15.4%,32,-31.1%
OAK,2-6,32,-40.0%,32,-38.2%,32,-49.4%,25,-11.7%
