Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,10-0,1,75.8%,1,76.4%,1,52.4%,1,53.6%,4,-16.1%,6,-15.1%,4,7.3%,4,7.8%
DAL,9-1,2,40.1%,2,39.7%,2,32.8%,2,31.6%,8,-8.5%,7,-9.4%,16,-1.2%,16,-1.3%
IND,8-2,3,29.0%,4,26.4%,3,20.1%,4,17.1%,2,-19.4%,2,-20.0%,31,-10.5%,31,-10.8%
GB,9-1,4,26.9%,3,27.5%,4,18.0%,3,19.2%,9,-5.9%,10,-5.6%,10,3.1%,10,2.7%
PIT,7-3,5,26.1%,5,24.2%,11,7.6%,11,7.2%,1,-21.9%,1,-21.7%,23,-3.4%,26,-4.7%
TB,6-4,6,22.9%,6,20.4%,7,14.2%,9,13.6%,7,-9.2%,8,-8.3%,15,-0.5%,17,-1.5%
JAX,7-3,7,14.1%,7,16.1%,8,14.0%,6,15.5%,22,3.7%,20,3.3%,9,3.8%,9,4.0%
SEA,6-4,8,10.7%,10,9.3%,14,2.1%,15,1.9%,12,-4.1%,12,-3.0%,8,4.5%,8,4.3%
SD,5-5,9,10.1%,8,11.7%,13,3.3%,13,3.4%,15,-1.3%,16,-2.0%,5,5.5%,5,6.3%
CLE,6-4,10,7.2%,9,10.0%,9,12.7%,8,14.3%,31,15.7%,30,14.3%,1,10.1%,1,10.1%
PHI,5-5,11,6.3%,15,2.6%,5,17.3%,5,17.0%,21,3.7%,23,6.4%,30,-7.3%,30,-8.0%
NYG,7-3,12,6.2%,11,7.0%,12,5.6%,12,4.7%,11,-4.3%,11,-5.6%,24,-3.7%,23,-3.3%
TEN,6-4,13,5.4%,16,2.3%,23,-9.7%,24,-12.2%,3,-18.2%,3,-17.2%,20,-3.0%,21,-2.8%
MIN,4-6,14,3.4%,13,3.3%,18,-1.3%,17,0.2%,14,-3.6%,13,-2.8%,12,1.0%,14,0.4%
WAS,5-5,15,2.6%,14,3.0%,19,-1.7%,18,0.1%,13,-3.7%,14,-2.4%,13,0.5%,12,0.5%
DEN,5-5,16,2.1%,12,3.8%,10,12.4%,10,12.6%,24,7.9%,25,9.0%,18,-2.4%,15,0.2%
CIN,3-7,17,-1.9%,17,-2.0%,6,15.4%,7,14.8%,30,15.4%,31,17.5%,17,-1.9%,11,0.7%
ARI,5-5,18,-6.4%,19,-6.7%,21,-7.4%,21,-9.7%,10,-5.6%,9,-8.1%,26,-4.5%,27,-5.1%
HOU,5-5,19,-6.9%,21,-10.3%,20,-4.7%,20,-6.0%,23,4.6%,21,4.6%,11,2.5%,13,0.4%
BUF,5-5,20,-8.6%,18,-5.0%,25,-12.9%,22,-11.0%,20,3.7%,18,2.0%,3,8.0%,3,8.0%
BAL,4-6,21,-10.0%,25,-14.6%,30,-25.2%,31,-27.5%,5,-15.5%,5,-15.3%,14,-0.3%,20,-2.3%
KC,4-6,22,-10.4%,20,-9.2%,26,-19.3%,27,-19.0%,6,-15.3%,4,-15.5%,29,-6.4%,29,-5.7%
MIA,0-10,23,-14.5%,22,-14.2%,15,1.1%,16,0.3%,28,12.6%,26,11.5%,21,-3.1%,22,-3.0%
CHI,4-6,24,-15.9%,23,-14.3%,27,-20.5%,26,-17.7%,19,3.6%,22,4.7%,2,8.3%,2,8.1%
NYJ,2-8,25,-17.4%,24,-14.5%,17,-0.8%,19,-0.7%,32,21.3%,32,19.4%,7,4.7%,7,5.6%
DET,6-4,26,-18.0%,26,-15.8%,24,-11.5%,23,-11.1%,17,0.7%,17,-1.0%,28,-5.8%,28,-5.7%
NO,4-6,27,-19.8%,27,-15.9%,16,-0.2%,14,2.9%,29,14.5%,29,14.2%,27,-5.1%,25,-4.6%
CAR,4-6,28,-23.8%,29,-25.2%,22,-9.6%,25,-12.2%,18,3.6%,19,2.1%,32,-10.6%,32,-10.9%
ATL,3-7,29,-24.1%,28,-24.6%,28,-21.7%,29,-24.6%,16,-0.4%,15,-2.0%,19,-2.8%,18,-2.0%
STL,2-8,30,-37.6%,30,-35.8%,31,-25.4%,28,-24.1%,25,8.9%,24,8.0%,22,-3.3%,24,-3.6%
OAK,2-8,31,-38.0%,31,-39.2%,29,-23.3%,30,-25.0%,26,10.8%,27,11.9%,25,-4.0%,19,-2.2%
SF,2-8,32,-50.3%,32,-52.7%,32,-44.2%,32,-46.6%,27,11.4%,28,12.0%,6,5.3%,6,5.9%
