Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,16-0,1,53.4%,1,42.3%,1,44.1%,1,39.9%,10,-5.7%,18,-0.4%,7,3.6%,11,2.0%
IND,13-3,2,29.6%,4,23.6%,2,23.1%,3,19.4%,2,-13.5%,3,-10.2%,32,-6.9%,31,-5.9%
JAX,11-5,3,23.2%,2,31.6%,3,21.9%,2,28.9%,17,-1.2%,12,-4.4%,14,0.0%,20,-1.8%
DAL,13-3,4,23.0%,7,14.8%,4,17.4%,9,8.9%,9,-6.0%,8,-6.7%,18,-0.4%,17,-0.9%
GB,13-3,5,20.5%,5,18.0%,5,16.0%,4,15.4%,16,-1.5%,19,0.6%,8,3.0%,7,3.2%
PIT,10-6,6,19.2%,12,8.4%,10,8.2%,13,4.8%,3,-12.7%,11,-5.9%,21,-1.6%,22,-2.3%
SD,11-5,7,17.8%,3,24.3%,14,5.2%,12,7.2%,5,-7.5%,2,-11.3%,5,5.1%,4,5.8%
TB,9-7,8,17.5%,9,12.2%,13,5.9%,17,0.1%,4,-11.2%,1,-12.3%,12,0.3%,15,-0.2%
SEA,10-6,9,14.0%,8,14.2%,12,6.6%,8,9.5%,8,-6.2%,10,-6.4%,11,1.2%,19,-1.7%
PHI,8-8,10,11.1%,10,10.2%,6,12.7%,6,10.3%,11,-4.8%,9,-6.7%,31,-6.4%,32,-6.8%
TEN,10-6,11,10.0%,14,5.9%,19,-3.5%,19,-4.4%,1,-13.9%,4,-9.2%,17,-0.4%,14,1.1%
CLE,10-6,12,8.8%,6,15.0%,9,8.2%,11,8.1%,25,7.4%,20,1.1%,2,8.1%,2,7.9%
WAS,9-7,13,5.3%,11,9.3%,17,-0.9%,16,3.0%,7,-6.6%,7,-6.9%,16,-0.4%,16,-0.6%
MIN,8-8,14,5.1%,13,7.3%,16,-0.8%,15,3.1%,13,-3.4%,16,-1.5%,9,2.5%,9,2.6%
NYG,10-6,15,1.4%,16,3.2%,18,-1.1%,20,-5.7%,14,-3.3%,6,-7.1%,20,-0.9%,12,1.9%
CIN,7-9,16,-0.2%,20,-0.2%,7,12.2%,10,8.6%,31,11.5%,30,12.0%,19,-0.9%,6,3.2%
HOU,8-8,17,-0.8%,18,0.7%,15,1.6%,14,4.0%,28,9.2%,29,10.5%,3,6.9%,3,7.2%
DEN,7-9,18,-1.8%,19,0.4%,8,9.1%,7,9.8%,22,5.7%,26,7.2%,28,-5.2%,21,-2.2%
NO,7-9,19,-5.7%,15,3.6%,11,6.7%,5,11.9%,27,8.2%,24,5.5%,25,-4.3%,24,-2.8%
CHI,7-9,20,-6.2%,17,1.9%,30,-22.2%,29,-18.6%,12,-4.8%,5,-8.2%,1,11.2%,1,12.3%
BAL,5-11,21,-6.6%,23,-9.9%,25,-13.5%,22,-9.7%,6,-6.8%,13,-2.8%,13,0.1%,25,-3.0%
BUF,7-9,22,-6.7%,21,-0.9%,23,-10.1%,21,-6.0%,19,1.5%,14,-2.4%,6,4.9%,8,2.7%
ARI,8-8,23,-11.9%,24,-13.4%,20,-3.8%,18,-3.7%,20,3.6%,23,4.7%,26,-4.5%,29,-5.0%
NYJ,4-12,24,-17.3%,22,-9.5%,22,-9.6%,24,-11.6%,29,9.3%,17,-1.0%,10,1.6%,13,1.2%
KC,4-12,25,-20.4%,26,-23.3%,29,-19.6%,30,-19.6%,15,-3.2%,21,2.3%,24,-4.0%,18,-1.5%
CAR,7-9,26,-21.1%,25,-20.2%,26,-14.8%,28,-18.2%,18,0.5%,15,-1.7%,30,-5.8%,27,-3.7%
ATL,4-12,27,-23.1%,27,-24.4%,27,-16.8%,27,-17.8%,23,6.3%,28,9.1%,15,-0.1%,10,2.5%
MIA,1-15,28,-23.2%,29,-27.7%,21,-6.7%,25,-12.6%,32,13.8%,31,12.9%,22,-2.7%,23,-2.3%
DET,7-9,29,-24.3%,30,-27.8%,24,-10.3%,23,-11.3%,30,10.4%,32,13.3%,23,-3.5%,26,-3.2%
OAK,4-12,30,-30.8%,28,-25.9%,28,-18.0%,26,-15.8%,24,7.3%,25,5.8%,29,-5.5%,28,-4.4%
STL,3-13,31,-33.2%,31,-29.6%,31,-23.2%,31,-21.3%,21,5.3%,22,2.8%,27,-4.7%,30,-5.4%
SF,5-11,32,-35.4%,32,-31.4%,32,-32.8%,32,-29.7%,26,7.9%,27,7.2%,4,5.2%,5,5.6%
