Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,9-0,1,75.1%,1,75.3%,1,47.9%,1,47.9%,4,-18.9%,4,-18.8%,4,8.3%,3,8.6%
IND,7-1,2,47.4%,2,47.3%,2,32.7%,2,32.2%,3,-19.0%,3,-19.2%,23,-4.3%,23,-4.0%
DAL,7-1,3,42.1%,3,42.5%,3,29.0%,3,27.0%,6,-13.1%,5,-15.8%,14,0.0%,13,-0.3%
PIT,6-2,4,36.3%,4,34.0%,8,12.7%,8,13.1%,2,-23.9%,2,-21.6%,15,-0.2%,17,-0.7%
TB,5-4,5,24.3%,5,24.6%,5,16.6%,5,17.4%,10,-8.0%,10,-7.8%,16,-0.3%,18,-0.7%
TEN,6-2,6,23.7%,6,23.6%,19,-5.6%,20,-7.4%,1,-30.2%,1,-31.6%,18,-1.0%,16,-0.6%
GB,7-1,7,14.2%,7,12.9%,9,9.4%,9,10.4%,12,-4.1%,14,-2.9%,13,0.7%,14,-0.4%
SEA,4-4,8,13.2%,8,11.8%,17,-2.6%,18,-3.7%,11,-7.0%,11,-6.3%,2,8.8%,1,9.2%
MIN,3-5,9,10.5%,10,10.8%,16,-0.2%,16,1.7%,8,-9.7%,8,-8.7%,12,1.0%,12,0.4%
JAX,5-3,10,10.2%,9,11.3%,10,9.3%,10,9.8%,19,3.5%,19,3.1%,6,4.4%,7,4.7%
PHI,3-5,11,4.7%,12,3.0%,6,14.1%,7,15.0%,21,4.1%,21,6.6%,26,-5.3%,27,-5.3%
CLE,5-3,12,2.6%,11,4.4%,7,14.1%,6,15.9%,29,17.0%,29,16.9%,5,5.5%,6,5.4%
NYG,6-2,13,0.0%,13,1.4%,12,5.2%,14,3.5%,13,-1.6%,12,-4.9%,29,-6.7%,30,-7.1%
SD,4-4,14,-1.0%,14,0.6%,15,2.4%,13,4.4%,22,6.2%,22,7.1%,10,2.9%,9,3.3%
CIN,2-6,15,-2.0%,16,-1.8%,4,20.2%,4,20.4%,30,17.3%,31,19.4%,25,-4.9%,20,-2.8%
WAS,5-3,16,-3.1%,17,-2.7%,25,-12.9%,25,-12.6%,7,-10.2%,7,-10.4%,17,-0.4%,15,-0.5%
BAL,4-4,17,-5.1%,18,-6.5%,30,-24.4%,30,-23.3%,5,-16.0%,6,-15.0%,9,3.2%,10,1.8%
BUF,4-4,18,-5.7%,15,-1.7%,24,-11.6%,23,-9.4%,17,2.8%,16,0.5%,3,8.7%,4,8.2%
HOU,4-5,19,-10.9%,23,-14.7%,21,-6.7%,21,-8.3%,23,6.5%,23,7.7%,11,2.3%,11,1.3%
NO,4-4,20,-12.5%,19,-8.0%,13,4.0%,11,7.1%,25,8.9%,24,7.7%,30,-7.6%,31,-7.4%
DET,6-2,21,-13.2%,21,-13.7%,20,-6.2%,19,-6.6%,18,2.9%,18,2.7%,22,-4.1%,24,-4.4%
ARI,3-5,22,-13.2%,22,-14.0%,23,-9.0%,24,-10.3%,15,0.7%,15,0.1%,20,-3.6%,21,-3.6%
KC,4-4,23,-15.2%,20,-12.0%,27,-18.9%,27,-16.9%,9,-9.1%,9,-8.7%,27,-5.4%,22,-3.8%
DEN,3-5,24,-15.5%,25,-17.7%,14,3.7%,15,2.4%,28,11.4%,28,14.2%,31,-7.7%,29,-5.9%
CAR,4-4,25,-16.6%,24,-15.3%,22,-8.2%,22,-9.4%,14,-1.4%,13,-3.2%,32,-9.7%,32,-9.1%
MIA,0-8,26,-16.8%,26,-18.1%,11,5.8%,12,5.8%,31,18.5%,30,19.4%,21,-4.1%,25,-4.5%
CHI,3-5,27,-18.8%,27,-18.3%,29,-24.3%,29,-22.2%,20,3.7%,20,5.2%,1,9.2%,2,9.0%
ATL,2-6,28,-20.5%,28,-19.7%,26,-14.7%,26,-14.9%,16,2.7%,17,2.5%,19,-3.1%,19,-2.4%
NYJ,1-8,29,-23.8%,29,-21.5%,18,-3.3%,17,-3.1%,32,24.7%,32,24.1%,7,4.1%,5,5.7%
OAK,2-6,30,-36.7%,30,-35.6%,28,-22.0%,28,-21.9%,24,8.2%,25,7.9%,28,-6.6%,28,-5.8%
STL,0-8,31,-45.1%,31,-46.2%,31,-31.3%,31,-31.9%,26,9.3%,26,9.1%,24,-4.5%,26,-5.2%
SF,2-6,32,-49.4%,32,-51.8%,32,-42.4%,32,-43.4%,27,10.6%,27,11.8%,8,3.6%,8,3.4%
