Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,9-0,1,76.0%,1,76.5%,1,49.9%,1,50.3%,4,-17.8%,4,-17.3%,3,8.3%,1,9.0%
DAL,8-1,2,42.1%,2,43.0%,2,30.3%,2,29.4%,6,-11.8%,6,-13.9%,14,0.1%,13,-0.2%
IND,7-2,3,36.8%,3,36.0%,3,25.7%,3,24.5%,3,-21.3%,3,-21.8%,32,-10.2%,32,-10.3%
PIT,7-2,4,33.5%,4,29.7%,9,13.2%,10,12.2%,2,-24.3%,2,-23.2%,21,-4.0%,28,-5.6%
TB,5-4,5,24.0%,5,22.4%,6,17.4%,6,17.6%,9,-6.9%,10,-5.8%,15,-0.3%,18,-1.0%
GB,8-1,6,21.0%,6,20.2%,7,15.3%,8,15.8%,11,-5.1%,12,-4.9%,13,0.6%,15,-0.5%
TEN,6-3,7,14.1%,9,12.0%,22,-9.7%,24,-12.4%,1,-25.4%,1,-25.4%,18,-1.6%,19,-1.1%
SEA,5-4,8,13.7%,8,13.0%,16,-1.3%,18,-2.1%,8,-8.4%,8,-8.6%,6,6.6%,6,6.5%
JAX,6-3,9,13.2%,7,15.1%,10,11.8%,9,12.9%,19,1.8%,19,0.9%,9,3.2%,9,3.2%
SD,5-4,10,9.4%,10,10.8%,15,0.5%,15,0.5%,14,-2.0%,14,-2.6%,5,6.8%,4,7.7%
CLE,5-4,11,8.5%,11,10.8%,8,14.6%,7,16.5%,29,14.7%,29,14.4%,2,8.7%,2,8.6%
PHI,4-5,12,6.3%,13,2.4%,4,19.4%,4,18.8%,22,7.4%,24,10.3%,27,-5.7%,30,-6.1%
NYG,6-3,13,1.9%,12,3.4%,11,6.7%,13,5.6%,15,-1.1%,13,-3.6%,29,-5.9%,29,-5.8%
MIN,3-6,14,1.4%,14,1.4%,18,-2.4%,16,-0.6%,12,-3.2%,16,-2.1%,12,0.6%,11,-0.1%
CIN,3-6,15,0.1%,15,0.5%,5,19.0%,5,18.6%,31,15.6%,31,17.4%,20,-3.3%,16,-0.8%
WAS,5-4,16,-2.3%,17,-2.4%,21,-8.6%,20,-8.0%,10,-6.6%,9,-5.9%,16,-0.3%,14,-0.3%
BUF,5-4,17,-4.8%,16,-1.0%,25,-12.8%,23,-10.9%,18,0.7%,18,-1.3%,1,8.7%,3,8.5%
DEN,4-5,18,-6.8%,19,-7.4%,12,6.5%,12,6.0%,23,7.5%,23,9.6%,28,-5.8%,23,-3.8%
BAL,4-5,19,-7.0%,20,-10.0%,31,-26.0%,31,-27.0%,5,-17.2%,5,-17.2%,11,1.8%,12,-0.1%
ARI,4-5,20,-7.3%,18,-6.2%,20,-8.0%,21,-10.5%,13,-2.2%,11,-5.0%,17,-1.5%,17,-0.8%
HOU,4-5,21,-11.7%,23,-16.7%,19,-4.7%,19,-6.1%,25,9.3%,25,10.8%,10,2.3%,10,0.2%
NO,4-5,22,-15.3%,21,-10.5%,13,4.9%,11,8.9%,28,14.2%,28,13.9%,30,-6.0%,26,-5.5%
MIA,0-9,23,-16.0%,25,-17.2%,14,4.1%,14,3.7%,30,15.3%,30,15.9%,24,-4.8%,25,-5.0%
ATL,3-6,24,-17.8%,24,-16.9%,26,-15.7%,26,-16.7%,16,-0.6%,17,-1.5%,19,-2.7%,20,-1.7%
CHI,4-5,25,-18.4%,26,-17.4%,30,-23.8%,28,-22.1%,20,2.3%,21,2.9%,4,7.7%,5,7.7%
KC,4-5,26,-18.6%,22,-16.4%,28,-22.9%,27,-21.9%,7,-9.2%,7,-8.9%,25,-4.9%,22,-3.3%
DET,6-3,27,-19.7%,27,-17.9%,23,-11.0%,22,-10.6%,21,3.6%,20,1.8%,26,-5.1%,27,-5.5%
CAR,4-5,28,-20.1%,28,-19.8%,24,-11.8%,25,-14.0%,17,0.1%,15,-2.1%,31,-8.3%,31,-7.9%
NYJ,1-8,29,-22.9%,29,-20.6%,17,-1.7%,17,-1.3%,32,25.4%,32,24.3%,8,4.1%,8,5.0%
STL,1-8,30,-37.1%,30,-36.3%,29,-23.7%,30,-23.0%,24,9.3%,22,9.0%,22,-4.1%,24,-4.3%
OAK,2-7,31,-38.7%,31,-38.0%,27,-22.9%,29,-22.9%,26,11.2%,26,11.9%,23,-4.6%,21,-3.2%
SF,2-7,32,-51.3%,32,-55.1%,32,-44.2%,32,-47.3%,27,12.0%,27,13.0%,7,4.9%,7,5.2%
