Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SD,14-2,1,28.5%,3,26.7%,2,25.8%,2,25.8%,18,2.2%,19,4.9%,3,5.0%,4,5.8%
BAL,13-3,2,27.2%,2,29.6%,15,1.0%,13,4.8%,1,-22.4%,1,-21.4%,4,3.9%,9,3.4%
NE,12-4,3,26.1%,1,30.3%,4,14.7%,5,14.4%,7,-8.5%,5,-12.3%,8,2.9%,8,3.6%
PHI,10-6,4,25.5%,5,21.1%,3,21.2%,3,19.7%,8,-6.7%,10,-4.2%,23,-2.5%,22,-2.8%
CHI,13-3,5,24.0%,7,17.1%,18,-4.6%,24,-7.8%,2,-19.9%,2,-17.7%,1,8.7%,2,7.2%
JAX,8-8,6,21.8%,4,21.6%,9,7.6%,6,13.3%,3,-14.7%,8,-8.2%,19,-0.5%,20,0.1%
IND,12-4,7,17.9%,6,19.0%,1,29.4%,1,30.0%,26,7.8%,22,6.7%,25,-3.6%,29,-4.3%
NYG,8-8,8,12.3%,11,8.5%,7,11.8%,10,10.5%,14,-0.3%,16,2.9%,17,0.1%,16,0.9%
DAL,9-7,9,11.0%,12,7.8%,6,12.1%,7,12.8%,15,0.6%,21,6.4%,20,-0.5%,14,1.4%
NO,10-6,10,10.0%,8,10.2%,8,10.1%,8,12.0%,16,0.7%,14,1.2%,14,0.6%,21,-0.5%
PIT,8-8,11,8.8%,10,8.6%,10,7.4%,11,9.6%,9,-6.4%,11,-2.0%,30,-5.0%,25,-3.0%
CIN,8-8,12,6.2%,13,5.6%,5,14.4%,4,15.7%,28,9.6%,30,11.5%,12,1.4%,15,1.4%
KC,9-7,13,5.3%,14,5.3%,11,6.1%,9,11.6%,17,2.1%,23,6.9%,13,1.3%,18,0.6%
CAR,8-8,14,4.6%,9,9.2%,17,-2.1%,19,-2.9%,5,-9.9%,3,-15.0%,24,-3.3%,24,-2.9%
DEN,9-7,15,-1.6%,21,-5.4%,19,-4.8%,23,-7.3%,12,-2.6%,13,0.4%,15,0.6%,11,2.3%
MIA,6-10,16,-1.6%,17,2.1%,26,-10.0%,25,-8.0%,6,-9.3%,6,-9.4%,21,-0.9%,19,0.6%
NYJ,10-6,17,-2.3%,18,-1.7%,12,5.4%,14,4.2%,30,11.5%,29,11.4%,5,3.8%,5,5.5%
BUF,7-9,18,-2.5%,15,3.2%,22,-7.0%,21,-5.5%,19,2.6%,12,-0.4%,2,7.1%,1,8.2%
ATL,7-9,19,-5.2%,20,-5.2%,16,-1.1%,16,1.9%,13,-0.4%,17,4.1%,28,-4.6%,23,-2.9%
GB,8-8,20,-6.1%,19,-2.0%,20,-5.0%,22,-7.2%,11,-3.7%,7,-9.4%,29,-4.8%,28,-4.2%
MIN,6-10,21,-10.0%,24,-12.1%,31,-17.8%,31,-20.1%,4,-12.2%,4,-13.4%,27,-4.4%,31,-5.4%
WAS,5-11,22,-10.4%,23,-11.1%,13,3.6%,15,3.2%,32,15.9%,32,16.8%,11,1.9%,10,2.5%
TEN,8-8,23,-11.3%,16,2.5%,24,-9.5%,18,-0.4%,21,4.6%,15,1.7%,10,2.8%,6,4.6%
STL,8-8,24,-11.3%,25,-14.8%,14,2.4%,12,5.3%,27,8.4%,31,12.4%,31,-5.4%,32,-7.7%
SEA,9-7,25,-14.1%,28,-16.4%,27,-11.7%,27,-13.3%,23,5.2%,26,7.6%,9,2.9%,7,4.5%
CLE,4-12,26,-17.1%,31,-22.4%,29,-16.3%,29,-16.2%,20,4.2%,27,7.8%,6,3.4%,13,1.5%
DET,3-13,27,-17.9%,27,-15.7%,28,-13.7%,30,-16.5%,25,7.2%,20,5.8%,7,3.0%,3,6.6%
SF,7-9,28,-19.7%,29,-19.4%,23,-8.5%,26,-9.2%,29,11.3%,28,10.9%,18,0.1%,17,0.7%
HOU,6-10,29,-20.9%,26,-15.2%,21,-6.3%,20,-4.7%,31,12.3%,24,7.5%,22,-2.2%,26,-3.0%
ARI,5-11,30,-20.9%,22,-8.3%,25,-9.7%,17,0.4%,22,5.1%,18,4.6%,32,-6.1%,27,-4.1%
TB,4-12,31,-21.5%,30,-20.3%,30,-16.4%,28,-14.9%,24,5.4%,25,7.5%,16,0.3%,12,2.1%
OAK,2-14,32,-34.7%,32,-31.0%,32,-37.2%,32,-33.6%,10,-6.4%,9,-7.4%,26,-3.9%,30,-4.9%
