Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
CHI,4-0,1,44.7%,1,44.7%,9,11.5%,9,11.5%,5,-22.5%,5,-22.5%,1,10.6%,1,10.6%
SD,2-1,2,40.6%,2,40.6%,8,12.5%,8,12.5%,2,-25.5%,2,-25.5%,8,2.6%,8,2.6%
PHI,3-1,3,40.5%,3,40.5%,1,32.6%,1,32.6%,13,-6.5%,13,-6.5%,11,1.5%,11,1.5%
KC,1-2,4,38.8%,4,38.8%,11,5.2%,11,5.2%,4,-23.1%,4,-23.1%,2,10.4%,2,10.4%
BAL,4-0,5,34.4%,5,34.4%,20,-6.0%,20,-6.0%,1,-34.6%,1,-34.6%,4,5.9%,4,5.9%
DAL,2-1,6,34.3%,6,34.3%,3,25.2%,3,25.2%,7,-15.9%,7,-15.9%,27,-6.8%,27,-6.8%
NE,3-1,7,19.6%,7,19.6%,4,24.9%,4,24.9%,23,8.8%,23,8.8%,6,3.4%,6,3.4%
NO,3-1,8,16.3%,8,16.3%,10,8.3%,10,8.3%,11,-8.3%,11,-8.3%,14,-0.3%,14,-0.3%
WAS,2-2,9,14.5%,9,14.5%,6,17.2%,6,17.2%,22,6.7%,22,6.7%,5,3.9%,5,3.9%
IND,4-0,10,12.3%,10,12.3%,2,28.0%,2,28.0%,27,13.5%,27,13.5%,18,-2.2%,18,-2.2%
STL,3-1,11,7.6%,11,7.6%,17,-1.2%,17,-1.2%,10,-9.9%,10,-9.9%,15,-1.1%,15,-1.1%
JAX,2-2,12,7.3%,12,7.3%,15,0.6%,15,0.6%,8,-11.9%,8,-11.9%,26,-5.1%,26,-5.1%
BUF,2-2,13,5.8%,13,5.8%,12,3.7%,12,3.7%,16,-0.6%,16,-0.6%,10,1.6%,10,1.6%
NYG,1-2,14,4.7%,14,4.7%,7,16.3%,7,16.3%,24,9.8%,24,9.8%,17,-1.8%,17,-1.8%
NYJ,2-2,15,4.7%,15,4.7%,5,17.7%,5,17.7%,29,14.3%,29,14.3%,12,1.3%,12,1.3%
ATL,3-1,16,3.5%,16,3.5%,24,-11.4%,24,-11.4%,3,-24.8%,3,-24.8%,32,-9.8%,32,-9.8%
CIN,3-1,17,3.1%,17,3.1%,14,2.5%,14,2.5%,17,1.8%,17,1.8%,9,2.4%,9,2.4%
CAR,2-2,18,-0.1%,18,-0.1%,13,3.1%,13,3.1%,19,3.9%,19,3.9%,13,0.7%,13,0.7%
PIT,1-2,19,-3.4%,19,-3.4%,23,-11.0%,23,-11.0%,6,-16.8%,6,-16.8%,30,-9.3%,30,-9.3%
MIN,2-2,20,-4.2%,20,-4.2%,26,-12.0%,26,-12.0%,9,-10.6%,9,-10.6%,20,-2.8%,20,-2.8%
CLE,1-3,21,-5.0%,21,-5.0%,21,-7.4%,21,-7.4%,20,5.4%,20,5.4%,3,7.7%,3,7.7%
SEA,3-1,22,-6.0%,22,-6.0%,22,-7.4%,22,-7.4%,14,-4.1%,14,-4.1%,19,-2.7%,19,-2.7%
DEN,2-1,23,-6.9%,23,-6.9%,18,-1.3%,18,-1.3%,15,-3.8%,15,-3.8%,31,-9.3%,31,-9.3%
MIA,1-3,24,-14.5%,24,-14.5%,28,-18.5%,28,-18.5%,12,-6.9%,12,-6.9%,21,-2.9%,21,-2.9%
DET,0-4,25,-19.1%,25,-19.1%,16,-1.0%,16,-1.0%,28,13.5%,28,13.5%,24,-4.6%,24,-4.6%
SF,1-3,26,-24.4%,26,-24.4%,19,-1.6%,19,-1.6%,30,18.7%,30,18.7%,23,-4.1%,23,-4.1%
TB,0-3,27,-28.6%,27,-28.6%,29,-24.7%,29,-24.7%,18,2.3%,18,2.3%,16,-1.6%,16,-1.6%
GB,1-3,28,-30.3%,28,-30.3%,25,-11.7%,25,-11.7%,25,10.0%,25,10.0%,29,-8.6%,29,-8.6%
ARI,1-3,29,-46.7%,29,-46.7%,30,-28.7%,30,-28.7%,26,11.2%,26,11.2%,28,-6.9%,28,-6.9%
HOU,1-3,30,-48.1%,30,-48.1%,27,-15.9%,27,-15.9%,32,35.3%,32,35.3%,7,3.0%,7,3.0%
TEN,0-4,31,-56.5%,31,-56.5%,31,-29.5%,31,-29.5%,31,22.1%,31,22.1%,25,-5.0%,25,-5.0%
OAK,0-3,32,-57.4%,32,-57.4%,32,-47.9%,32,-47.9%,21,6.1%,21,6.1%,22,-3.4%,22,-3.4%
