Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SD,9-2,1,30.5%,1,30.1%,2,29.4%,1,31.9%,17,3.1%,21,6.0%,5,4.1%,6,4.3%
CHI,9-2,2,28.3%,5,25.6%,20,-5.1%,21,-6.9%,1,-25.7%,1,-26.0%,1,7.6%,2,6.5%
BAL,9-2,3,27.7%,3,29.3%,17,-0.3%,13,2.5%,2,-22.2%,2,-20.4%,4,5.8%,3,6.4%
DAL,7-4,4,27.2%,2,29.4%,4,17.2%,4,18.5%,5,-12.3%,5,-12.5%,22,-2.3%,19,-1.6%
NE,8-3,5,25.1%,4,27.0%,7,14.1%,5,14.0%,7,-9.2%,7,-11.6%,9,1.7%,9,1.3%
IND,10-1,6,21.6%,6,24.8%,1,29.8%,2,31.2%,20,5.2%,17,3.3%,26,-3.1%,26,-3.2%
PHI,5-6,7,21.4%,8,15.9%,5,16.0%,7,12.9%,6,-9.9%,8,-8.6%,28,-4.5%,30,-5.6%
JAX,6-5,8,18.4%,7,17.3%,15,0.0%,17,-0.3%,3,-19.4%,3,-18.1%,17,-1.0%,15,-0.5%
NYG,6-5,9,15.4%,9,14.0%,6,14.9%,6,13.9%,15,-1.5%,14,-0.9%,16,-1.0%,16,-0.8%
CIN,6-5,10,9.3%,10,9.5%,3,19.2%,3,21.9%,27,10.8%,29,13.0%,11,0.9%,11,0.6%
KC,7-4,11,9.1%,11,8.2%,13,3.8%,10,6.4%,13,-3.5%,13,-0.9%,10,1.7%,10,0.9%
DEN,7-4,12,7.8%,12,8.0%,9,6.8%,9,8.8%,14,-2.0%,15,0.5%,15,-1.0%,14,-0.3%
NO,7-4,13,6.9%,14,6.8%,8,10.5%,8,12.0%,18,4.0%,19,5.1%,12,0.4%,13,-0.2%
CAR,6-5,14,5.4%,13,7.8%,14,0.3%,16,0.4%,8,-9.2%,6,-11.9%,27,-4.1%,29,-4.5%
PIT,4-7,15,2.0%,16,0.3%,12,4.0%,11,4.6%,10,-6.9%,12,-4.5%,32,-8.9%,32,-8.8%
MIA,5-6,16,-2.6%,15,0.6%,27,-12.8%,25,-11.4%,4,-13.0%,4,-14.7%,25,-2.8%,24,-2.7%
MIN,5-6,17,-5.4%,18,-5.4%,23,-10.6%,24,-10.5%,9,-7.5%,9,-7.1%,21,-2.3%,21,-2.0%
NYJ,6-5,18,-5.4%,17,-5.3%,10,5.2%,12,4.2%,31,14.6%,32,14.7%,6,3.9%,4,5.2%
WAS,4-7,19,-9.0%,22,-12.9%,11,4.7%,14,1.8%,29,13.2%,30,13.8%,14,-0.4%,17,-0.9%
CLE,3-8,20,-10.4%,21,-11.9%,30,-20.1%,31,-21.6%,12,-4.0%,11,-4.8%,3,5.8%,5,4.9%
STL,5-6,21,-12.4%,25,-15.8%,19,-4.7%,19,-4.8%,21,6.2%,25,9.3%,19,-1.5%,20,-1.7%
TB,3-8,22,-12.4%,25,-15.8%,19,-4.7%,19,-4.8%,21,6.2%,25,9.3%,19,-1.5%,20,-1.7%
ATL,5-6,23,-13.2%,26,-15.9%,22,-8.5%,23,-8.1%,16,0.2%,18,3.9%,29,-4.5%,27,-3.9%
TEN,4-7,24,-13.7%,19,-6.9%,25,-11.1%,22,-7.3%,19,4.8%,16,3.1%,8,2.3%,8,3.5%
GB,4-7,25,-14.2%,20,-11.1%,18,-2.6%,18,-1.4%,24,6.5%,20,5.4%,30,-5.1%,28,-4.3%
BUF,5-6,26,-14.8%,24,-15.3%,24,-10.7%,27,-11.9%,26,10.7%,26,11.3%,2,6.6%,1,8.0%
SEA,7-4,27,-16.0%,27,-17.0%,26,-11.3%,26,-11.7%,25,7.5%,24,9.2%,7,2.8%,7,3.8%
HOU,3-8,28,-17.5%,23,-13.5%,16,-0.1%,15,1.8%,32,15.4%,28,12.4%,20,-2.0%,25,-2.9%
SF,5-6,29,-21.3%,28,-20.8%,21,-5.8%,20,-6.7%,28,13.0%,27,11.7%,23,-2.4%,23,-2.4%
DET,2-9,30,-28.0%,31,-28.9%,28,-14.0%,29,-15.0%,30,13.6%,31,14.2%,13,-0.4%,12,0.4%
OAK,2-9,31,-31.5%,30,-27.8%,32,-33.9%,32,-32.1%,11,-5.1%,10,-6.7%,24,-2.7%,22,-2.3%
ARI,2-9,32,-35.3%,32,-32.6%,31,-20.4%,30,-17.2%,22,6.5%,22,7.3%,31,-8.4%,31,-8.1%
