Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,4-4,1,36.7%,1,35.5%,2,26.3%,3,25.4%,6,-12.5%,7,-12.6%,21,-2.1%,24,-2.5%
CHI,7-1,2,33.4%,3,31.7%,19,-2.9%,21,-4.3%,1,-24.5%,1,-24.7%,1,11.8%,1,11.3%
SD,6-2,3,31.2%,4,31.2%,3,24.8%,2,25.6%,13,-3.9%,14,-3.0%,8,2.5%,8,2.5%
NYG,6-2,4,30.6%,2,31.8%,4,19.8%,4,19.5%,8,-11.1%,8,-11.8%,15,-0.3%,14,0.5%
BAL,6-2,5,22.5%,8,20.5%,23,-7.1%,23,-7.3%,2,-24.5%,2,-22.6%,3,5.1%,3,5.2%
JAX,5-3,6,21.9%,7,20.7%,17,0.8%,17,-0.3%,3,-21.1%,3,-20.5%,14,0.0%,15,0.5%
NE,6-2,7,21.3%,5,23.7%,5,16.9%,6,18.0%,14,-3.1%,11,-4.6%,12,1.3%,13,1.1%
DEN,6-2,8,19.0%,6,23.4%,6,13.7%,5,18.1%,11,-4.7%,12,-3.5%,13,0.6%,12,1.7%
IND,8-0,9,16.5%,9,17.3%,1,30.1%,1,30.3%,23,9.3%,22,7.9%,28,-4.3%,29,-5.2%
DAL,4-4,10,14.7%,11,14.8%,9,7.9%,11,7.2%,9,-9.8%,9,-9.9%,24,-3.0%,22,-2.3%
KC,5-3,11,13.3%,12,13.9%,16,2.3%,15,4.0%,10,-8.0%,10,-6.9%,6,3.0%,7,3.0%
PIT,2-6,12,13.2%,10,15.0%,13,4.7%,14,5.2%,4,-16.7%,4,-17.6%,31,-8.2%,31,-7.8%
NO,6-2,13,8.2%,13,8.0%,12,4.9%,12,6.2%,17,0.2%,19,1.9%,5,3.5%,6,3.7%
CIN,4-4,14,1.4%,15,-1.2%,7,11.3%,8,11.1%,27,11.9%,28,14.3%,9,2.0%,10,2.0%
STL,4-4,15,-0.3%,16,-1.3%,11,5.8%,10,8.1%,21,4.5%,21,7.4%,19,-1.6%,20,-2.0%
CAR,4-4,16,-0.6%,14,1.0%,10,7.2%,9,9.3%,20,2.4%,20,2.2%,30,-5.4%,30,-6.1%
ATL,5-3,17,-3.2%,18,-4.9%,18,-2.0%,18,-2.5%,12,-4.1%,15,-2.0%,29,-5.3%,28,-4.5%
MIN,4-4,18,-3.7%,17,-2.6%,29,-17.9%,29,-17.9%,5,-15.0%,5,-15.6%,16,-0.8%,16,-0.3%
WAS,3-5,19,-6.1%,19,-6.3%,8,10.9%,7,11.3%,30,18.8%,29,19.4%,10,1.9%,11,1.9%
CLE,2-6,20,-8.0%,20,-6.8%,26,-15.6%,25,-14.8%,16,-0.4%,17,-0.7%,2,7.1%,2,7.2%
MIA,2-6,21,-9.6%,22,-8.3%,27,-17.5%,28,-17.6%,7,-11.2%,6,-12.9%,26,-3.3%,27,-3.5%
GB,3-5,22,-10.0%,21,-8.0%,15,4.1%,13,5.4%,26,10.4%,26,11.2%,27,-3.7%,21,-2.2%
NYJ,4-4,23,-11.9%,23,-13.6%,14,4.2%,16,2.5%,29,18.8%,30,20.0%,7,2.8%,5,3.8%
SEA,5-3,24,-13.5%,24,-14.4%,22,-5.8%,22,-5.0%,22,6.7%,23,8.8%,18,-1.0%,17,-0.6%
DET,2-6,25,-17.2%,25,-15.6%,21,-4.8%,20,-3.7%,25,10.0%,24,10.6%,23,-2.4%,19,-1.4%
BUF,3-5,26,-18.7%,27,-22.1%,25,-13.2%,26,-15.3%,24,9.7%,25,10.8%,4,4.2%,4,4.0%
TB,2-6,27,-21.5%,26,-20.1%,28,-17.8%,27,-16.4%,18,0.7%,18,0.7%,25,-3.0%,26,-3.0%
SF,3-5,28,-27.7%,29,-30.6%,24,-7.7%,24,-9.6%,31,19.1%,31,20.0%,17,-0.9%,18,-1.0%
HOU,2-6,29,-28.2%,28,-26.9%,20,-3.6%,19,-2.7%,32,22.7%,32,21.8%,20,-2.0%,23,-2.5%
TEN,2-6,30,-39.0%,30,-35.6%,30,-25.9%,30,-24.4%,28,14.5%,27,13.6%,11,1.5%,9,2.3%
OAK,2-6,31,-39.5%,31,-37.7%,32,-40.0%,32,-38.2%,15,-2.7%,13,-3.1%,22,-2.2%,25,-2.6%
ARI,1-7,32,-40.2%,32,-38.9%,31,-28.1%,31,-27.8%,19,0.7%,16,-1.0%,32,-11.4%,32,-12.0%
