Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BAL,2-0,1,70.2%,1,70.2%,15,-1.1%,15,-1.1%,1,-68.5%,1,-68.5%,9,2.8%,9,2.8%
SD,2-0,2,64.7%,2,64.7%,3,29.3%,3,29.3%,3,-32.0%,3,-32.0%,7,3.5%,7,3.5%
CHI,2-0,3,59.0%,3,59.0%,7,24.0%,7,24.0%,6,-16.7%,6,-16.7%,1,18.4%,1,18.4%
PHI,1-1,4,40.5%,4,40.5%,1,42.1%,1,42.1%,19,2.0%,19,2.0%,16,0.5%,16,0.5%
JAX,2-0,5,40.1%,5,40.1%,12,5.5%,12,5.5%,2,-35.1%,2,-35.1%,17,-0.6%,17,-0.6%
CIN,2-0,6,33.9%,6,33.9%,5,24.5%,5,24.5%,11,-8.8%,11,-8.8%,15,0.7%,15,0.7%
ATL,2-0,7,28.1%,7,28.1%,10,16.2%,10,16.2%,4,-27.8%,4,-27.8%,31,-15.9%,31,-15.9%
SF,1-1,8,23.6%,8,23.6%,8,20.9%,8,20.9%,17,0.6%,17,0.6%,8,3.3%,8,3.3%
BUF,1-1,9,17.6%,9,17.6%,13,3.1%,13,3.1%,14,-4.9%,14,-4.9%,2,9.6%,2,9.6%
NO,2-0,10,16.5%,10,16.5%,14,-0.6%,14,-0.6%,8,-12.0%,8,-12.0%,3,5.2%,3,5.2%
NE,2-0,11,12.5%,11,12.5%,9,20.4%,9,20.4%,24,9.8%,24,9.8%,13,1.9%,13,1.9%
SEA,2-0,12,12.5%,12,12.5%,16,-4.7%,16,-4.7%,5,-23.2%,5,-23.2%,21,-6.0%,21,-6.0%
NYJ,1-1,13,10.1%,13,10.1%,6,24.1%,6,24.1%,21,3.9%,21,3.9%,26,-10.1%,26,-10.1%
IND,2-0,14,9.0%,14,9.0%,2,40.4%,2,40.4%,31,36.0%,31,36.0%,5,4.6%,5,4.6%
DAL,1-1,15,8.4%,15,8.4%,11,14.4%,11,14.4%,13,-5.4%,13,-5.4%,28,-11.4%,28,-11.4%
STL,1-1,16,4.8%,16,4.8%,22,-13.1%,22,-13.1%,7,-15.7%,7,-15.7%,11,2.2%,11,2.2%
MIN,2-0,17,-4.4%,17,-4.4%,18,-7.0%,18,-7.0%,10,-8.9%,10,-8.9%,22,-6.2%,22,-6.2%
KC,0-2,18,-4.5%,18,-4.5%,19,-9.0%,19,-9.0%,15,-3.6%,15,-3.6%,14,0.9%,14,0.9%
NYG,1-1,19,-5.1%,19,-5.1%,4,24.6%,4,24.6%,29,21.5%,29,21.5%,25,-8.2%,25,-8.2%
PIT,1-1,20,-13.7%,20,-13.7%,23,-13.4%,23,-13.4%,9,-10.7%,9,-10.7%,27,-11.0%,27,-11.0%
CAR,0-2,21,-23.7%,21,-23.7%,28,-23.9%,28,-23.9%,16,-1.1%,16,-1.1%,18,-0.8%,18,-0.8%
CLE,0-2,22,-25.7%,22,-25.7%,26,-19.9%,26,-19.9%,26,10.8%,26,10.8%,4,5.0%,4,5.0%
MIA,0-2,23,-28.6%,23,-28.6%,24,-14.8%,24,-14.8%,23,9.7%,23,9.7%,19,-4.2%,19,-4.2%
ARI,1-1,24,-29.6%,24,-29.6%,17,-6.7%,17,-6.7%,28,15.9%,28,15.9%,24,-7.0%,24,-7.0%
DEN,1-1,25,-30.6%,25,-30.6%,29,-24.5%,29,-24.5%,12,-5.4%,12,-5.4%,29,-11.5%,29,-11.5%
GB,0-2,26,-30.6%,26,-30.6%,21,-10.4%,21,-10.4%,20,2.3%,20,2.3%,32,-18.0%,32,-18.0%
WAS,0-2,27,-31.2%,27,-31.2%,27,-21.6%,27,-21.6%,27,12.1%,27,12.1%,10,2.5%,10,2.5%
DET,0-2,28,-37.4%,28,-37.4%,25,-15.5%,25,-15.5%,22,8.4%,22,8.4%,30,-13.4%,30,-13.4%
TB,0-2,29,-46.6%,29,-46.6%,31,-38.6%,31,-38.6%,18,1.4%,18,1.4%,23,-6.6%,23,-6.6%
HOU,0-2,30,-59.4%,30,-59.4%,20,-9.7%,20,-9.7%,32,51.9%,32,51.9%,12,2.2%,12,2.2%
TEN,0-2,31,-67.0%,31,-67.0%,30,-30.5%,30,-30.5%,30,31.7%,30,31.7%,20,-4.8%,20,-4.8%
OAK,0-2,32,-83.6%,32,-83.6%,32,-77.1%,32,-77.1%,25,10.7%,25,10.7%,6,4.3%,6,4.3%
