Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PHI,3-2,1,-27.2%,1,-26.0%,2,-27.6%,3,-26.6%
NO,5-0,2,-22.5%,2,-22.0%,1,-33.0%,23,-6.2%
DEN,6-0,3,-21.0%,3,-21.1%,7,-12.1%,2,-32.8%
GB,3-2,4,-19.2%,4,-18.9%,4,-21.2%,13,-17.2%
ARI,3-2,5,-15.0%,5,-14.6%,12,0.7%,1,-42.5%
SF,3-2,6,-14.2%,7,-13.9%,9,-8.7%,8,-22.8%
NYG,5-1,7,-13.8%,6,-14.0%,5,-18.8%,22,-8.3%
NYJ,3-3,8,-13.3%,8,-13.0%,6,-15.4%,19,-11.0%
IND,5-0,9,-10.2%,9,-10.3%,8,-10.5%,20,-9.8%
CHI,3-2,10,-9.6%,10,-9.5%,11,-3.5%,11,-19.1%
BAL,3-3,11,-8.5%,11,-8.6%,13,4.7%,7,-25.1%
BUF,2-4,12,-8.1%,12,-8.3%,3,-21.6%,28,4.5%
MIN,6-0,13,-8.0%,13,-8.1%,14,5.0%,4,-26.6%
WAS,2-4,14,-6.4%,14,-6.3%,19,12.3%,5,-26.3%
NE,4-2,15,-4.2%,15,-4.7%,15,6.0%,12,-17.3%
ATL,4-1,16,-1.1%,16,-0.4%,17,8.1%,15,-15.1%
CAR,2-3,17,1.3%,17,1.5%,10,-5.2%,30,8.3%
SEA,2-4,18,1.5%,18,1.6%,18,11.1%,18,-11.7%
OAK,2-4,19,3.1%,19,3.1%,16,6.6%,25,-0.5%
PIT,4-2,20,3.4%,20,3.4%,21,17.3%,9,-22.1%
MIA,2-3,21,6.0%,21,6.3%,24,22.4%,14,-15.6%
CIN,4-2,22,6.6%,22,6.9%,23,21.3%,17,-13.6%
HOU,3-3,23,8.4%,23,8.1%,20,17.1%,24,-3.5%
JAX,3-3,24,10.7%,24,11.2%,29,36.6%,6,-25.6%
DAL,3-2,25,12.1%,25,11.4%,25,27.4%,21,-9.1%
KC,1-5,26,12.3%,26,12.1%,22,20.1%,27,3.0%
DET,1-5,27,15.4%,27,15.1%,28,35.2%,16,-14.9%
SD,2-3,28,17.7%,28,17.6%,26,28.2%,29,8.2%
CLE,1-5,29,19.2%,30,19.3%,27,28.6%,31,9.8%
STL,0-6,30,19.3%,29,19.3%,30,37.5%,26,0.0%
TEN,0-6,31,22.4%,31,23.0%,32,51.4%,10,-21.6%
TB,0-6,32,24.8%,32,24.4%,31,44.6%,32,10.1%
