Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NYJ,9-7,1,-25.6%,1,-29.3%,1,-33.2%,6,-17.0%
GB,11-5,2,-16.9%,2,-18.9%,5,-14.4%,3,-20.5%
PHI,11-5,3,-14.3%,8,-9.5%,4,-15.1%,11,-13.1%
BAL,9-7,4,-13.2%,5,-12.3%,8,-8.5%,4,-19.0%
SF,8-8,5,-12.9%,4,-14.7%,7,-8.8%,5,-18.9%
CAR,8-8,6,-11.9%,3,-17.6%,3,-19.6%,22,-3.2%
DEN,8-8,7,-8.6%,9,-5.0%,6,-13.1%,21,-3.5%
BUF,6-10,8,-8.5%,6,-11.9%,2,-21.5%,30,4.1%
ARI,10-6,9,-5.8%,11,-3.7%,10,-4.2%,15,-8.3%
MIN,12-4,10,-5.0%,13,-3.1%,15,6.9%,1,-24.8%
DAL,11-5,11,-4.4%,7,-11.3%,11,0.6%,12,-12.4%
NO,13-3,12,-4.0%,18,1.3%,9,-7.7%,24,0.8%
PIT,9-7,13,-3.8%,12,-3.4%,14,4.7%,7,-16.5%
NE,10-6,14,-1.1%,14,-2.0%,18,8.3%,10,-13.1%
WAS,4-12,15,-0.9%,15,-1.9%,20,11.5%,8,-15.5%
IND,14-2,16,-0.9%,20,2.5%,13,2.3%,18,-4.7%
CIN,10-6,17,-0.7%,16,0.6%,12,2.1%,20,-4.3%
HOU,9-7,18,0.1%,10,-4.4%,16,7.1%,14,-10.1%
ATL,9-7,19,0.6%,17,1.0%,26,17.9%,2,-22.1%
MIA,7-9,20,2.8%,19,1.8%,17,7.2%,23,-2.6%
NYG,8-8,21,4.0%,24,10.2%,19,10.9%,19,-4.4%
CHI,7-9,22,4.1%,23,6.2%,23,12.7%,17,-5.5%
SD,13-3,23,7.6%,22,5.9%,21,11.7%,27,2.8%
TB,3-13,24,9.3%,21,3.8%,24,15.8%,28,3.4%
OAK,5-11,25,9.4%,27,12.2%,27,18.6%,26,1.9%
KC,4-12,26,10.5%,25,10.3%,22,12.4%,32,8.8%
TEN,8-8,27,11.2%,26,11.6%,25,17.5%,25,1.8%
SEA,5-11,28,11.9%,30,14.4%,29,29.5%,13,-11.4%
JAX,7-9,29,12.9%,29,13.2%,32,38.1%,9,-14.6%
DET,2-14,30,14.7%,31,14.9%,31,31.4%,16,-7.0%
STL,1-15,31,15.3%,28,13.0%,28,26.2%,29,3.8%
CLE,5-11,32,18.3%,32,17.4%,30,30.5%,31,4.6%
