Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
GB,5-4,1,-15.5%,1,-15.2%,7,-9.9%,4,-22.0%
SF,4-5,2,-14.0%,3,-13.1%,8,-7.6%,3,-23.2%
PHI,5-4,3,-13.7%,6,-10.9%,3,-13.1%,10,-14.4%
BAL,5-4,4,-12.1%,5,-11.3%,9,-5.5%,5,-20.1%
IND,9-0,5,-11.4%,4,-11.5%,4,-12.1%,15,-10.4%
NO,9-0,6,-11.0%,7,-9.9%,1,-18.3%,24,-1.3%
PIT,6-3,7,-10.5%,2,-13.5%,12,-2.0%,2,-26.3%
NYJ,4-5,8,-10.0%,12,-6.7%,5,-11.8%,19,-7.9%
ARI,6-3,9,-8.4%,9,-7.7%,11,-3.7%,8,-16.4%
DEN,6-3,10,-8.3%,10,-7.0%,13,-1.3%,7,-16.4%
CAR,4-5,11,-6.3%,8,-8.0%,2,-13.5%,25,2.5%
NYG,5-4,12,-5.4%,15,-3.8%,10,-5.3%,23,-5.4%
NE,6-3,13,-4.6%,11,-7.0%,15,4.3%,6,-16.5%
MIN,8-1,14,-3.6%,17,-3.1%,21,11.4%,1,-29.1%
WAS,3-6,15,-3.0%,14,-4.2%,18,6.5%,11,-13.4%
CIN,7-2,16,-2.8%,16,-3.4%,14,3.0%,14,-11.5%
DAL,6-3,17,-1.2%,13,-4.6%,16,4.7%,16,-9.8%
BUF,3-6,18,0.6%,20,0.9%,6,-10.7%,32,11.7%
MIA,4-5,19,1.3%,18,0.3%,19,8.7%,18,-8.3%
HOU,5-4,20,3.0%,19,0.9%,20,8.8%,22,-5.8%
CHI,4-5,21,3.6%,23,5.4%,23,15.1%,17,-9.2%
ATL,5-4,22,3.9%,22,4.5%,25,16.9%,12,-13.1%
SEA,3-6,23,4.0%,21,4.3%,24,15.6%,13,-12.3%
OAK,2-7,24,8.0%,25,7.8%,17,5.4%,31,10.3%
SD,6-3,25,9.2%,24,7.3%,22,14.6%,26,3.6%
TEN,3-6,26,11.4%,27,13.3%,27,22.2%,21,-6.4%
KC,2-7,27,12.0%,26,10.7%,26,18.8%,27,4.9%
JAX,5-4,28,12.6%,28,13.8%,32,35.8%,9,-16.1%
DET,1-8,29,14.1%,29,14.1%,29,27.6%,20,-7.8%
CLE,1-8,30,16.5%,31,15.8%,28,23.8%,30,9.7%
STL,1-8,31,17.4%,32,15.9%,30,28.9%,28,5.3%
TB,1-8,32,17.9%,30,14.7%,31,29.8%,29,8.0%
