Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
GB,8-4,1,-20.4%,1,-21.5%,2,-18.0%,2,-23.7%
PHI,8-4,2,-16.4%,3,-13.0%,3,-17.5%,12,-14.9%
NYJ,6-6,3,-16.0%,2,-14.9%,1,-20.9%,16,-10.6%
DEN,8-4,4,-12.1%,4,-9.2%,6,-13.6%,17,-10.3%
BAL,6-6,5,-9.7%,5,-8.9%,9,-4.0%,9,-16.5%
NO,12-0,6,-9.1%,8,-6.8%,4,-15.7%,24,0.0%
SF,5-7,7,-8.7%,7,-7.0%,11,-2.6%,7,-17.6%
ARI,8-4,8,-8.6%,10,-6.6%,10,-2.7%,4,-19.1%
MIN,10-2,9,-7.2%,6,-7.4%,15,6.0%,1,-30.6%
IND,12-0,10,-7.2%,11,-6.2%,8,-5.7%,18,-9.3%
CAR,5-7,11,-5.5%,9,-6.6%,7,-10.0%,23,-0.3%
PIT,6-6,12,-4.1%,12,-5.3%,14,5.0%,5,-19.1%
NYG,7-5,13,-3.5%,18,-1.4%,12,2.3%,15,-10.8%
BUF,4-8,14,-3.4%,15,-3.2%,5,-15.1%,32,7.1%
WAS,3-9,15,-2.6%,16,-3.2%,18,10.2%,8,-16.7%
NE,7-5,16,-2.5%,13,-3.7%,19,11.0%,3,-19.9%
CIN,9-3,17,-0.7%,17,-1.8%,13,4.8%,19,-9.1%
DAL,8-4,18,1.0%,14,-3.4%,17,10.2%,14,-12.2%
CHI,5-7,19,1.6%,20,2.9%,16,7.8%,21,-5.5%
HOU,5-7,20,3.6%,19,2.3%,20,11.1%,20,-6.7%
ATL,6-6,21,5.7%,23,7.7%,28,22.4%,10,-16.1%
SEA,5-7,22,6.4%,24,7.7%,26,21.0%,11,-16.0%
MIA,6-6,23,6.7%,22,7.1%,21,11.5%,25,0.4%
SD,9-3,24,8.6%,21,6.4%,22,12.7%,28,3.8%
OAK,4-8,25,9.4%,29,11.1%,24,17.3%,26,2.7%
JAX,7-5,26,10.2%,31,11.9%,31,31.9%,6,-18.6%
KC,3-9,27,10.4%,26,9.9%,23,16.5%,29,4.3%
DET,2-10,28,11.3%,27,10.8%,30,30.1%,13,-14.8%
TEN,5-7,29,11.9%,30,11.3%,27,22.0%,22,-4.9%
TB,1-11,30,12.6%,25,8.7%,29,23.2%,27,3.1%
STL,1-11,31,12.9%,28,10.9%,25,20.5%,30,5.4%
CLE,1-11,32,21.9%,32,22.9%,32,37.1%,31,7.1%
