Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PHI,5-2,1,-21.6%,1,-19.4%,2,-22.1%,7,-21.0%
DEN,6-1,2,-19.0%,2,-18.9%,6,-11.0%,1,-28.8%
NO,7-0,3,-17.0%,3,-16.2%,1,-29.4%,25,0.9%
GB,4-3,4,-16.0%,4,-15.6%,8,-9.6%,6,-22.5%
NYJ,4-4,5,-15.3%,6,-14.1%,3,-19.1%,17,-11.0%
ARI,4-3,6,-15.0%,5,-14.7%,9,-7.6%,3,-25.3%
SF,3-4,7,-10.7%,9,-9.8%,12,-1.8%,4,-24.6%
NE,5-2,8,-9.8%,7,-11.8%,11,-2.5%,11,-18.9%
BAL,4-3,9,-9.7%,10,-9.6%,13,-1.0%,8,-20.8%
IND,7-0,10,-9.6%,8,-9.9%,5,-12.0%,20,-6.1%
MIN,7-1,11,-6.4%,11,-6.6%,14,5.8%,2,-25.6%
WAS,2-5,12,-4.5%,12,-5.0%,22,12.8%,5,-22.9%
NYG,5-3,13,-3.8%,13,-3.6%,10,-5.1%,23,-2.2%
CAR,3-4,14,-3.1%,14,-3.5%,7,-9.7%,26,4.7%
CHI,4-3,15,-1.8%,16,-0.9%,16,6.4%,15,-11.4%
BUF,3-5,16,-1.2%,15,-1.4%,4,-16.6%,32,14.1%
ATL,4-3,17,-1.0%,18,-0.1%,21,12.1%,10,-19.6%
PIT,5-2,18,0.3%,17,-0.2%,19,11.3%,9,-20.1%
MIA,3-4,19,0.9%,19,0.6%,17,9.8%,18,-10.1%
SEA,2-5,20,3.0%,21,3.1%,25,17.3%,13,-16.8%
DAL,5-2,21,3.2%,20,1.0%,20,11.8%,19,-9.2%
CIN,5-2,22,4.5%,22,5.4%,23,15.1%,16,-11.1%
SD,4-3,23,7.0%,23,6.1%,15,5.9%,28,8.1%
HOU,5-3,24,8.1%,24,7.1%,24,17.2%,22,-4.4%
OAK,2-6,25,9.6%,25,9.8%,18,10.5%,29,8.8%
KC,1-6,26,10.7%,26,10.3%,26,21.9%,24,-2.0%
JAX,3-4,27,14.7%,28,15.9%,31,40.8%,12,-17.2%
DET,1-6,28,15.6%,27,15.0%,28,29.3%,21,-5.9%
TEN,1-6,29,15.8%,29,17.8%,30,34.7%,14,-13.6%
CLE,1-7,30,18.3%,30,18.2%,27,24.8%,31,12.0%
STL,1-7,31,19.4%,31,19.0%,29,32.6%,27,5.4%
TB,0-7,32,23.5%,32,22.1%,32,41.6%,30,8.9%
